time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025070,713.9,213.1,1548.7,176.2,2226.2,170.6,722.8,1535.2,2221.2,100,55.5,10.7
0.027070,717.1,180.7,1540.4,154.8,2218.1,145.9,722.6,1533.9,2219.9,99.8,57.1,18.2
0.029070,720.1,157.0,1535.1,136.0,2214.7,124.5,722.4,1531.8,2218,99.6,58.3,17
0.031070,722.4,139.0,1529.8,121.6,2213.2,106.5,722.1,1529.1,2215.4,99.3,59.1,11.6
0.033070,723.3,127.7,1522.9,115.3,2212.2,95.4,721.7,1525.9,2212.4,99.1,59.8,6.8
0.035070,722.9,125.2,1513.4,123.2,2210.0,98.1,721.2,1522.5,2209.2,98.8,60.4,5.9
0.037070,723.3,126.8,1507.1,138.1,2206.2,113.4,720.8,1519,2206,98.5,60.8,5.3
0.039070,725.2,122.2,1506.3,141.8,2202.7,123.6,720.4,1515.7,2202.9,98.2,61.2,4.3
0.041070,727.1,113.6,1507.1,136.5,2201.1,121.8,719.9,1512.8,2200.2,97.9,61.5,3.5
0.043070,727.2,108.1,1507.2,135.3,2199.9,119.1,719.5,1510.4,2198,97.7,61.8,3
0.045070,723.6,112.5,1508.0,152.2,2197.3,128.4,719,1508.7,2196.5,97.4,62.1,3.4
0.047070,718.7,121.3,1511.4,179.2,2194.1,143.9,718.5,1507.6,2195.7,97.1,62.4,4.5
0.049070,716.9,119.8,1514.5,186.4,2193.9,142.7,717.9,1507.3,2195.5,96.8,62.7,6
0.051070,717.5,110.8,1514.7,177.2,2195.9,128.4,717.3,1507.7,2196,96.6,63,7.6
0.053070,717.9,103.6,1512.6,168.4,2197.9,115.0,716.5,1508.7,2197,96.3,63.1,9.1
0.055070,715.8,107.6,1510.2,170.7,2199.7,114.7,715.6,1510.1,2198.4,96.1,63.2,10.1
0.057070,709.9,130.3,1512.5,184.6,2201.5,140.7,714.5,1511.8,2200.1,95.8,63.3,10.7
0.059070,704.9,152.3,1517.6,187.7,2203.4,173.0,713.1,1513.7,2201.9,95.6,63.4,11.2
0.061070,703.9,153.2,1518.1,176.0,2204.2,176.2,711.6,1515.6,2203.5,95.4,63.5,11.7
0.063070,704.5,144.7,1515.1,162.5,2203.9,162.6,710,1517.4,2204.9,95.2,63.5,12.4
0.065070,704.2,138.2,1512.3,154.7,2203.6,150.6,708.1,1518.9,2205.9,95,63.6,13.5
0.067070,702.5,140.7,1515.9,159.4,2204.3,154.7,706.2,1520.1,2206.4,94.8,63.8,15
0.069070,701.8,141.7,1524.3,164.0,2204.8,163.7,704.3,1521.1,2206.3,94.7,63.9,16.7
0.071070,703.5,132.3,1527.2,156.8,2204.4,156.7,702.3,1521.7,2205.7,94.5,64.1,18.3
0.073070,706.0,120.2,1525.0,146.8,2203.4,141.7,700.5,1522.2,2204.6,94.4,64.2,19.5
0.075070,707.7,110.1,1520.6,140.3,2202.2,128.6,698.9,1522.6,2203,94.3,64.3,19.9
0.077070,706.5,109.7,1517.8,145.3,2201.4,130.4,697.5,1523,2201.1,94.2,64.3,19.7
0.079070,701.7,120.3,1521.1,159.3,2201.1,153.3,696.4,1523.7,2199.1,94.1,64.3,19
0.081070,698.1,124.8,1524.8,160.7,2199.8,168.2,695.6,1524.6,2196.9,94,64.4,18.1
0.083070,697.6,119.6,1524.1,152.1,2197.4,161.8,695.1,1526.1,2194.9,93.9,64.4,17.1
0.085070,698.0,113.4,1521.9,143.4,2194.0,148.0,694.9,1528.1,2193.1,93.8,64.4,16.1
0.087070,697.4,117.6,1523.9,142.6,2190.5,139.4,695,1530.8,2191.6,93.7,64.5,14.6
0.089070,694.6,143.6,1536.1,150.1,2190.4,139.6,695.1,1534,2190.5,93.7,64.5,13
0.091070,691.7,170.8,1547.6,150.7,2193.2,135.7,695.2,1537.8,2189.8,93.6,64.6,11.6
0.093070,690.0,173.7,1549.2,142.8,2192.3,125.3,695.2,1542,2189.5,93.6,64.6,10.6
0.095070,688.3,165.0,1546.3,134.0,2188.9,114.6,694.9,1546.4,2189.4,93.5,64.7,10.5
0.097070,686.4,163.3,1545.6,132.2,2186.0,111.9,694.1,1550.9,2189.6,93.5,64.6,11.3
