time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025002,680.4,84.5,1482.9,333.3,2317.0,151.6,674.3,1494.2,2282.8,80.5,53.8,9.4
0.027002,671.5,78.6,1481.9,305.3,2311.0,126.9,675.6,1495.6,2292.4,80.4,53.8,9
0.029002,669.3,71.9,1486.5,296.3,2309.4,109.7,677.7,1497.9,2307.4,80.3,53.8,8.5
0.031002,675.9,69.7,1496.2,313.3,2310.4,101.1,680.5,1501,2326.6,80.2,53.6,8
0.033002,688.4,73.5,1513.5,370.8,2315.6,106.7,684,1504.9,2348.5,80.1,53.3,7.4
0.035002,700.3,87.4,1537.3,462.7,2332.0,140.5,688,1509.4,2371.4,80,52.9,6.8
0.037002,700.8,115.0,1541.6,467.2,2368.6,194.1,692.3,1514.5,2393.5,79.9,52.4,6
0.039002,687.5,141.9,1523.1,373.0,2419.2,227.8,696.9,1520,2413.2,79.8,52,5.1
0.041002,681.0,145.6,1512.3,304.6,2456.8,226.7,701.3,1525.8,2429.2,79.6,51.7,4.3
0.043002,691.1,135.0,1513.5,287.3,2470.5,201.4,705.4,1531.8,2440.6,79.5,51.6,3.8
0.045002,711.7,124.7,1532.1,320.9,2460.1,172.9,708.9,1537.9,2446.9,79.4,51.5,3.6
0.047002,732.9,127.4,1569.4,369.0,2447.1,173.5,711.6,1544,2448.2,79.3,51.6,3.8
0.049002,743.5,150.5,1584.6,364.4,2442.8,202.3,713.2,1549.9,2445,79.2,51.7,4.3
0.051002,736.8,172.6,1570.0,323.4,2437.6,223.7,713.6,1555.5,2438.1,79.1,51.8,4.8
0.053002,717.6,177.4,1550.8,278.7,2429.2,225.3,712.6,1560.9,2428.9,79,51.9,5.3
0.055002,694.2,166.7,1535.2,240.6,2419.3,210.2,710.1,1565.8,2418.6,78.9,51.9,5.7
0.057002,673.6,151.5,1524.9,213.7,2408.5,185.4,706.3,1570.4,2408.6,78.8,52,5.9
0.059002,664.7,137.4,1522.9,208.9,2395.0,164.3,701.2,1574.4,2400.1,78.7,52,6.1
0.061002,675.6,119.8,1540.9,259.5,2379.9,187.5,695,1577.9,2394.3,78.6,52.1,6.4
0.063002,690.8,96.9,1595.5,365.3,2374.2,279.1,688.1,1581,2391.7,78.6,52.3,6.7
0.065002,695.5,77.4,1644.2,420.4,2385.5,355.5,680.7,1583.5,2392.7,78.5,52.4,7.2
0.067002,692.4,66.5,1644.2,405.2,2397.6,340.1,673.2,1585.4,2397.2,78.4,52.4,7.9
0.069002,685.6,63.8,1615.0,313.0,2406.0,247.9,665.8,1586.9,2404.9,78.4,52.4,8.7
0.071002,674.8,74.2,1596.3,215.5,2424.1,167.8,658.9,1587.9,2414.8,78.3,52.3,9.4
0.073002,655.5,106.1,1592.3,171.3,2448.2,131.0,652.7,1588.4,2426.3,78.3,52.2,9.9
0.075002,637.6,143.0,1588.9,162.7,2462.1,116.9,647.2,1588.5,2438.1,78.2,52.2,9.9
0.077002,640.1,149.3,1582.1,166.5,2464.9,106.9,642.5,1588.2,2449.3,78.2,52.1,9.6
0.079002,647.4,129.0,1569.1,173.4,2460.6,97.3,638.5,1587.5,2458.9,78.2,52,8.9
0.081002,645.9,109.9,1552.3,181.3,2453.3,89.6,635.1,1586.5,2466.3,78.2,52.1,8.3
0.083002,634.7,98.4,1537.3,199.4,2445.7,86.9,632.1,1585.1,2470.8,78.2,52.3,7.7
0.085002,617.4,91.5,1538.8,245.0,2441.6,99.3,629.1,1583.5,2472.2,78.2,52.5,7.3
0.087002,603.6,83.3,1578.5,306.8,2450.7,139.5,625.9,1581.7,2470.5,78.2,52.9,7
0.089002,597.2,72.2,1619.7,308.1,2474.4,177.3,622.2,1579.7,2466,78.2,53.1,6.8
0.091002,595.9,62.8,1617.7,279.0,2480.0,172.8,617.8,1577.6,2459.1,78.3,53.3,6.6
0.093002,598.6,56.6,1603.1,255.4,2467.3,149.0,612.7,1575.4,2450.5,78.3,53.3,6.6
0.095002,605.7,55.8,1590.4,237.0,2446.4,120.5,606.7,1573.2,2440.6,78.3,53.1,6.7
0.097002,617.0,63.3,1579.1,220.5,2424.7,95.2,600.1,1571.1,2430.2,78.4,52.9,7.1
0.099002,628.9,86.0,1567.0,206.7,2411.3,82.3,592.9,1569,2419.8,78.4,52.5,7.5
0.101002,627.7,127.6,1558.7,200.7,2410.5,85.3,585.5,1567.1,2410.1,78.5,52.3,8
0.103002,604.2,163.0,1551.4,198.1,2411.2,93.5,578.3,1565.4,2401.3,78.6,52,8.4
0.105002,578.6,159.2,1545.9,195.6,2407.0,98.4,571.7,1564,2393.8,78.6,51.8,8.6
0.107002,569.1,143.1,1545.9,196.4,2398.7,97.7,566.1,1562.8,2387.9,78.7,51.8,8.5
0.109002,566.0,139.2,1555.1,206.6,2386.7,96.7,561.7,1561.9,2383.5,78.8,51.8,8.4
0.111002,545.2,142.4,1572.4,238.2,2372.7,110.9,559,1561.4,2380.9,78.9,51.9,8.3
0.113002,499.1,117.6,1575.5,276.4,2356.4,143.4,558.1,1561.2,2380,78.9,52.2,8.2
