time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025122,592.0,64.9,1632.2,105.6,2182.3,381.7,603.5,1625.5,2184.4,96.5,61.7,7.6
0.027122,597.4,59.0,1626.8,94.4,2176.8,331.9,604.1,1624.7,2187.1,96.6,61.9,8
0.029122,603.0,54.3,1623.9,84.9,2181.7,317.7,605,1623.4,2191.4,96.6,62,8.5
0.031122,608.2,57.6,1622.2,81.9,2200.2,313.8,606.3,1621.6,2197.1,96.6,62.1,9
0.033122,613.1,70.5,1619.7,86.5,2219.7,296.9,607.9,1619.3,2203.9,96.7,62.3,9.7
0.035122,616.6,78.6,1614.9,89.3,2223.7,271.0,609.7,1616.6,2211.4,96.7,62.4,10.4
0.037122,618.8,74.3,1609.5,85.2,2222.5,249.0,611.7,1613.4,2219.4,96.8,62.5,11.3
0.039122,619.9,66.4,1604.7,79.2,2224.2,232.6,613.8,1610,2227.4,96.8,62.5,12.4
0.041122,619.7,64.6,1601.5,79.1,2232.0,221.8,616,1606.3,2235.1,96.9,62.5,13.7
0.043122,618.8,73.7,1599.7,90.8,2243.6,213.1,618.1,1602.4,2242.3,96.9,62.5,14.9
0.045122,619.5,83.7,1598.0,103.9,2249.2,203.1,620.1,1598.6,2248.8,97,62.5,16
0.047122,621.4,82.2,1595.0,104.0,2251.0,191.7,621.8,1594.9,2254.5,97,62.5,16.8
0.049122,622.6,74.4,1591.6,97.5,2253.7,181.6,623.2,1591.5,2259.4,97.1,62.5,17.5
0.051122,621.9,69.7,1589.2,94.5,2259.3,176.9,624.3,1588.5,2263.4,97.1,62.6,18.1
0.053122,620.4,73.0,1589.0,100.3,2266.5,180.5,624.9,1586.2,2266.8,97.1,62.6,18.5
0.055122,620.6,77.4,1589.2,106.2,2271.0,183.9,625.1,1584.6,2269.8,97.1,62.7,18.7
0.057122,622.2,74.0,1587.3,101.4,2272.6,179.2,624.8,1583.8,2272.4,97.1,62.7,18.6
0.059122,622.8,66.6,1584.5,91.9,2274.4,172.2,624.1,1584,2275,97.2,62.7,18.1
0.061122,621.0,62.0,1583.2,85.2,2278.6,171.5,622.9,1585,2277.8,97.2,62.7,17.4
0.063122,618.2,65.1,1586.9,86.2,2284.9,187.2,621.3,1587.1,2280.9,97.2,62.6,16.7
0.065122,618.0,71.9,1594.7,88.1,2289.5,207.8,619.5,1589.9,2284.5,97.1,62.6,16.1
0.067122,620.0,71.0,1598.1,82.2,2290.3,208.0,617.4,1593.6,2288.6,97.1,62.6,15.8
0.069122,620.3,63.5,1597.1,74.2,2291.8,199.7,615.2,1597.9,2293.3,97.1,62.5,15.8
0.071122,617.6,57.5,1597.1,71.7,2296.0,194.9,613,1602.6,2298.4,97.1,62.5,15.9
0.073122,612.8,58.6,1602.1,83.5,2303.2,199.6,610.9,1607.6,2303.8,97,62.4,16.1
0.075122,608.9,64.8,1613.1,110.3,2311.1,206.1,608.8,1612.7,2309.5,97,62.4,16.1
0.077122,608.5,64.9,1620.5,124.3,2315.5,199.7,607,1617.7,2315.2,96.9,62.3,15.9
0.079122,608.6,57.6,1621.3,117.6,2318.0,184.7,605.5,1622.5,2320.7,96.9,62.3,15.5
0.081122,606.8,50.0,1622.1,102.6,2322.2,168.2,604.1,1627,2325.8,96.8,62.3,14.9
0.083122,602.6,48.8,1627.2,88.2,2329.1,156.9,603,1631,2330.5,96.8,62.3,14.4
