time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025576,562.6,80.9,1640.5,80.7,2243.6,404.6,569.1,1624.6,2189.1,90.2,61.4,9
0.027576,565.0,88.8,1627.1,89.2,2201.5,339.5,569,1623.1,2191,90.1,61.6,9.3
0.029576,567.8,86.4,1618.6,84.6,2181.3,293.0,568.7,1620.7,2194.2,90.1,61.8,9.5
0.031576,570.0,75.1,1614.7,76.1,2174.3,271.4,568.3,1617.5,2198.3,90,61.9,9.8
0.033576,570.9,63.7,1612.2,69.6,2176.3,258.7,568,1613.5,2203.3,89.9,61.9,10.1
0.035576,570.0,61.4,1608.5,70.5,2193.6,239.5,567.6,1609,2208.9,89.8,61.8,10.2
0.037576,568.2,74.0,1600.4,83.5,2216.0,204.9,567.3,1604,2214.8,89.7,61.6,10.2
0.039576,567.8,90.9,1589.1,97.3,2225.1,175.0,567,1598.8,2220.8,89.6,61.5,9.9
0.041576,569.7,92.8,1582.9,95.2,2226.9,158.0,567,1593.4,2226.6,89.5,61.3,9.5
0.043576,571.4,83.1,1580.5,86.6,2228.0,147.7,567.1,1588,2232,89.4,61.1,9.2
0.045576,571.2,75.2,1580.1,81.7,2230.7,144.9,567.4,1582.7,2236.9,89.3,60.9,8.9
0.047576,569.2,82.7,1580.1,88.4,2237.7,156.1,568,1577.5,2241.1,89.2,60.6,9
0.049576,567.3,114.1,1577.1,102.8,2248.2,173.4,568.9,1572.7,2244.6,89.1,60.4,9.3
0.051576,569.3,145.1,1572.6,104.2,2254.0,173.9,570,1568.1,2247.3,89,60.2,9.7
0.053576,572.7,146.9,1569.0,96.3,2256.4,165.4,571.5,1563.8,2249.3,88.9,60.1,10.2
0.055576,573.6,129.0,1566.0,88.5,2258.0,157.0,573.2,1559.8,2250.7,88.8,60,10.7
0.057576,571.6,113.9,1562.6,87.8,2258.7,152.0,575.2,1556.1,2251.7,88.7,60,11
0.059576,570.7,113.6,1556.7,99.8,2255.7,150.1,577.3,1552.7,2252.3,88.6,60,11.3
0.061576,574.4,118.2,1549.2,110.2,2252.0,145.1,579.6,1549.6,2252.9,88.5,60.2,11.6
0.063576,579.7,111.1,1544.8,104.7,2253.2,136.4,582,1546.8,2253.6,88.4,60.3,11.9
0.065576,583.8,97.0,1542.5,94.1,2257.2,129.3,584.4,1544.3,2254.5,88.3,60.4,12.2
0.067576,586.2,85.8,1541.6,87.0,2261.7,128.2,586.7,1542.1,2256,88.2,60.4,12.8
0.069576,588.1,85.4,1542.0,90.0,2263.8,142.0,589,1540.3,2258,88.2,60.4,13.6
0.071576,591.7,98.0,1540.7,106.1,2257.3,171.4,591,1538.8,2260.8,88.1,60.5,14.5
0.073576,596.8,101.2,1535.1,114.3,2249.5,183.0,592.7,1537.8,2264.3,88,60.6,15.3
0.075576,599.9,88.1,1529.0,108.4,2249.0,175.4,594.2,1537.3,2268.7,88,60.6,16
