time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025821,552.0,304.5,1548.0,100.2,2443.8,112.3,583.3,1552.3,2447.4,95,61.3,9.7
0.027821,574.5,306.9,1561.8,103.3,2445.2,113.8,583.9,1553.2,2447.3,95,61.6,10.9
0.029821,588.1,287.7,1563.8,97.0,2445.8,107.6,584.8,1554.6,2447.2,94.9,61.8,12.1
0.031821,594.3,269.0,1559.6,88.5,2446.7,99.7,586.2,1556.5,2447,94.9,62,13.1
0.033821,596.0,259.8,1555.2,84.5,2448.4,96.4,588.1,1558.7,2446.7,94.8,62.2,13.4
0.035821,596.9,264.2,1557.2,94.4,2449.7,108.1,590.5,1560.9,2446.2,94.8,62.4,12.8
0.037821,600.2,265.4,1565.8,115.1,2450.1,135.4,593.5,1563,2445.5,94.7,62.6,11.4
0.039821,605.7,253.5,1568.8,120.7,2449.2,149.1,597.1,1564.9,2444.5,94.7,62.8,9.8
0.041821,610.7,241.0,1565.3,110.7,2447.0,141.6,601.3,1566.3,2443.1,94.6,62.9,8.6
0.043821,612.5,234.4,1559.6,98.4,2445.0,126.5,606,1567.2,2441.5,94.6,62.9,8.4
0.045821,611.0,239.2,1555.8,92.2,2442.2,116.1,611.1,1567.4,2439.4,94.5,62.9,9.5
0.047821,613.9,255.9,1558.7,97.3,2434.2,125.0,616.7,1566.8,2436.9,94.5,62.8,11.6
0.049821,623.2,262.8,1563.8,104.0,2422.6,149.7,622.5,1565.6,2434.1,94.4,62.8,14.1
0.051821,630.9,256.2,1562.1,99.9,2416.6,159.8,628.5,1563.7,2430.8,94.4,62.8,16.3
0.053821,635.1,251.0,1556.1,90.7,2416.8,152.4,634.3,1561.4,2427.1,94.3,62.8,17.5
0.055821,634.9,259.0,1550.9,87.2,2419.7,145.0,639.8,1558.6,2423.1,94.2,62.8,17.4
0.057821,635.1,283.1,1553.1,99.0,2421.3,154.7,644.8,1555.6,2418.8,94.2,62.8,16.6
0.059821,644.1,296.5,1561.7,114.3,2420.1,171.1,649.2,1552.7,2414.3,94.1,62.9,15.4
0.061821,654.6,288.1,1564.8,113.9,2418.4,172.9,652.7,1549.9,2409.6,94.1,62.9,14.2
0.063821,660.7,277.4,1561.6,104.6,2416.6,164.8,655.3,1547.6,2404.8,94,62.9,13.3
0.065821,660.7,278.2,1556.3,97.0,2413.3,157.6,656.9,1545.9,2399.9,94,62.9,12.8
0.067821,651.9,295.7,1552.0,100.3,2403.1,162.4,657.4,1545,2395.1,93.9,62.8,12.4
0.069821,642.3,307.1,1549.7,114.2,2386.2,178.1,656.9,1544.9,2390.3,93.8,62.8,12.1
0.071821,644.2,297.0,1547.3,118.2,2375.7,181.3,655.6,1545.7,2385.6,93.8,62.7,12
0.073821,650.9,284.5,1543.5,110.3,2372.5,171.6,653.4,1547.5,2381,93.7,62.7,12.2
0.075821,654.5,280.7,1539.7,101.9,2372.1,160.6,650.8,1550.1,2376.6,93.6,62.7,12.9
0.077821,650.0,287.5,1539.6,103.8,2371.8,157.7,647.7,1553.5,2372.3,93.6,62.7,13.9
0.079821,642.5,288.6,1550.2,123.2,2368.7,165.0,644.6,1557.5,2368.1,93.5,62.7,15.2
0.081821,644.3,272.9,1564.7,138.7,2363.6,164.0,641.7,1562,2364,93.4,62.7,16.3
0.083821,650.3,256.6,1568.8,134.3,2357.9,151.3,639.2,1566.9,2359.9,93.4,62.6,17
0.085821,654.4,249.1,1566.2,123.6,2352.5,136.3,637.2,1571.8,2355.8,93.3,62.6,17.4
0.087821,652.4,253.4,1565.2,118.8,2348.2,126.2,636.1,1576.8,2351.6,93.2,62.5,17.6
0.089821,641.6,259.4,1574.8,130.6,2346.2,129.3,635.8,1581.6,2347.3,93.1,62.5,17.7
0.091821,632.0,242.1,1592.2,151.8,2345.8,141.3,636.4,1586.1,2342.7,93.1,62.5,17.5
0.093821,632.4,220.1,1599.1,155.2,2342.7,140.0,637.8,1590.4,2337.9,93,62.4,17
0.095821,637.2,210.4,1596.5,144.3,2337.1,126.6,640,1594.4,2332.7,92.9,62.4,16.2
0.097821,640.6,216.3,1593.2,133.4,2330.9,112.7,642.6,1598.2,2327.2,92.8,62.4,15
0.099821,641.1,240.3,1598.5,130.2,2323.3,108.3,645.6,1601.8,2321.4,92.7,62.5,13.7
0.101821,642.5,254.3,1613.8,129.7,2314.2,115.7,648.4,1605.6,2315.1,92.6,62.6,12.6
0.103821,645.6,240.8,1622.2,120.7,2306.9,116.9,650.8,1609.5,2308.4,92.5,62.7,11.8
0.105821,648.7,222.9,1621.5,107.1,2300.8,108.1,652.6,1613.8,2301.4,92.4,62.7,11.7
0.107821,649.9,211.9,1618.7,94.5,2294.8,96.9,653.2,1618.8,2294,92.3,62.8,11.9
0.109821,646.5,213.0,1619.8,87.8,2287.4,89.8,652.4,1624.5,2286.4,92.2,62.7,12.3
0.111821,639.5,220.8,1632.8,92.0,2277.0,94.0,650.1,1631.1,2278.6,92.1,62.7,12.6
0.113821,634.9,211.2,1651.1,98.9,2267.3,105.5,646,1638.8,2270.6,92,62.7,12.6
0.115821,634.4,190.6,1658.1,95.5,2260.6,107.2,640.1,1647.5,2262.6,91.9,62.7,12.2
0.117821,635.3,173.1,1656.9,86.1,2255.0,100.4,632.4,1657.2,2254.7,91.8,62.6,11.6
0.119821,633.9,165.5,1655.0,78.0,2249.0,92.7,623,1667.8,2246.9,91.7,62.4,10.8
0.121821,626.0,177.1,1660.6,78.2,2239.4,91.0,612.3,1679.1,2239.4,91.6,62.1,10
0.123821,607.9,203.4,1681.5,90.2,2226.4,99.9,600.5,1690.9,2232.2,91.5,61.8,9.3
0.125821,589.6,211.5,1704.0,97.3,2220.0,107.7,588,1702.9,2225.5,91.4,61.6,8.6
0.127821,583.3,201.6,1713.0,91.9,2218.4,105.0,575.3,1714.7,2219.4,91.3,61.3,7.9
0.129821,584.3,190.3,1715.0,84.1,2217.9,98.7,562.9,1726,2213.9,91.2,61,7.3
0.131821,582.6,189.3,1718.7,83.1,2217.3,98.1,551.3,1736.3,2209.1,91.1,60.8,6.6
0.133821,564.8,207.7,1734.9,97.3,2213.4,110.3,541.1,1745.4,2205.1,91.1,60.5,5.9
0.135821,532.3,228.4,1759.9,109.5,2206.2,120.6,532.6,1752.8,2201.9,91,60.3,5.1
