time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025517,553.1,50.2,1442.9,199.4,2156.8,94.5,575.6,1453.8,2176.1,99.1,60,6.7
0.027517,570.8,65.6,1454.4,223.2,2176.8,118.2,578.1,1453.8,2178.3,99.1,60.6,5.4
0.029517,586.6,72.7,1462.9,219.1,2191.8,125.8,582.2,1453.8,2181.9,99.2,61.2,5.4
0.031517,596.2,66.9,1464.3,199.6,2197.8,115.9,587.5,1453.8,2186.7,99.2,61.7,5.9
0.033517,601.6,57.7,1460.8,181.9,2199.3,103.8,593.9,1453.8,2192.3,99.2,62.1,6.8
0.035517,607.1,52.7,1453.7,173.1,2201.2,100.2,601,1453.9,2198.6,99.2,62.5,7.7
0.037517,614.6,56.4,1447.6,172.9,2205.8,111.7,608.4,1454,2205.2,99.3,62.7,8.5
0.039517,623.2,62.0,1446.4,164.9,2211.0,122.0,616,1454.3,2211.9,99.3,62.9,8.9
0.041517,629.7,61.2,1448.6,148.3,2215.1,116.2,623.3,1454.7,2218.3,99.3,63.1,9.4
0.043517,632.6,56.0,1450.5,132.9,2218.5,104.0,630.1,1455.4,2224.3,99.4,63.2,9.8
0.045517,633.7,52.1,1452.1,123.9,2223.2,96.6,636.4,1456.3,2229.6,99.4,63.2,10.2
0.047517,635.3,55.4,1455.8,127.2,2230.6,104.2,642,1457.5,2234.1,99.4,63.2,10.7
0.049517,640.2,62.5,1462.3,133.8,2238.8,119.6,646.8,1459.1,2237.9,99.5,63.2,11.1
0.051517,646.9,63.7,1467.3,130.0,2243.5,121.1,651.1,1461,2240.8,99.5,63.2,11.5
0.053517,652.0,60.1,1469.2,121.0,2245.3,111.2,654.8,1463.3,2243.1,99.5,63.2,11.9
0.055517,655.5,59.4,1470.0,116.2,2246.7,103.6,658,1465.9,2244.7,99.6,63.1,12.4
0.057517,658.1,69.5,1471.7,123.0,2248.4,110.0,661,1468.9,2245.9,99.6,63.1,13.1
0.059517,661.9,86.5,1475.3,132.7,2250.2,123.9,663.9,1472.2,2246.8,99.7,63,14
0.061517,667.1,92.2,1477.1,130.4,2250.5,125.8,666.8,1475.8,2247.6,99.7,63,15.1
0.063517,671.9,87.0,1476.5,121.3,2249.6,117.1,669.7,1479.6,2248.4,99.7,63,16.3
0.065517,676.2,83.4,1476.9,115.3,2248.3,110.1,672.7,1483.4,2249.2,99.7,63,17.3
0.067517,679.4,91.1,1483.1,118.4,2247.3,113.6,675.8,1487.3,2250.3,99.8,63,18
0.069517,681.3,104.8,1492.9,122.1,2247.4,119.0,678.7,1491.1,2251.6,99.8,63,18.1
0.071517,683.3,107.2,1497.8,116.6,2248.8,112.4,681.6,1494.7,2253.1,99.8,63,18
0.073517,685.8,100.2,1497.3,108.0,2250.9,100.1,684.1,1498,2254.9,99.8,63,17.6
0.075517,688.5,95.7,1495.7,103.4,2254.5,91.4,686.2,1501,2256.8,99.9,63,17.2
0.077517,689.7,104.3,1498.2,107.5,2260.2,95.1,687.6,1503.6,2258.8,99.9,62.9,16.8
0.079517,688.5,122.5,1505.6,112.8,2266.0,106.8,688.4,1505.8,2260.9,99.9,62.8,16.6
0.081517,686.7,129.2,1510.6,108.5,2268.7,108.1,688.3,1507.6,2262.9,99.9,62.6,16.4
0.083517,685.8,121.5,1510.7,100.0,2268.7,98.4,687.5,1509,2264.8,99.9,62.5,16.2
0.085517,684.4,112.7,1508.9,94.0,2267.7,87.3,685.9,1510.1,2266.5,99.9,62.2,16
0.087517,680.6,116.6,1509.7,96.6,2267.1,83.4,683.6,1510.9,2268.2,99.9,62,15.6
0.089517,675.6,134.7,1515.1,104.3,2267.9,85.7,680.8,1511.5,2269.6,99.9,61.7,15.1
0.091517,673.5,145.5,1519.4,104.6,2269.6,83.6,677.7,1512,2271,99.9,61.4,14.5
0.093517,674.2,140.4,1519.2,98.6,2270.8,76.5,674.4,1512.4,2272.2,99.9,61.2,13.9
0.095517,673.5,133.5,1515.9,93.1,2271.3,70.1,671.2,1512.9,2273.4,99.9,60.9,13.3
0.097517,667.7,141.5,1512.4,93.6,2272.0,71.5,668.2,1513.4,2274.6,99.9,60.6,12.6
0.099517,659.0,167.9,1511.9,97.8,2274.0,80.8,665.5,1514.1,2275.8,99.9,60.3,12
0.101517,657.8,185.5,1512.7,97.5,2276.8,85.6,663.3,1514.9,2277.1,99.9,60,11.4
0.103517,665.9,178.6,1511.7,94.4,2278.9,81.7,661.7,1515.8,2278.3,99.9,59.7,10.8
0.105517,676.7,163.8,1508.8,94.7,2280.5,77.3,660.5,1516.8,2279.6,99.9,59.4,10.2
0.107517,680.5,160.9,1506.7,105.7,2282.4,81.9,659.9,1517.9,2280.9,99.9,59,9.7
0.109517,670.4,176.5,1511.9,127.5,2285.7,101.7,659.6,1519,2282.2,99.9,58.6,9.3
0.111517,651.7,186.6,1523.5,137.3,2288.6,122.6,659.7,1520,2283.3,99.9,58.1,8.9
0.113517,642.3,177.2,1530.1,133.1,2288.9,126.7,659.9,1520.8,2284.2,99.9,57.7,8.6
0.115517,646.7,162.7,1529.3,136.4,2286.5,124.5,660.1,1521.5,2285,99.9,57.3,8.3
0.117517,658.9,157.2,1523.7,156.7,2281.3,120.6,660.3,1521.9,2285.4,100,57,8.1
0.119517,667.5,161.4,1521.2,181.4,2277.2,108.7,660.3,1522,2285.6,100,56.7,8
