time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025789,662.9,104.4,1568.1,161.1,2138.0,179.2,665.6,1568.2,2138,96.9,64.4,11.9
0.027789,667.8,114.0,1561.3,166.3,2133.8,187.1,668,1562.5,2133.6,97.6,64.3,12.2
0.029789,675.5,127.5,1556.9,169.5,2128.5,190.1,671.7,1555.8,2128.3,98.2,64.2,11.9
0.031789,679.6,131.5,1552.8,164.9,2123.7,184.3,676.5,1550.9,2123.8,98.8,64,11.5
0.033789,680.7,130.9,1548.6,159.6,2120.6,177.6,681.9,1548.7,2121.5,99.2,63.7,11
0.035789,682.7,138.4,1546.0,164.5,2120.4,178.9,687.6,1548.8,2121.4,99.5,63.3,10.4
0.037789,689.9,166.0,1547.5,185.6,2123.6,189.3,692.8,1549.2,2122.6,99.8,62.9,9.9
0.039789,700.0,202.2,1550.6,204.9,2126.5,194.5,696.7,1548.1,2124.1,99.9,62.4,9.4
0.041789,703.7,216.3,1548.4,202.8,2125.9,185.2,698.7,1544.9,2125,100,61.9,8.9
0.043789,699.4,204.6,1540.4,187.4,2122.4,167.3,698.3,1540.7,2125.2,100.1,61.4,8.5
0.045789,692.5,185.7,1532.6,176.8,2121.1,153.8,696.3,1537.4,2125.5,100,60.8,8.1
0.047789,689.5,183.8,1533.6,187.5,2127.7,156.7,693.9,1536.8,2126.9,99.9,60.2,7.7
0.049789,693.0,205.6,1544.6,210.8,2136.6,168.5,692.6,1539.8,2130,99.6,59.5,7.5
0.051789,698.3,230.1,1551.7,218.9,2138.4,171.2,693.7,1545.6,2134.7,99.3,58.7,7.3
0.053789,700.1,234.8,1551.0,213.6,2136.0,166.1,697.2,1552.6,2140.3,98.9,57.9,7.2
0.055789,698.6,217.6,1549.7,208.3,2135.8,162.8,701.9,1558.9,2145.6,98.5,57.1,7.1
0.057789,700.4,200.5,1557.1,214.2,2144.9,170.9,705.9,1563.3,2149.4,97.9,56.4,6.9
0.059789,712.2,197.1,1576.1,228.2,2162.5,188.9,707.4,1564.9,2150.7,97.2,55.6,6.6
