time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025832,553.3,78.7,1543.0,60.8,2391.7,83.7,567,1550.8,2398.2,91.7,60.9,4
0.027832,559.1,83.2,1544.7,71.7,2393.9,86.5,567.8,1551.4,2398.6,91.7,61.1,6
0.029832,567.1,91.2,1553.6,87.0,2398.1,91.7,569.2,1552.4,2399.3,91.6,61.4,8.4
0.031832,573.3,89.1,1558.1,87.6,2401.0,88.4,571.1,1553.8,2400.4,91.5,61.7,10.7
0.033832,577.5,80.9,1556.6,80.0,2402.6,80.6,573.7,1555.6,2401.9,91.5,61.9,12.3
0.035832,581.1,74.0,1553.6,74.3,2405.1,75.3,576.8,1557.6,2403.7,91.4,62.1,13.2
0.037832,585.4,77.6,1556.0,78.9,2410.0,83.5,580.5,1560,2406,91.4,62.3,13.7
0.039832,592.1,92.9,1567.3,91.3,2417.4,109.3,584.9,1562.5,2408.8,91.3,62.6,13.9
0.041832,598.7,100.8,1575.6,93.4,2421.4,127.1,589.7,1565.2,2412,91.2,62.8,14
0.043832,602.5,95.3,1575.8,86.1,2420.7,124.1,595.1,1568,2415.6,91.1,63,14.1
0.045832,604.0,85.4,1572.8,77.5,2418.8,113.0,600.8,1570.9,2419.5,91,63.1,14.2
0.047832,604.3,81.3,1571.3,73.7,2418.5,107.8,606.9,1573.8,2423.7,90.9,63.1,14.1
0.049832,607.5,92.4,1576.2,77.9,2422.4,121.0,613.1,1576.5,2428,90.8,63.1,13.9
0.051832,617.7,112.7,1585.7,82.7,2430.9,150.4,619.4,1579.2,2432.3,90.7,63.1,13.8
0.053832,627.6,117.9,1589.0,80.0,2436.0,161.6,625.5,1581.6,2436.3,90.7,63.1,13.9
0.055832,632.4,109.3,1586.2,73.8,2435.6,149.8,631.4,1583.8,2439.9,90.6,63.1,14.3
0.057832,633.8,100.9,1581.7,69.9,2434.8,133.8,636.7,1585.7,2443,90.5,63,14.9
0.059832,634.9,103.1,1578.5,73.7,2436.7,129.1,641.4,1587.4,2445.2,90.4,63,15.6
0.061832,639.4,119.7,1580.9,86.6,2442.1,147.7,645.4,1588.7,2446.6,90.3,63,16.2
0.063832,646.1,129.6,1584.9,92.1,2447.7,167.8,648.4,1589.7,2446.9,90.2,63,16.4
