time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025324,502.9,45.8,1534.8,152.0,2358.5,135.5,504.9,1527.7,2357.1,113.6,62.4,-37.8
0.027324,506.5,39.8,1524.9,137.4,2352.3,126.7,510,1524.8,2353.5,113.6,63.5,2.7
0.029324,515.8,41.8,1514.7,133.8,2345.2,135.6,517.8,1520.3,2348.6,113.7,64.4,16.1
0.031324,530.9,49.6,1509.7,133.0,2339.1,155.7,527.8,1514.4,2343.5,113.7,65.2,18.2
0.033324,544.7,53.2,1507.7,125.3,2337.2,162.8,539,1507.7,2339.6,113.8,65.8,14
0.035324,554.2,50.3,1503.4,113.3,2339.5,154.5,550.6,1500.7,2338,113.8,66.4,8.1
0.037324,561.7,47.3,1496.0,102.9,2345.1,145.9,561.8,1494.3,2339.2,113.9,67.1,5.5
0.039324,571.0,49.1,1488.5,94.8,2353.0,148.8,572.1,1489.2,2343.5,114,67.6,6.3
0.041324,581.1,52.3,1485.6,85.7,2360.0,154.1,581.2,1486.4,2350.1,114,68.1,7.1
0.043324,587.8,50.7,1485.3,77.0,2362.2,147.5,589,1486.3,2358.1,114.1,68.6,7.9
0.045324,592.5,46.2,1486.3,71.6,2361.5,133.0,595.7,1489.4,2366.3,114.2,68.9,8.5
0.047324,597.9,45.5,1492.9,73.6,2361.4,119.1,601.7,1495.8,2373.5,114.3,69.1,8.8
0.049324,606.1,52.6,1508.8,82.4,2365.1,110.2,607.5,1504.9,2378.9,114.4,69.3,8.4
0.051324,615.2,61.3,1525.0,87.1,2371.6,103.3,613.5,1515.9,2382.2,114.6,69.4,7.6
0.053324,621.9,64.0,1532.8,84.8,2378.2,97.2,619.9,1527.8,2383.8,114.7,69.4,6.6
0.055324,628.2,64.0,1537.5,82.4,2386.4,97.8,627.1,1539.3,2384.4,114.8,69.5,5.8
0.057324,636.9,68.6,1544.7,84.2,2397.3,112.1,635,1549.1,2385.1,115,69.7,5.4
0.059324,647.1,76.4,1552.1,85.8,2406.3,131.3,643.3,1556.3,2387,115.1,69.7,5.6
0.061324,654.5,79.5,1555.0,84.5,2408.3,140.6,651.8,1560.2,2390.8,115.3,69.8,6.3
0.063324,658.8,79.3,1554.8,83.4,2405.7,140.0,659.9,1560.9,2396.6,115.5,69.7,7.2
0.065324,663.2,84.1,1555.3,86.2,2402.0,137.6,667.2,1558.9,2404,115.7,69.6,8
0.067324,669.3,101.0,1558.0,92.5,2400.2,138.4,673.3,1555,2411.9,115.8,69.3,8.4
0.069324,675.4,122.3,1560.1,94.8,2400.2,136.5,677.7,1550.7,2418.5,116,69,8.5
0.071324,679.2,132.7,1558.5,91.6,2400.6,129.5,680.5,1547,2422.3,116.2,68.7,8.3
0.073324,680.9,135.2,1553.9,88.6,2401.5,124.2,681.5,1545.3,2421.8,116.4,68.3,7.9
0.075324,682.2,141.8,1547.7,89.4,2404.6,129.7,681,1546.1,2416.2,116.6,67.9,7.6
0.077324,683.1,154.4,1543.8,92.1,2411.1,150.9,679.2,1549.8,2405.5,116.8,67.5,7.5
0.079324,681.7,159.7,1544.4,92.0,2417.7,173.6,676.6,1555.9,2390.7,116.9,67.1,7.7
0.081324,676.4,152.0,1548.2,91.4,2418.2,184.6,673.6,1563.6,2373.5,117.1,66.7,8
0.083324,669.6,139.0,1557.1,97.4,2408.6,194.4,670.7,1571.5,2356.4,117.2,66.4,8.3
0.085324,666.5,126.6,1576.9,113.1,2378.8,222.0,668.4,1578.5,2341.9,117.4,66.1,8.6
0.087324,666.4,114.6,1597.6,130.7,2315.7,276.3,666.8,1583.2,2332.1,117.5,65.7,8.7
0.089324,662.7,104.9,1599.7,148.8,2230.5,343.4,666.3,1584.9,2328.7,117.6,65.4,8.3
