time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025483,528.2,95.9,1372.6,100.8,2018.2,153.8,545.7,1386.3,2036.8,89.9,57,8.1
0.027483,532.8,94.0,1379.8,96.8,2032.4,151.4,546.9,1388.1,2039.1,89.7,57.5,8.2
0.029483,543.1,106.8,1392.6,103.6,2047.3,161.0,548.9,1390.9,2042.9,89.6,58,7.1
0.031483,557.4,117.8,1404.8,104.8,2057.8,164.3,551.6,1394.8,2048,89.4,58.4,5.4
0.033483,566.4,112.5,1409.6,94.1,2063.7,153.4,555.1,1399.6,2054.3,89.2,58.8,3.7
0.035483,570.5,100.8,1410.7,80.9,2068.4,138.0,559.3,1405.1,2061.7,89,59.1,2.2
0.037483,572.0,90.6,1410.8,70.1,2073.2,124.2,564.1,1411.3,2070,88.9,59.1,1.6
0.039483,572.5,89.5,1412.7,66.8,2078.5,119.9,569.5,1417.9,2079,88.7,59.1,1.9
0.041483,576.2,110.5,1422.0,76.7,2087.2,133.8,575.3,1424.9,2088.5,88.5,59.1,2.8
0.043483,586.8,142.4,1436.1,87.9,2099.6,148.3,581.5,1431.9,2098.3,88.3,59,4.2
0.045483,596.9,151.0,1444.3,85.1,2110.5,143.8,587.9,1438.9,2108.2,88.2,59,5.7
0.047483,601.7,140.9,1447.0,76.1,2117.8,130.9,594.5,1445.7,2118.1,88,58.9,7.2
0.049483,602.3,127.8,1448.1,68.8,2123.5,120.6,601.2,1452.1,2127.8,87.9,58.9,8.7
0.051483,601.3,122.2,1451.2,69.5,2130.5,122.1,607.7,1458.1,2137.2,87.7,58.7,10.5
0.053483,605.5,135.7,1462.0,85.6,2141.8,147.5,614.1,1463.5,2146.3,87.6,58.7,12.3
0.055483,616.2,151.0,1474.5,97.6,2154.8,167.6,620.2,1468.3,2155.1,87.5,58.7,13.8
0.057483,624.1,149.9,1478.9,91.9,2163.7,159.9,625.8,1472.4,2163.3,87.4,58.7,14.9
0.059483,627.2,141.2,1478.8,82.0,2169.7,145.1,631,1475.8,2171.2,87.3,58.7,15.2
0.061483,627.1,133.2,1477.2,75.0,2175.5,134.4,635.6,1478.5,2178.6,87.2,58.7,15.1
0.063483,627.7,139.9,1475.6,79.7,2183.8,138.7,639.6,1480.6,2185.6,87.2,58.7,14.8
