time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025483,480.5,99.4,1264.8,187.1,2027.5,179.0,489.2,1270.8,2019.7,89.1,57.5,10.3
0.027483,488.8,97.2,1272.7,189.9,2027.9,168.3,492,1273,2020.3,89,58.1,10.5
0.029483,491.2,86.1,1272.0,176.6,2025.1,155.0,496.4,1276.4,2021.3,88.9,58.5,10
0.031483,493.1,76.7,1270.3,162.4,2020.9,145.7,502.5,1281,2022.7,88.8,58.8,9.2
0.033483,500.9,80.1,1278.5,160.1,2017.0,150.6,509.9,1286.5,2024.4,88.7,59.1,8.3
0.035483,522.2,104.4,1301.2,171.6,2019.2,170.1,518.4,1292.7,2026.2,88.6,59.5,7.5
0.037483,545.8,122.1,1317.5,171.8,2026.3,173.2,527.8,1299.3,2028.3,88.5,59.8,7.1
0.039483,556.6,117.7,1321.0,159.7,2030.5,160.2,537.9,1306,2030.3,88.4,60.2,7.2
0.041483,560.3,105.7,1319.0,145.6,2032.6,144.4,548.3,1312.6,2032.4,88.3,60.4,7.7
0.043483,562.9,95.7,1316.1,135.2,2033.9,132.2,558.7,1318.8,2034.4,88.2,60.5,8.3
0.045483,567.8,97.6,1317.4,136.4,2034.0,133.1,568.9,1324.5,2036.3,88,60.6,8.9
0.047483,578.1,121.0,1327.8,151.1,2034.0,151.4,578.8,1329.5,2038.1,87.9,60.8,9.3
0.049483,589.2,142.8,1336.7,155.6,2036.4,160.2,588,1333.8,2039.8,87.8,60.9,9.5
0.051483,595.2,142.0,1338.5,145.8,2039.8,152.3,596.5,1337.3,2041.4,87.7,61,9.4
0.053483,597.7,129.4,1336.3,132.5,2042.7,140.0,604.2,1340,2042.9,87.6,61,9.4
0.055483,599.1,117.1,1332.7,123.0,2044.9,131.6,610.9,1342.2,2044.3,87.4,61,9.6
0.057483,603.7,117.4,1332.3,127.0,2045.8,138.3,616.9,1343.9,2045.8,87.3,60.9,10.1
0.059483,617.2,138.7,1342.4,147.0,2046.9,165.6,621.9,1345.2,2047.3,87.2,60.9,11.2
0.061483,631.9,154.4,1354.0,153.0,2052.0,178.6,626.2,1346.3,2048.8,87.1,60.9,12.7
0.063483,637.6,149.8,1356.8,141.0,2056.3,170.4,629.7,1347.5,2050.5,87,60.8,14.4
0.065483,636.6,137.0,1353.7,125.7,2058.4,158.9,632.7,1348.7,2052.3,86.9,60.8,15.8
0.067483,632.5,126.6,1348.4,115.2,2059.3,153.2,635.1,1350.2,2054.1,86.8,60.7,16.8
0.069483,629.8,129.5,1345.0,120.4,2058.1,165.3,637.1,1352,2056,86.7,60.6,17.3
0.071483,635.8,145.7,1350.7,143.2,2056.8,192.9,638.8,1354,2058,86.6,60.5,17.4
0.073483,644.0,148.8,1359.5,151.5,2059.9,199.0,640.2,1356.3,2059.8,86.5,60.5,17.3
0.075483,646.2,138.4,1362.3,142.8,2063.5,188.3,641.4,1358.7,2061.4,86.4,60.5,17
0.077483,644.0,126.5,1361.0,132.0,2066.1,176.8,642.5,1361.2,2062.8,86.3,60.4,16.6
