time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025515,538.9,111.8,1382.4,126.7,2187.7,91.4,574.6,1308.5,2194.8,94.8,60.7,9.6
0.027515,548.2,121.6,1369.4,134.5,2196.4,101.2,575,1306.9,2194.7,94.8,60.8,9.5
0.029515,557.7,145.7,1352.0,152.0,2200.8,134.0,575.6,1304.4,2194.5,94.7,61,9.2
0.031515,567.4,152.1,1338.3,160.0,2195.2,169.3,576.5,1300.9,2194.3,94.7,61.1,9
0.033515,575.0,136.2,1330.1,156.4,2186.4,180.8,577.5,1296.5,2194.1,94.6,61.3,8.9
0.035515,581.4,118.5,1321.7,153.5,2181.2,180.7,578.8,1291.1,2193.8,94.6,61.4,9
0.037515,587.6,115.9,1305.6,163.5,2181.6,180.8,580.3,1284.8,2193.7,94.5,61.5,9.1
0.039515,593.4,136.1,1278.2,182.2,2185.7,175.2,582,1277.8,2193.5,94.4,61.7,9.2
0.041515,598.1,154.8,1250.5,182.5,2188.7,152.2,583.8,1269.9,2193.6,94.4,61.8,9.4
0.043515,601.1,147.2,1235.8,165.0,2190.8,124.6,585.7,1261.3,2193.7,94.3,61.8,9.6
0.045515,602.2,127.7,1226.6,145.3,2193.6,99.3,587.7,1252.1,2194.1,94.2,61.8,9.8
0.047515,600.5,114.2,1217.7,133.8,2198.9,80.9,589.8,1242.2,2194.7,94.2,61.7,10
0.049515,597.0,126.0,1208.3,144.3,2207.8,77.6,591.9,1231.9,2195.7,94.1,61.6,10.3
0.051515,597.2,167.7,1196.3,175.4,2218.5,87.7,594,1221.1,2196.9,94,61.4,10.6
0.053515,602.8,197.5,1183.6,192.6,2223.1,92.5,596.1,1209.9,2198.6,94,61.3,10.8
0.055515,607.3,197.3,1171.5,189.5,2222.0,85.9,598.2,1198.5,2200.7,93.9,61.1,11
0.057515,607.8,188.4,1157.3,180.8,2219.2,74.4,600.2,1186.9,2203.3,93.9,61.1,11.1
0.059515,605.8,201.9,1137.5,182.5,2218.3,68.1,602.1,1175.1,2206.3,93.8,61.1,11.2
0.061515,607.6,249.7,1112.1,190.4,2220.9,69.2,603.8,1163.3,2209.9,93.8,61.1,11.5
0.063515,613.4,278.7,1096.6,183.8,2223.9,68.4,605.4,1151.6,2214.1,93.8,61.2,11.8
0.065515,617.0,270.4,1089.9,166.7,2225.0,61.8,606.8,1139.9,2218.8,93.7,61.3,12.4
0.067515,615.2,247.7,1085.4,148.9,2224.2,53.4,608,1128.5,2224.2,93.7,61.3,13.2
0.069515,607.7,234.2,1081.5,143.5,2222.6,49.8,609,1117.4,2230.1,93.7,61.3,14
0.071515,599.5,240.8,1079.1,164.8,2221.5,58.8,609.8,1106.6,2236.5,93.7,61.3,14.8
0.073515,600.5,249.2,1078.2,193.4,2223.0,78.9,610.3,1096.2,2243.6,93.8,61.3,15.3
0.075515,604.7,240.1,1075.9,191.2,2226.7,91.5,610.6,1086.2,2251.1,93.8,61.3,15.7
0.077515,606.1,220.6,1071.8,167.2,2231.5,91.0,610.6,1076.8,2259.2,93.8,61.3,16
0.079515,604.2,207.1,1067.8,149.0,2238.9,88.9,610.4,1068,2267.8,93.9,61.3,16.2
0.081515,602.2,213.4,1066.3,156.1,2255.8,97.2,609.9,1059.7,2276.8,93.9,61.3,16.3
0.083515,606.5,228.7,1068.4,187.3,2279.2,109.4,609.1,1052.2,2286.2,94,61.3,16.3
0.085515,612.8,225.1,1068.5,200.7,2294.6,107.3,608.2,1045.3,2295.9,94,61.3,16
0.087515,614.8,206.9,1064.0,182.6,2301.5,94.9,606.9,1039.1,2305.9,94.1,61.3,15.6
0.089515,612.1,190.8,1057.8,155.8,2306.3,83.7,605.5,1033.6,2316.1,94.2,61.2,15.1
0.091515,604.2,190.3,1052.9,134.9,2314.7,81.8,603.8,1028.8,2326.4,94.3,61.1,14.5
0.093515,595.6,212.4,1053.2,128.5,2330.6,95.8,602,1024.8,2336.8,94.4,61.1,14.1
0.095515,592.8,228.8,1055.1,124.3,2349.0,110.9,600,1021.4,2347.2,94.5,61,13.7
0.097515,594.1,220.3,1054.1,113.6,2360.6,111.1,597.9,1018.8,2357.5,94.6,60.9,13.3
0.099515,593.5,205.1,1050.9,102.4,2367.1,104.7,595.6,1016.8,2367.6,94.7,60.8,13
0.101515,587.6,203.2,1047.2,99.8,2375.9,105.0,593.2,1015.5,2377.6,94.9,60.6,12.7
0.103515,579.8,229.7,1046.2,118.7,2392.9,124.5,590.8,1014.7,2387.2,95,60.4,12.5
0.105515,580.8,262.5,1049.4,152.3,2419.2,153.2,588.3,1014.6,2396.5,95.1,60.2,12.5
0.107515,586.7,264.5,1051.3,161.8,2439.8,157.8,585.8,1014.9,2405.4,95.2,60.1,12.6
0.109515,587.9,250.5,1048.2,145.3,2448.4,141.8,583.4,1015.7,2413.8,95.3,59.9,12.7
0.111515,584.3,247.5,1042.4,128.6,2453.3,125.9,580.9,1017,2421.8,95.4,59.8,12.8
0.113515,579.4,273.7,1037.2,134.4,2456.3,126.6,578.5,1018.5,2429.1,95.6,59.7,12.8
0.115515,580.4,306.9,1033.1,163.5,2456.8,142.7,576.2,1020.4,2435.9,95.7,59.6,12.7
0.117515,583.6,307.1,1028.6,184.8,2455.7,154.2,573.9,1022.5,2442,95.8,59.5,12.6
0.119515,580.7,289.9,1022.6,174.7,2454.6,153.4,571.8,1024.8,2447.6,95.9,59.5,12.3
0.121515,569.7,281.1,1012.8,146.9,2452.5,155.2,569.8,1027.1,2452.4,96,59.4,12.1
0.123515,555.2,293.7,1002.1,124.4,2447.7,173.2,568,1029.5,2456.6,96.1,59.5,12
0.125515,551.4,306.4,996.9,115.0,2443.2,195.6,566.3,1031.9,2460.2,96.2,59.6,12
0.127515,561.0,285.8,1000.0,107.9,2445.3,192.3,564.8,1034.2,2463.2,96.2,59.7,12
0.129515,568.8,248.8,1006.8,95.9,2450.8,171.5,563.4,1036.3,2465.5,96.3,59.8,12
0.131515,567.9,215.7,1015.7,82.7,2457.4,152.0,562.3,1038.3,2467.2,96.4,59.8,12.1
0.133515,558.2,201.4,1028.0,79.2,2464.8,146.6,561.3,1040,2468.4,96.4,59.8,12.1
0.135515,551.8,195.8,1044.3,88.8,2471.9,150.4,560.5,1041.4,2469.1,96.5,59.9,12.1
0.137515,557.5,178.9,1054.5,98.9,2474.5,148.7,559.9,1042.6,2469.3,96.5,60,12.1
0.139515,565.8,156.0,1051.0,95.7,2472.3,138.2,559.4,1043.3,2469.1,96.6,60.1,12
0.141515,568.7,136.4,1038.8,85.0,2467.3,128.3,559.1,1043.7,2468.5,96.6,60.2,12.1
0.143515,562.5,130.7,1024.0,81.1,2458.3,133.9,559,1043.8,2467.6,96.6,60.3,12.2
0.145515,553.6,138.9,1009.2,93.1,2444.4,155.6,559,1043.4,2466.4,96.6,60.3,12.4
0.147515,553.7,145.1,996.9,116.7,2435.0,171.1,559.2,1042.7,2465,96.6,60.4,12.6
0.149515,560.4,136.0,991.3,125.5,2436.7,166.1,559.5,1041.5,2463.5,96.6,60.5,12.9
0.151515,565.8,120.9,992.2,114.5,2443.5,156.2,559.8,1040,2461.8,96.6,60.5,13.3
0.153515,566.2,119.4,998.4,106.8,2449.2,165.3,560.3,1038.2,2460.1,96.6,60.6,13.9
0.155515,564.3,136.6,1008.4,115.5,2450.9,201.3,560.8,1036,2458.3,96.6,60.6,14.8
0.157515,565.9,150.1,1016.8,126.8,2449.6,228.0,561.4,1033.6,2456.6,96.5,60.7,15.8
0.159515,570.4,144.0,1019.3,121.6,2450.0,218.9,562,1030.9,2454.9,96.5,60.7,17
0.161515,573.1,130.4,1018.7,104.5,2452.3,198.3,562.6,1028.1,2453.3,96.5,60.7,18
0.163515,570.3,127.8,1019.9,93.6,2456.1,191.0,563.2,1025.2,2451.8,96.4,60.6,18.8
0.165515,563.8,146.1,1027.3,101.0,2461.3,199.1,563.8,1022.2,2450.4,96.4,60.5,19.2
0.167515,561.7,168.4,1038.7,120.8,2465.3,196.5,564.4,1019.2,2449.2,96.4,60.4,19.5
0.169515,566.7,168.8,1043.2,128.6,2465.7,175.6,564.9,1016.3,2448.1,96.3,60.3,19.6
0.171515,571.8,158.0,1039.0,119.8,2464.5,151.6,565.3,1013.5,2447.1,96.3,60.3,19.6
0.173515,570.4,154.2,1032.4,109.0,2463.1,139.9,565.7,1011,2446.3,96.2,60.2,19.4
0.175515,563.7,168.1,1031.6,111.8,2460.7,149.7,565.9,1008.8,2445.6,96.1,60.2,19.1
0.177515,562.0,186.4,1040.0,128.2,2454.2,180.0,566.1,1007,2444.9,96.1,60.1,18.5
0.179515,566.8,181.0,1045.6,132.2,2448.7,198.9,566.2,1005.6,2444.4,96,60.1,17.9
0.181515,571.5,163.3,1042.5,119.4,2448.5,196.4,566.1,1004.8,2443.8,96,60.1,17.2
0.183515,570.2,152.9,1035.6,104.7,2451.0,194.0,566,1004.5,2443.3,95.9,60.1,16.7
0.185515,561.1,159.5,1032.3,100.2,2451.7,218.6,565.7,1005,2442.7,95.8,60,16.2
0.187515,553.1,175.3,1037.6,108.1,2441.0,291.9,565.3,1006.1,2442,95.8,60,15.8
0.189515,555.6,174.6,1043.2,112.8,2422.5,356.2,564.8,1008.1,2441.1,95.7,59.9,15.4
0.191515,562.7,162.4,1043.6,108.8,2417.7,353.0,564.1,1010.8,2440.1,95.7,59.8,15.1
0.193515,564.7,157.7,1040.2,104.1,2428.7,298.7,563.4,1014.5,2438.9,95.6,59.7,15
0.195515,556.4,174.7,1036.8,107.3,2440.3,225.2,562.5,1019,2437.4,95.5,59.7,15
0.197515,543.2,210.5,1039.5,117.5,2443.5,167.3,561.5,1024.4,2435.7,95.5,59.6,15.2
0.199515,541.3,223.3,1045.3,118.9,2442.6,139.5,560.5,1030.8,2433.5,95.4,59.6,15.5
0.201515,547.4,209.7,1048.1,110.8,2441.8,124.5,559.3,1038.1,2431.1,95.4,59.5,15.7
0.203515,549.9,198.4,1048.4,104.0,2441.6,119.8,558.1,1046.3,2428.2,95.3,59.5,16
0.205515,544.6,214.5,1050.1,109.2,2441.8,135.1,556.8,1055.4,2424.9,95.3,59.5,16.1
0.207515,540.1,265.4,1058.6,130.6,2439.8,193.3,555.4,1065.4,2421.2,95.2,59.5,16.2
0.209515,548.3,293.1,1068.4,143.1,2432.2,259.1,554,1076.2,2417,95.2,59.5,16.4
0.211515,558.3,274.6,1074.2,135.3,2421.5,271.9,552.6,1087.8,2412.4,95.2,59.6,16.5
0.213515,559.2,244.8,1076.3,121.1,2412.1,252.8,551.1,1100.1,2407.4,95.1,59.5,16.6
0.215515,549.0,228.8,1078.4,114.0,2400.2,238.1,549.6,1113.1,2402,95.1,59.5,16.8
0.217515,534.9,237.2,1086.6,126.2,2382.4,240.7,548.1,1126.6,2396.2,95.1,59.5,17
0.219515,536.7,245.6,1100.9,145.5,2365.9,244.6,546.6,1140.7,2390,95.1,59.5,17.2
0.221515,547.6,231.1,1113.4,146.0,2355.9,234.7,545.2,1155.1,2383.5,95.1,59.6,17.3
0.223515,554.1,212.8,1122.2,135.6,2352.3,220.1,543.7,1169.8,2376.7,95,59.6,17.3
0.225515,554.1,215.8,1135.0,134.4,2349.5,218.1,542.3,1184.8,2369.6,95,59.6,17.1
0.227515,551.5,266.0,1161.3,159.3,2342.2,250.7,540.9,1199.8,2362.4,95,59.6,16.8
0.229515,557.8,330.1,1192.3,190.1,2335.2,291.6,539.6,1214.7,2355.1,95,59.7,16.4
0.231515,569.5,344.5,1211.0,192.7,2333.0,296.9,538.3,1229.5,2347.7,95,59.7,15.9
0.233515,572.8,320.4,1216.8,173.9,2332.5,274.2,537.1,1244.1,2340.4,95,59.7,15.5
0.235515,568.7,302.8,1223.1,155.3,2329.8,238.5,535.9,1258.2,2333.1,95,59.7,15.2
0.237515,559.0,328.4,1243.4,154.6,2322.4,196.1,534.8,1271.9,2326,95,59.7,14.8
0.239515,550.1,381.2,1275.2,168.0,2316.0,165.4,533.8,1285,2319.2,95,59.8,14.5
0.241515,547.5,392.8,1298.2,170.5,2313.3,145.0,532.9,1297.3,2312.6,95,59.8,14.1
0.243515,548.8,369.3,1304.7,160.6,2312.0,129.7,532,1308.8,2306.5,95,59.8,13.7
0.245515,547.6,350.4,1306.1,149.9,2310.7,118.0,531.3,1319.4,2300.8,95,59.8,13.3
0.247515,541.2,369.2,1315.8,153.7,2307.3,115.6,530.6,1328.9,2295.6,94.9,59.8,12.9
0.249515,536.0,427.7,1347.0,178.5,2300.4,128.3,530,1337.4,2290.9,94.9,59.8,12.4
0.251515,531.2,439.5,1385.5,191.5,2294.5,141.5,529.5,1344.7,2286.9,94.9,59.7,12
0.253515,524.3,397.1,1399.5,178.8,2292.8,138.5,529.1,1350.7,2283.5,94.9,59.6,11.6
0.255515,517.2,355.9,1399.0,159.1,2292.0,127.7,528.7,1355.5,2280.9,94.9,59.4,11.1
0.257515,503.0,341.9,1396.2,145.5,2291.5,117.4,528.5,1358.9,2279,94.9,59.2,10.7
0.259515,476.8,383.0,1401.7,151.9,2288.7,116.4,528.4,1361,2277.8,94.9,58.9,10.3
0.261515,451.0,478.9,1426.7,180.9,2276.7,130.1,528.3,1361.7,2277.4,94.8,58.6,10
