time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025061,458.4,114.9,1783.3,119.2,2213.6,100.7,521.2,1709.9,2214.7,104,60.7,1.7
0.027061,475.7,109.0,1759.7,116.2,2206.3,105.6,522,1708.8,2214.1,104,61.6,3
0.029061,486.2,96.2,1747.2,108.8,2203.0,105.5,523.3,1707.1,2213.1,103.9,62.3,4
0.031061,492.8,83.8,1740.5,101.5,2203.9,101.7,525.1,1704.6,2211.6,103.9,62.8,4.7
0.033061,500.2,79.7,1731.5,99.9,2206.0,100.6,527.4,1701.5,2209.8,103.9,63.3,5.2
0.035061,513.4,88.7,1712.7,104.3,2203.5,106.1,530.2,1697.8,2207.6,103.9,63.6,5.6
0.037061,529.3,100.9,1694.1,102.1,2197.2,107.9,533.4,1693.5,2205.1,103.8,64,6
0.039061,539.4,102.2,1685.2,93.5,2194.2,102.1,537.1,1688.6,2202.2,103.8,64.3,6.4
0.041061,543.6,93.6,1679.6,86.3,2194.9,97.6,541.2,1683.1,2198.9,103.7,64.5,6.8
0.043061,546.7,84.9,1673.0,86.0,2196.4,100.0,545.7,1677.2,2195.4,103.6,64.6,7.1
0.045061,553.8,84.2,1661.3,97.1,2193.6,112.7,550.5,1670.8,2191.6,103.5,64.7,7.5
0.047061,563.6,86.5,1645.9,111.9,2185.2,125.1,555.6,1663.9,2187.5,103.4,64.8,7.7
0.049061,570.9,84.0,1634.6,115.3,2180.4,124.7,561,1656.8,2183.2,103.3,64.8,8
0.051061,576.2,80.4,1626.0,111.7,2181.4,119.4,566.6,1649.3,2178.7,103.2,64.9,8
0.053061,583.0,86.6,1615.2,110.3,2185.2,119.8,572.4,1641.6,2174,103.1,64.8,8
0.055061,596.0,112.1,1600.8,110.7,2188.6,129.7,578.4,1633.7,2169.2,103,64.8,8.1
0.057061,612.7,139.3,1590.7,104.3,2190.1,136.5,584.5,1625.6,2164.3,102.8,64.8,8.2
0.059061,623.8,143.8,1585.6,93.1,2192.0,132.8,590.7,1617.5,2159.3,102.7,64.9,8.7
0.061061,630.6,134.1,1581.2,83.2,2194.9,128.9,597,1609.4,2154.3,102.5,65,9.3
0.063061,639.3,126.5,1575.4,81.5,2194.7,139.6,603.2,1601.3,2149.2,102.4,65.1,10.1
0.065061,652.6,127.1,1567.5,89.1,2182.0,172.3,609.4,1593.2,2144.2,102.2,65.2,11
0.067061,661.9,125.4,1559.7,92.7,2160.0,199.0,615.5,1585.3,2139.2,102,65.4,11.7
0.069061,663.3,118.4,1554.4,87.8,2145.0,203.7,621.5,1577.6,2134.3,101.9,65.6,12.3
0.071061,660.5,110.9,1550.5,81.9,2134.3,202.5,627.3,1570.1,2129.6,101.7,65.8,12.8
0.073061,658.1,109.1,1547.0,84.0,2118.3,207.9,633,1562.9,2124.9,101.5,66,13.2
0.075061,661.2,112.4,1542.7,95.5,2092.0,214.1,638.5,1555.9,2120.5,101.3,66.1,13.5
0.077061,666.3,111.3,1537.9,100.5,2072.0,206.4,643.7,1549.4,2116.2,101.2,66.3,13.7
0.079061,667.5,105.5,1534.2,95.4,2063.9,193.5,648.7,1543.2,2112.2,101,66.4,13.6
0.081061,663.2,99.9,1531.3,88.5,2061.1,183.2,653.4,1537.4,2108.4,100.8,66.5,13.3
0.083061,653.3,101.8,1529.8,87.3,2062.1,182.0,657.8,1532.1,2104.9,100.7,66.5,12.8
0.085061,643.7,114.9,1530.8,92.7,2065.5,187.0,661.9,1527.2,2101.7,100.5,66.6,12.2
0.087061,642.1,127.6,1532.5,93.2,2067.5,183.2,665.7,1522.7,2098.8,100.3,66.6,12
0.089061,644.6,130.3,1532.5,87.3,2067.3,172.5,669.1,1518.8,2096.2,100.2,66.6,12.1
0.091061,647.0,129.1,1531.1,80.7,2068.6,162.2,672.2,1515.3,2093.9,100,66.6,12.6
0.093061,649.6,136.4,1528.1,80.0,2077.9,159.7,674.9,1512.3,2092,99.9,66.6,13.3
0.095061,655.4,155.6,1522.9,85.6,2094.7,162.4,677.4,1509.7,2090.4,99.8,66.7,14.1
0.097061,662.2,165.3,1517.4,86.6,2103.6,158.3,679.4,1507.7,2089.2,99.6,66.7,14.7
0.099061,665.9,159.5,1514.1,81.1,2103.2,149.1,681.2,1506.1,2088.3,99.5,66.7,14.9
0.101061,666.8,148.1,1512.2,75.2,2099.5,140.3,682.6,1504.9,2087.8,99.4,66.6,14.9
0.103061,665.6,139.8,1512.8,77.0,2096.3,139.6,683.8,1504.1,2087.7,99.3,66.5,14.7
0.105061,665.3,137.8,1518.7,93.9,2096.2,151.3,684.6,1503.7,2087.8,99.2,66.3,14.5
0.107061,667.4,133.3,1526.5,112.0,2097.8,159.6,685.2,1503.7,2088.3,99.1,66.2,14.4
0.109061,668.6,123.9,1528.3,113.1,2097.9,155.0,685.5,1504,2089.2,99,66.1,14.4
0.111061,668.3,115.4,1526.5,106.5,2097.6,147.4,685.6,1504.7,2090.3,98.9,66,14.7
0.113061,668.1,118.8,1526.3,104.9,2100.1,149.0,685.5,1505.6,2091.8,98.9,65.9,15
0.115061,671.6,143.0,1530.7,110.5,2107.3,162.9,685.1,1506.7,2093.5,98.8,65.8,15.3
0.117061,679.1,167.0,1533.8,108.9,2113.5,167.7,684.6,1508.1,2095.5,98.7,65.8,15.7
0.119061,684.0,168.2,1531.7,98.7,2114.4,158.7,684,1509.6,2097.7,98.7,65.7,15.9
0.121061,685.7,158.6,1527.0,87.9,2113.3,146.8,683.3,1511.2,2100.1,98.6,65.6,16.1
0.123061,685.0,154.4,1521.9,84.9,2112.8,139.9,682.4,1513,2102.7,98.6,65.5,16.3
0.125061,682.6,164.0,1516.8,98.0,2114.2,141.1,681.5,1514.7,2105.5,98.6,65.3,16.5
0.127061,680.6,173.1,1512.7,117.9,2115.7,140.4,680.6,1516.6,2108.4,98.5,65.1,16.7
0.129061,679.2,167.6,1510.0,121.0,2116.7,133.2,679.6,1518.4,2111.4,98.5,65,16.9
0.131061,677.0,155.3,1508.4,112.4,2118.4,125.3,678.6,1520.1,2114.5,98.4,64.9,17.2
0.133061,673.9,149.8,1509.5,108.5,2122.2,126.5,677.7,1521.8,2117.7,98.4,64.8,17.5
0.135061,672.6,158.3,1516.7,119.2,2129.4,143.4,676.7,1523.4,2120.9,98.4,64.8,17.9
0.137061,675.8,165.1,1526.2,129.4,2136.1,158.0,675.9,1524.9,2124.1,98.3,64.8,18.2
0.139061,678.8,158.1,1529.1,124.9,2138.6,155.9,675.1,1526.2,2127.3,98.3,64.8,18.4
0.141061,679.6,146.0,1527.0,114.0,2139.3,147.5,674.3,1527.4,2130.4,98.3,64.8,18.6
0.143061,677.9,140.9,1522.8,107.5,2141.0,145.8,673.7,1528.3,2133.5,98.2,64.8,18.8
