time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025497,480.6,106.9,1733.3,129.2,2191.3,133.5,504.8,1731.8,2241.6,84.6,54.4,-0.8
0.027497,483.1,95.7,1735.2,116.7,2193.8,119.7,505.7,1729.8,2238.8,84.7,55.1,-1
0.029497,485.3,86.1,1736.7,107.9,2197.6,110.7,507.1,1726.5,2234.2,84.7,55.4,-0.1
0.031497,490.4,82.9,1736.9,107.2,2204.0,113.3,509.2,1721.9,2227.9,84.7,55.6,1.2
0.033497,505.0,95.2,1731.1,122.2,2215.7,147.8,511.8,1716.2,2219.9,84.7,55.9,2.6
0.035497,523.8,108.1,1718.0,135.8,2228.1,207.2,514.8,1709.3,2210.5,84.7,56.2,3.9
0.037497,533.0,102.9,1704.0,135.1,2229.6,229.8,518.4,1701.4,2199.7,84.7,56.5,4.7
0.039497,537.0,90.4,1691.1,129.5,2225.5,221.6,522.4,1692.7,2187.7,84.7,56.7,5.4
0.041497,540.5,78.6,1679.1,123.4,2222.8,209.5,526.8,1683.1,2174.8,84.8,56.8,5.9
0.043497,545.0,73.5,1667.2,122.2,2220.6,211.2,531.5,1673,2161.1,84.8,56.8,6.4
0.045497,550.8,85.1,1652.6,133.9,2205.7,253.4,536.5,1662.3,2146.8,84.8,56.8,6.9
0.047497,555.3,108.7,1634.9,152.6,2155.2,326.3,541.7,1651.2,2132.2,84.8,56.9,7.4
0.049497,557.8,114.2,1618.4,156.5,2100.0,343.2,547.1,1639.9,2117.5,84.8,56.9,8
0.051497,560.4,102.6,1605.9,145.4,2071.9,320.5,552.6,1628.6,2102.8,84.8,56.9,8.5
0.053497,563.3,87.3,1597.3,131.8,2058.1,297.3,558.2,1617.2,2088.5,84.8,56.8,9.1
0.055497,566.2,78.3,1592.7,126.9,2050.8,296.0,563.8,1606.1,2074.6,84.8,56.7,9.6
0.057497,571.5,87.6,1594.7,144.0,2050.7,346.6,569.3,1595.2,2061.4,84.8,56.7,10.2
0.059497,581.5,109.7,1599.1,167.2,2050.8,407.2,574.8,1584.7,2049,84.8,56.7,11
0.061497,589.2,113.8,1592.5,169.4,2038.8,397.4,580.1,1574.8,2037.5,84.8,56.7,11.7
0.063497,592.2,101.9,1580.1,157.8,2024.5,353.3,585.2,1565.4,2027.1,84.8,56.7,12.4
0.065497,592.1,87.7,1567.9,143.7,2014.6,309.7,590.1,1556.6,2017.8,84.8,56.8,12.7
0.067497,590.2,81.0,1555.6,139.0,2008.9,284.0,594.8,1548.6,2009.8,84.8,56.8,12.4
0.069497,590.8,91.7,1540.1,152.3,2005.0,282.6,599.3,1541.2,2003,84.8,56.8,11.3
0.071497,597.8,106.2,1526.6,159.0,2000.1,275.1,603.4,1534.7,1997.5,84.7,57,9.8
0.073497,604.5,104.5,1519.2,146.2,1994.1,250.2,607.3,1528.8,1993.2,84.7,57.1,8.4
0.075497,607.5,93.7,1514.5,128.4,1989.5,221.4,610.8,1523.8,1990.2,84.7,57.1,7.7
0.077497,607.1,82.6,1511.5,113.9,1988.1,196.5,614.1,1519.4,1988.2,84.7,57.1,8.2
0.079497,604.0,78.2,1510.8,111.8,1991.0,184.7,617.1,1515.7,1987.4,84.7,57.1,9.9
0.081497,605.1,87.0,1515.7,132.9,1996.2,196.1,619.8,1512.7,1987.6,84.7,57.1,12.2
0.083497,614.0,95.4,1522.2,152.9,1993.9,211.3,622.2,1510.2,1988.6,84.7,57.2,14.6
0.085497,620.3,90.5,1520.3,146.7,1987.7,207.0,624.4,1508.2,1990.4,84.7,57.3,16.7
0.087497,622.9,81.4,1515.5,129.4,1986.1,191.3,626.4,1506.7,1992.9,84.7,57.3,18
0.089497,623.0,75.3,1511.4,114.6,1990.1,178.5,628.2,1505.5,1995.9,84.7,57.4,18.7
0.091497,622.0,79.7,1508.7,111.0,1999.3,179.7,629.9,1504.5,1999.3,84.7,57.4,19.2
0.093497,625.3,99.5,1507.4,120.0,2007.6,196.3,631.4,1503.8,2002.9,84.7,57.5,19.4
0.095497,632.7,111.2,1505.9,121.4,2006.3,202.2,632.8,1503.1,2006.8,84.7,57.6,19.5
0.097497,636.9,106.1,1503.1,110.8,2002.1,190.8,634.2,1502.5,2010.7,84.8,57.8,19.5
0.099497,638.1,97.1,1500.2,98.4,2000.0,174.9,635.5,1501.9,2014.7,84.8,57.8,19.2
0.101497,637.5,91.7,1498.3,90.7,2002.8,161.0,636.9,1501.2,2018.5,84.8,57.9,18.8
0.103497,637.8,98.2,1499.3,98.0,2015.2,152.4,638.2,1500.3,2022.2,84.8,57.9,18.4
0.105497,644.7,117.6,1503.9,129.9,2029.7,148.6,639.6,1499.3,2025.7,84.8,57.9,18
0.107497,653.6,124.7,1505.8,150.2,2033.2,142.4,641.1,1498,2029,84.9,58,17.8
0.109497,657.6,117.0,1502.3,140.9,2031.7,130.6,642.8,1496.5,2032.1,84.9,58.1,17.8
0.111497,658.3,107.8,1497.6,124.2,2030.0,117.8,644.5,1494.8,2035,84.9,58.2,17.9
0.113497,656.6,103.9,1493.1,111.3,2030.0,108.0,646.3,1492.8,2037.7,84.9,58.1,18
0.115497,652.9,111.7,1487.9,111.8,2035.3,109.7,648.3,1490.6,2040.2,84.9,58,18.1
0.117497,651.7,128.9,1479.8,131.4,2049.1,130.4,650.5,1488.2,2042.7,85,58,18.1
0.119497,656.3,133.1,1472.2,140.4,2061.3,142.4,652.8,1485.6,2045.2,85,57.9,18
0.121497,659.8,124.6,1467.3,129.1,2064.7,136.3,655.2,1482.8,2047.8,85,57.9,17.9
0.123497,660.7,115.5,1463.6,113.8,2064.0,126.5,657.8,1480,2050.4,85,57.9,17.8
0.125497,659.2,112.3,1461.2,103.7,2062.9,122.9,660.4,1477,2053.3,85.1,57.8,17.7
0.127497,657.0,121.6,1462.7,108.5,2065.1,138.0,663.2,1474.1,2056.5,85.1,57.7,17.5
0.129497,660.8,137.3,1470.6,126.6,2073.3,168.0,666.1,1471.2,2060.1,85.1,57.7,17.3
0.131497,668.2,137.0,1475.1,129.0,2079.3,172.2,669.1,1468.5,2064.1,85.1,57.7,17
0.133497,672.4,127.9,1472.5,116.8,2079.7,157.2,672,1465.9,2068.6,85.2,57.7,16.7
0.135497,674.0,121.6,1467.6,103.1,2078.6,141.4,675,1463.5,2073.7,85.2,57.7,16.4
0.137497,673.5,126.2,1463.0,95.3,2079.2,132.0,678,1461.3,2079.3,85.2,57.6,16.1
0.139497,672.2,155.1,1461.6,101.9,2084.2,134.7,681,1459.5,2085.6,85.2,57.6,15.8
0.141497,675.9,190.5,1465.0,115.8,2090.2,139.1,683.9,1458,2092.6,85.2,57.6,15.4
0.143497,682.7,193.0,1467.4,112.8,2091.7,129.8,686.6,1456.8,2100.2,85.2,57.7,15
0.145497,685.5,180.4,1465.8,101.1,2090.7,118.6,689.3,1456,2108.4,85.2,57.8,14.7
0.147497,684.3,170.0,1461.8,91.1,2089.5,112.2,691.8,1455.7,2117.1,85.3,57.7,14.5
0.149497,680.2,173.1,1456.9,87.8,2090.9,114.5,694.1,1455.7,2126.4,85.3,57.5,14.2
0.151497,677.2,209.3,1453.8,100.5,2103.9,135.2,696.3,1456.2,2136.2,85.3,57.3,14.1
0.153497,689.6,267.2,1458.9,122.0,2133.9,160.4,698.2,1457.1,2146.3,85.3,57.2,13.9
0.155497,708.6,284.6,1465.5,120.0,2157.0,156.9,699.9,1458.3,2156.7,85.3,57.1,13.8
0.157497,717.1,277.0,1466.0,105.3,2168.5,143.2,701.3,1459.9,2167.3,85.2,57,13.8
0.159497,717.9,273.8,1463.1,92.9,2177.5,132.7,702.5,1461.8,2178,85.2,56.9,13.8
0.161497,713.0,290.7,1459.2,89.8,2190.3,129.8,703.4,1464,2188.7,85.2,56.8,13.8
0.163497,706.2,323.5,1458.4,105.0,2212.3,137.6,704.1,1466.5,2199.1,85.2,56.7,13.8
0.165497,710.8,325.2,1466.6,126.8,2232.6,138.8,704.5,1469.1,2209.4,85.2,56.7,14
0.167497,717.9,300.7,1475.9,122.9,2241.1,123.4,704.6,1472,2219.2,85.2,56.7,14.3
0.169497,718.6,281.1,1480.1,107.1,2244.7,105.8,704.4,1474.9,2228.6,85.2,56.7,14.7
0.171497,713.3,276.7,1482.2,94.4,2247.3,93.0,704,1477.9,2237.5,85.1,56.7,15.2
0.173497,701.2,297.0,1484.7,91.2,2250.1,90.9,703.4,1481,2245.7,85.1,56.6,15.7
0.175497,686.5,329.4,1487.1,101.5,2254.5,112.0,702.5,1484,2253.2,85.1,56.5,16.1
0.177497,684.7,326.2,1487.5,109.8,2260.3,151.7,701.5,1487,2259.9,85.1,56.5,16.5
0.179497,690.2,301.2,1487.5,100.4,2264.8,170.6,700.2,1489.8,2265.9,85,56.5,16.8
0.181497,693.6,281.2,1487.8,84.4,2267.7,161.7,698.8,1492.6,2271,85,56.5,17.1
0.183497,693.0,275.7,1488.4,71.0,2270.8,143.8,697.3,1495.2,2275.3,85,56.4,17.3
0.185497,691.1,290.8,1489.7,65.5,2275.8,130.9,695.7,1497.6,2278.8,84.9,56.4,17.4
0.187497,696.0,307.2,1492.7,72.9,2281.0,133.6,693.9,1499.9,2281.6,84.9,56.4,17.5
0.189497,701.4,294.4,1495.9,79.9,2281.9,138.6,692.2,1501.9,2283.6,84.9,56.4,17.4
0.191497,701.2,272.1,1496.8,74.0,2280.8,131.1,690.3,1503.8,2284.9,84.9,56.5,17.3
0.193497,697.7,257.0,1496.8,63.9,2280.7,118.5,688.5,1505.4,2285.7,84.8,56.5,17.1
0.195497,690.9,255.7,1497.0,55.6,2282.2,106.7,686.8,1506.9,2285.9,84.8,56.4,16.9
0.197497,681.2,273.0,1498.6,53.2,2285.0,103.1,685,1508.1,2285.7,84.8,56.2,16.7
0.199497,677.3,287.3,1504.9,64.5,2287.8,123.3,683.4,1509.2,2285.1,84.8,56,16.4
0.201497,683.9,273.1,1515.7,82.0,2287.8,154.9,681.9,1510.1,2284.3,84.7,55.9,16.1
0.203497,686.1,251.7,1520.3,81.4,2286.4,158.8,680.5,1510.9,2283.3,84.7,55.7,15.8
0.205497,682.4,237.9,1519.6,70.5,2286.5,145.0,679.2,1511.5,2282.2,84.7,55.6,15.6
0.207497,675.8,236.6,1518.4,60.0,2288.3,128.1,678.1,1512,2281.2,84.7,55.5,15.7
0.209497,670.1,249.2,1518.2,54.8,2289.2,114.7,677.2,1512.4,2280.2,84.7,55.4,15.9
0.211497,673.6,250.7,1518.6,58.8,2283.2,113.3,676.4,1512.7,2279.4,84.6,55.3,16.3
0.213497,677.1,234.4,1517.2,65.5,2272.6,121.0,675.9,1512.8,2278.7,84.6,55.3,16.6
0.215497,675.1,219.6,1514.8,63.5,2266.9,121.7,675.6,1513,2278.3,84.6,55.3,16.8
0.217497,671.2,211.1,1512.6,56.3,2266.1,115.4,675.5,1513,2278.2,84.6,55.2,16.6
