time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,541.6,143.4,1609.9,81.6,2261.1,228.1,590.9,1580.5,2171.5,99.3,64.6,6.2
0.027000,549.0,136.3,1602.5,79.4,2230.7,254.2,591.6,1580,2171.5,99.1,64.7,6.5
0.029000,555.1,133.8,1596.3,76.7,2216.0,259.0,592.7,1579.1,2171.6,98.8,64.8,6.7
0.031000,565.1,146.8,1592.1,80.0,2211.2,272.7,594.2,1577.9,2171.7,98.5,64.9,6.9
0.033000,582.5,174.7,1589.2,89.1,2208.0,303.8,596.1,1576.4,2171.8,98.2,65.1,7.1
0.035000,597.3,185.8,1585.3,92.0,2200.5,320.3,598.4,1574.6,2172,97.9,65.2,7.4
0.037000,603.6,172.1,1579.3,87.3,2190.1,314.6,601.1,1572.4,2172.2,97.6,65.4,7.7
0.039000,605.7,150.3,1573.2,82.9,2181.0,303.9,604.2,1570,2172.4,97.3,65.6,8.2
0.041000,608.9,134.8,1569.5,86.7,2175.1,304.3,607.6,1567.3,2172.6,96.9,65.9,8.6
0.043000,616.7,130.0,1569.1,102.8,2169.1,320.5,611.3,1564.3,2173,96.6,66.1,9
0.045000,624.3,127.7,1567.1,114.0,2160.7,329.1,615.3,1561.1,2173.3,96.2,66.3,9.3
0.047000,628.0,121.0,1559.8,111.0,2151.6,320.7,619.6,1557.7,2173.7,95.9,66.4,9.4
0.049000,628.8,113.2,1550.2,103.2,2144.3,307.6,624.1,1554.1,2174.2,95.5,66.5,9.4
0.051000,629.4,111.5,1540.9,100.8,2142.0,301.5,628.8,1550.3,2174.7,95.2,66.4,9.4
0.053000,635.6,122.9,1533.0,110.7,2146.7,304.2,633.7,1546.4,2175.3,94.8,66.3,9.4
0.055000,648.3,134.8,1528.0,122.5,2150.2,299.6,638.8,1542.3,2176,94.5,66.3,9.5
0.057000,657.0,130.9,1522.6,120.9,2146.1,284.4,643.9,1538.2,2176.8,94.2,66.2,9.6
0.059000,660.1,120.6,1516.1,112.4,2140.1,262.4,649.1,1533.9,2177.6,93.9,66.1,9.8
0.061000,661.2,117.2,1510.2,107.6,2138.1,230.0,654.3,1529.7,2178.5,93.6,66,10.1
0.063000,667.7,134.8,1507.2,116.4,2143.2,175.2,659.5,1525.4,2179.5,93.3,66,10.4
0.065000,687.1,166.1,1509.5,135.3,2148.6,129.1,664.7,1521.1,2180.6,93,65.9,10.8
0.067000,703.1,173.5,1509.5,139.0,2150.3,108.6,669.8,1516.9,2181.8,92.8,65.9,11.3
0.069000,708.9,163.6,1504.8,128.2,2150.6,98.0,674.9,1512.7,2183.1,92.6,65.9,12
0.071000,709.9,153.2,1498.3,116.2,2151.5,92.6,679.8,1508.5,2184.5,92.3,65.8,12.7
0.073000,708.4,150.1,1491.9,110.7,2156.4,95.1,684.5,1504.5,2185.9,92.1,65.8,13.4
0.075000,707.5,155.6,1489.2,115.7,2167.3,106.0,689,1500.6,2187.5,92,65.9,13.8
0.077000,709.4,152.5,1489.7,117.7,2175.2,109.7,693.4,1496.9,2189.2,91.8,66,14.1
0.079000,711.0,140.6,1488.4,111.5,2177.4,104.5,697.5,1493.3,2190.9,91.7,66.1,14.1
0.081000,711.1,129.9,1485.2,103.5,2177.8,98.2,701.3,1489.8,2192.8,91.5,66.1,14
0.083000,710.0,125.5,1480.8,98.8,2179.5,94.6,704.9,1486.6,2194.7,91.4,66,14
0.085000,709.8,137.6,1477.6,107.1,2186.8,100.5,708.2,1483.6,2196.8,91.3,65.8,14
0.087000,716.2,161.7,1479.0,127.6,2199.2,111.0,711.2,1480.7,2198.9,91.2,65.7,14.1
0.089000,724.7,165.2,1480.5,132.6,2206.1,108.7,713.8,1478.1,2201,91.1,65.6,14.2
0.091000,728.5,152.3,1477.7,122.5,2208.1,99.2,716.2,1475.7,2203.3,91.1,65.6,14.4
0.093000,728.9,137.9,1472.5,109.8,2210.4,89.2,718.2,1473.6,2205.6,91,65.5,14.5
0.095000,725.2,132.9,1467.2,104.8,2218.1,84.2,719.8,1471.7,2208,91,65.4,14.6
0.097000,715.9,142.6,1464.8,115.2,2234.5,86.9,721.2,1470,2210.4,91,65.4,14.4
