time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025170,893.1,118.9,1826.3,508.6,2764.5,170.4,887.6,1809.8,2751,167.5,63,2.5
0.027170,890.7,105.5,1802.6,521.6,2755.9,176.6,887.9,1804.9,2750.6,167.3,64.9,2
0.029170,889.5,95.6,1788.2,525.1,2752.2,171.9,888.5,1797,2749.8,167,66.3,2.5
0.031170,889.4,88.9,1777.4,532.6,2750.0,165.6,889.2,1786.1,2748.7,166.8,67.4,3.7
0.033170,890.2,84.3,1767.1,549.6,2747.2,161.9,890.1,1772.5,2747.4,166.5,68.3,5.1
0.035170,891.6,80.1,1755.4,570.0,2743.4,159.8,891,1756.5,2745.9,166.2,69,6
0.037170,893.0,75.8,1740.8,579.4,2740.5,154.9,892.1,1738.6,2744.3,165.9,69.5,6.5
0.039170,893.6,71.8,1725.2,571.5,2739.7,147.3,893.1,1719,2742.5,165.7,69.9,6.7
0.041170,893.3,69.1,1709.7,557.6,2740.1,141.5,894,1698.2,2740.7,165.4,70.2,7.1
0.043170,892.5,68.0,1691.3,551.1,2740.2,140.7,894.8,1676.7,2738.9,165.1,70.4,7.7
0.045170,891.8,69.0,1665.4,555.4,2738.6,145.3,895.5,1654.9,2737.2,164.8,70.6,8.9
0.047170,891.3,71.4,1632.3,565.1,2734.6,153.9,895.9,1633.2,2735.6,164.5,70.7,11
0.049170,891.1,73.8,1597.0,570.7,2728.9,161.9,896,1612.2,2734.2,164.2,70.7,14
0.051170,891.7,75.9,1566.6,564.2,2724.0,165.5,895.8,1592.1,2733,164,70.7,17.1
0.053170,892.7,77.2,1548.7,544.4,2721.4,164.6,895.3,1573.4,2732,163.7,70.7,19.9
0.055170,893.3,77.2,1543.6,514.5,2721.3,162.0,894.4,1556.5,2731.2,163.4,70.6,21.7
0.057170,892.8,76.9,1542.4,480.1,2723.0,163.7,893.1,1541.5,2730.7,163.1,70.5,22.3
0.059170,891.0,77.4,1539.2,454.5,2726.4,175.8,891.6,1528.7,2730.5,162.9,70.5,22
0.061170,888.9,78.5,1536.2,452.1,2731.2,199.9,889.7,1518.2,2730.5,162.6,70.4,21.4
0.063170,887.4,80.2,1536.3,479.5,2735.2,235.9,887.5,1510.3,2730.6,162.3,70.3,20.6
0.065170,886.2,83.1,1532.4,534.7,2738.4,292.3,885.1,1504.7,2731,162,70.1,20.1
0.067170,884.5,87.4,1512.0,586.8,2746.0,374.8,882.5,1501.7,2731.5,161.7,70,19.9
0.069170,882.0,92.2,1485.5,580.4,2756.5,456.6,879.9,1501,2732.1,161.4,69.8,19.9
0.071170,879.3,95.4,1480.2,520.8,2742.4,460.3,877.2,1502.5,2732.7,161.1,69.6,19.8
0.073170,877.8,96.1,1493.5,452.7,2714.3,394.3,874.5,1506.1,2733.3,160.7,69.4,19.5
0.075170,877.5,95.0,1509.3,397.2,2703.5,331.6,872,1511.6,2733.8,160.4,69.2,19
0.077170,877.4,93.8,1518.7,361.8,2710.6,297.7,869.6,1518.6,2734.2,160,69.1,18
0.079170,876.5,93.1,1521.8,347.5,2725.6,289.2,867.6,1526.9,2734.4,159.6,68.9,16.6
0.081170,874.4,93.1,1524.0,347.8,2741.2,289.3,865.9,1536.3,2734.3,159.2,68.7,15.2
