time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025601,923.8,364.2,1614.9,375.7,3059.5,345.6,960.7,1690.3,3089.5,0,55.1,-3
0.027601,917.0,427.7,1616.3,452.1,3069.3,363.7,960.3,1689.1,3082.7,0,55,-3.5
0.029601,942.4,460.2,1667.1,569.4,3092.8,373.6,959.6,1687.2,3071.9,0,55,-3.6
0.031601,971.5,296.4,1751.7,429.6,3104.3,388.0,958.6,1684.7,3057.4,0,55.2,-3.2
0.033601,966.6,178.3,1739.6,270.3,3081.0,485.2,957.2,1681.9,3040.1,0,55.7,-2.7
0.035601,967.5,130.6,1724.0,208.1,3025.1,548.5,955.3,1679,3020.8,0,56.3,-2.1
0.037601,975.0,113.4,1720.4,192.8,2985.8,515.3,952.9,1676.3,3000.5,0,56.8,-1.3
0.039601,984.2,114.4,1723.1,211.7,2969.2,479.5,950,1674.1,2980,0,57.1,-0.2
0.041601,991.1,139.8,1726.7,288.6,2957.2,448.6,946.5,1672.7,2960.4,0,57.1,1
0.043601,988.7,201.3,1717.9,463.4,2934.0,431.6,942.5,1672.6,2942.4,0,57,2
0.045601,966.8,312.9,1649.9,776.0,2895.8,419.4,937.8,1674,2927,0,56.7,2.7
0.047601,921.3,401.3,1525.4,1010.6,2872.3,388.8,932.7,1677.3,2914.6,0,56.4,2.9
0.049601,893.2,378.6,1535.6,1208.6,2881.5,368.7,927,1682.7,2905.7,0,56.1,2.7
0.051601,889.2,305.7,1682.5,1363.0,2910.0,378.9,921,1690.6,2900.5,0,56,2.4
0.053601,887.7,254.6,1760.8,1193.6,2929.3,384.2,914.8,1701.1,2898.9,142.7,55.9,2.3
0.055601,884.9,217.8,1751.5,883.1,2910.9,364.7,908.3,1714.3,2900.7,142.7,56,2.6
0.057601,882.0,193.2,1730.2,714.5,2872.4,346.7,901.9,1730.3,2905.5,142.6,56,3.7
0.059601,879.9,183.9,1722.4,709.6,2856.5,362.3,895.6,1749,2912.6,142.6,56.1,5.2
0.061601,880.6,185.3,1742.0,821.3,2887.5,437.4,889.6,1770.3,2921.4,142.5,56.2,6.9
0.063601,883.8,185.7,1801.8,934.5,2969.2,518.7,883.8,1793.9,2931.1,142.4,56.2,8.5
0.065601,887.0,176.7,1875.6,930.2,3044.9,467.5,878.5,1819.5,2940.7,142.2,56.1,9.7
0.067601,888.7,159.7,1905.4,837.1,3036.0,389.5,873.5,1846.8,2949.4,142.1,56,10.5
0.069601,887.7,140.7,1919.9,750.5,3007.0,323.4,869,1875.3,2956.5,141.9,55.9,11.1
0.071601,881.2,122.9,1940.1,690.1,2984.8,266.6,864.9,1904.6,2961.3,141.7,55.8,11.5
0.073601,872.6,108.1,1957.2,638.9,2962.7,225.5,861.2,1934.1,2963.3,141.5,55.7,11.9
0.075601,865.8,96.6,1967.4,591.4,2932.2,191.8,857.6,1963.6,2962.2,141.2,55.7,12.2
0.077601,861.7,88.3,1972.6,556.9,2901.6,165.0,854.2,1992.4,2957.8,141,55.7,12.6
0.079601,857.7,82.7,1979.2,545.3,2881.9,150.5,850.7,2020.3,2950.3,140.7,55.8,13
0.081601,851.3,83.1,1995.2,577.2,2878.9,161.0,847,2047,2940,140.3,55.9,13.4
0.083601,841.4,88.1,2019.6,635.1,2888.8,195.3,843,2072.2,2927.4,140,56.1,13.5
0.085601,828.8,90.7,2048.0,685.7,2902.1,235.9,838.5,2096,2913.1,139.6,56.2,13.4
