time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025408,719.8,72.1,1481.2,446.1,2935.7,451.0,722.9,1431.2,2907.2,138.9,68,1.7
0.027408,730.3,72.8,1474.9,478.0,2926.7,390.6,724.9,1433.4,2905.8,138.9,68.7,1.4
0.029408,732.2,71.4,1443.6,540.7,2906.4,331.8,728.1,1436.9,2903.8,139,69.4,1.1
0.031408,731.8,68.7,1407.7,599.1,2887.8,279.9,732.4,1441.7,2901.4,139.1,70,0.9
0.033408,732.7,64.7,1392.2,616.7,2877.4,240.6,737.7,1447.4,2898.9,139.2,70.5,1.1
0.035408,737.6,61.8,1408.8,587.0,2875.3,213.5,743.7,1453.9,2896.7,139.3,70.8,2
0.037408,747.9,61.0,1439.6,543.5,2878.0,190.4,750.2,1460.8,2895.2,139.3,71,3.9
0.039408,759.5,60.1,1466.7,506.7,2883.6,170.3,756.9,1467.8,2894.9,139.4,71.1,6.8
0.041408,767.3,58.1,1485.5,473.2,2891.2,155.5,763.7,1474.5,2895.8,139.4,71.1,9.9
0.043408,772.6,57.1,1500.1,442.3,2901.3,143.7,770.2,1480.7,2898.2,139.5,71.2,12.6
0.045408,777.7,58.1,1510.3,425.3,2911.8,132.7,776.5,1485.9,2902.1,139.5,71.2,14.1
0.047408,782.6,59.2,1511.9,420.4,2920.9,123.7,782.2,1489.7,2907.4,139.5,71.3,13.9
0.049408,787.0,60.5,1503.9,423.5,2928.4,120.1,787.2,1492,2913.9,139.5,71.4,12.6
0.051408,791.6,62.6,1492.8,432.8,2934.0,119.7,791.6,1492.5,2921.2,139.4,71.5,10.8
0.053408,795.4,63.0,1482.1,433.5,2937.7,117.7,795.3,1490.8,2928.8,139.4,71.6,9.3
0.055408,797.1,60.5,1472.6,404.3,2939.8,114.0,798.2,1487,2936.3,139.3,71.6,8.8
0.057408,798.1,58.3,1464.4,353.8,2941.3,112.4,800.5,1481,2943.3,139.3,71.6,9.5
0.059408,800.4,58.6,1459.3,314.2,2942.8,115.0,802.1,1472.7,2949.1,139.2,71.5,11.1
0.061408,803.3,60.0,1458.3,299.1,2944.6,118.4,803.2,1462.4,2953.5,139.1,71.4,13
0.063408,805.1,60.9,1458.5,305.1,2946.7,119.1,803.8,1450.1,2956.1,138.9,71.4,14.9
0.065408,805.3,62.7,1455.0,338.2,2948.9,116.9,804,1436.1,2956.9,138.8,71.3,16.4
0.067408,804.6,65.1,1440.3,397.6,2950.0,115.7,803.9,1420.8,2955.7,138.6,71.4,17.7
0.069408,803.0,66.5,1411.9,461.6,2948.5,116.9,803.6,1404.4,2952.9,138.4,71.4,18.9
0.071408,801.2,68.1,1379.8,513.0,2944.0,120.1,803,1387.3,2948.6,138.3,71.5,19.9
0.073408,800.2,71.1,1352.6,560.3,2938.1,123.0,802.2,1370,2943.3,138,71.5,20.6
0.075408,800.8,73.3,1338.9,605.1,2935.3,120.9,801.3,1352.8,2937.5,137.8,71.5,20.6
0.077408,802.2,73.6,1338.9,644.0,2937.0,116.0,800.2,1336.1,2931.7,137.6,71.5,19.6
0.079408,803.3,74.6,1341.2,666.4,2939.4,115.8,799,1320.2,2926.4,137.3,71.5,17.8
0.081408,802.4,77.0,1322.3,652.0,2939.2,124.9,797.5,1305.4,2922.1,137.1,71.5,15.7
0.083408,798.3,77.9,1277.8,574.6,2936.9,142.9,796,1291.9,2919.2,136.8,71.5,13.9
0.085408,793.1,75.4,1249.7,467.2,2934.2,159.5,794.2,1279.7,2918.1,136.5,71.5,13
0.087408,788.6,71.9,1243.0,377.7,2929.6,174.7,792.3,1269.1,2918.8,136.2,71.5,13.3
0.089408,785.2,67.8,1246.9,319.2,2920.3,198.6,790.3,1259.9,2921.4,135.9,71.5,14.4
0.091408,783.5,62.8,1255.9,287.6,2909.3,230.0,788.2,1252.1,2925.7,135.6,71.5,15.9
