time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025322,589.6,79.5,1003.3,326.4,2287.0,1215.0,631.2,1037.2,2341.9,164.4,73.2,5.4
0.027322,621.7,88.9,1013.4,343.6,2346.2,1238.7,636.5,1038.5,2326.6,164.7,73.7,4.9
0.029322,647.7,90.1,1022.9,351.9,2329.4,1245.7,645,1040.3,2301.9,165,74.1,4.9
0.031322,668.5,89.9,1025.7,359.9,2277.0,1254.1,656.2,1042.5,2269.1,165.3,74.4,5.6
0.033322,685.9,89.4,1029.5,370.6,2230.7,1243.7,669.3,1044.7,2229.9,165.7,74.6,6.7
0.035322,702.1,86.0,1043.5,386.0,2207.1,1228.2,683.6,1046.4,2186.1,166.1,74.8,7.8
0.037322,716.0,80.4,1069.0,403.3,2193.8,1219.7,698.3,1047.3,2140,166.6,74.9,9
0.039322,725.8,76.9,1090.9,418.9,2162.6,1231.4,712.4,1047,2093.7,167.1,75,10
0.041322,733.1,76.3,1099.5,442.2,2073.9,1259.7,725.3,1045.3,2049.3,167.6,75.1,11
0.043322,738.1,77.9,1094.1,471.9,1941.8,1201.8,736.3,1041.9,2008.8,168.2,75.1,12
0.045322,741.5,81.0,1078.9,494.7,1854.9,1043.4,744.9,1036.8,1973.8,168.9,75.1,13
0.047322,743.5,86.1,1055.5,497.0,1839.8,894.9,750.7,1030.2,1945.6,169.6,75.2,13.7
0.049322,743.9,92.6,1028.7,480.8,1866.0,789.9,753.9,1022.2,1925,170.3,75.2,14
0.051322,743.2,101.6,999.4,449.9,1906.8,698.2,754.3,1013.2,1912.4,171.2,75.3,14.1
0.053322,742.0,111.7,974.5,407.5,1941.7,620.0,752.4,1003.9,1907.7,172,75.3,14
0.055322,740.2,122.5,955.0,356.4,1966.6,548.6,748.7,994.6,1910.4,173,75.4,13.7
0.057322,737.9,134.1,942.2,308.1,1981.8,492.6,743.6,985.9,1919.7,173.9,75.4,13.2
0.059322,736.4,143.7,937.0,279.5,1990.3,472.2,738,978.6,1934.3,175,75.5,12.7
0.061322,735.4,151.7,936.5,266.0,1998.1,483.0,732.5,972.9,1952.7,176.1,75.5,11.9
0.063322,733.2,155.0,939.7,261.0,2006.5,507.1,727.7,969.4,1973.5,177.3,75.6,10.9
0.065322,729.2,150.1,948.1,258.4,2016.1,527.3,724.2,968.2,1995.1,178.5,75.6,9.9
0.067322,725.1,136.7,963.2,258.0,2026.0,536.8,722.4,969.5,2016,179.8,75.7,9
0.069322,724.3,121.8,981.6,264.0,2031.4,540.6,722.7,973.2,2034.9,181.1,75.8,8.5
0.071322,729.1,107.6,1003.1,285.2,2030.6,553.3,725.1,979,2050.7,182.5,76,8.3
0.073322,737.6,95.4,1025.7,324.1,2026.2,580.5,729.6,986.5,2062.5,184,76.1,8.1
0.075322,746.4,85.1,1048.3,375.2,2020.9,617.6,736,995.2,2069.8,185.5,76.2,8.1
0.077322,753.4,78.7,1064.1,429.8,2015.0,656.5,743.8,1004.3,2072.5,187.1,76.3,8
0.079322,757.9,77.0,1064.6,469.2,2009.5,682.0,752.7,1013.3,2070.6,188.7,76.4,7.8
0.081322,760.8,78.2,1049.2,483.3,2010.3,686.6,761.9,1021.4,2064.5,190.4,76.4,7.6
0.083322,762.6,81.0,1026.9,468.8,2028.2,676.8,771,1028,2054.7,192.1,76.3,7.3
0.085322,764.2,84.9,1005.8,440.5,2060.5,671.3,779.3,1032.5,2041.9,193.9,76.3,7
0.087322,767.9,89.8,992.6,422.4,2086.7,694.8,786.4,1034.6,2027.1,195.7,76.2,6.8
0.089322,775.6,93.6,991.0,440.5,2083.3,760.3,791.8,1034.1,2011.1,197.6,76,6.8
0.091322,787.2,94.7,995.6,500.8,2054.5,849.8,795.3,1030.8,1994.7,199.5,75.9,7
0.093322,797.3,93.5,1000.3,583.5,2026.7,924.4,796.6,1024.9,1978.7,201.4,75.7,7.3
0.095322,803.5,93.1,1001.4,672.2,2004.6,962.9,795.9,1016.7,1963.7,203.4,75.5,7.6
0.097322,805.0,96.4,996.4,755.5,1967.1,925.1,793.2,1006.6,1950.3,205.4,75.4,7.8
0.099322,801.5,103.8,986.6,806.7,1915.5,817.2,788.7,995.2,1938.9,207.4,75.2,7.8
0.101322,793.4,115.5,976.2,807.9,1874.8,690.2,782.9,983,1929.6,209.4,75,7.6
0.103322,783.7,128.4,972.3,767.0,1861.4,610.2,776,970.8,1922.4,211.4,74.9,7.3
0.105322,774.5,141.4,971.8,704.3,1868.8,578.5,768.6,959,1917.4,213.4,74.8,7
0.107322,766.0,155.1,968.1,620.3,1893.2,581.1,761,948.2,1914.3,215.4,74.6,6.7
0.109322,756.5,167.6,960.8,528.8,1924.3,598.4,753.7,938.8,1912.8,217.3,74.5,6.5
0.111322,743.2,174.9,954.2,441.9,1952.3,620.0,746.9,931.2,1912.7,219.2,74.5,6.2
0.113322,731.2,171.6,950.1,388.4,1960.2,636.3,740.9,925.4,1913.6,221.1,74.5,6
0.115322,723.6,161.8,944.4,358.6,1946.5,632.1,735.8,921.4,1915.3,223,74.5,5.8
