time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025878,742.7,77.7,1185.8,238.0,2300.1,169.2,754.9,1242,2290.9,163.8,46,9.3
0.027878,750.2,74.5,1198.9,294.9,2293.1,175.6,756.3,1242.9,2294,163.4,46.3,9.6
0.029878,755.6,68.5,1221.7,339.4,2293.6,182.7,758.5,1244.4,2299.2,163,46.5,9.7
0.031878,759.7,61.7,1246.7,364.4,2302.3,189.3,761.4,1246.4,2306.2,162.5,46.7,9.9
0.033878,764.0,56.3,1263.7,383.0,2316.7,193.1,764.9,1249,2314.8,162,46.9,10
0.035878,769.9,53.0,1274.4,418.3,2334.1,193.9,768.7,1252.1,2324.8,161.4,47,10.2
0.037878,777.7,51.3,1283.4,490.3,2348.8,192.1,772.6,1255.8,2335.9,160.8,47.1,10.4
0.039878,784.7,49.3,1294.2,597.9,2355.0,188.8,776.4,1259.9,2347.8,160.2,47.2,10.5
0.041878,789.5,46.2,1307.9,738.2,2355.8,184.4,779.9,1264.5,2360.2,159.6,47.2,10.5
0.043878,791.9,44.1,1317.1,859.0,2357.2,179.5,782.9,1269.4,2372.8,158.9,47.2,10.3
0.045878,793.0,45.4,1311.3,874.6,2365.2,175.2,785.2,1274.7,2385.3,158.2,47.3,9.6
0.047878,791.9,51.9,1288.2,728.3,2382.9,173.3,786.6,1280.3,2397.3,157.5,47.3,8.7
0.049878,788.3,59.5,1268.2,541.8,2404.2,176.8,787.2,1286,2408.6,156.7,47.3,7.6
0.051878,784.3,64.9,1261.7,401.0,2422.6,189.3,786.7,1291.7,2419,155.9,47.3,6.6
0.053878,782.3,70.0,1266.9,315.3,2433.9,210.3,785.4,1297.4,2428.3,155.1,47.2,6
0.055878,780.8,79.0,1278.2,256.9,2441.8,235.0,783.2,1302.9,2436.5,154.3,47,5.7
0.057878,777.0,92.5,1290.8,215.3,2449.2,251.4,780.2,1308.2,2443.3,153.5,46.8,5.7
0.059878,770.0,105.5,1302.2,193.9,2456.0,253.2,776.7,1313.1,2448.9,152.6,46.5,5.8
0.061878,761.0,115.0,1313.6,192.9,2462.4,248.1,772.8,1317.5,2453.3,151.8,46.3,5.9
0.063878,755.6,120.3,1322.4,210.4,2465.7,243.4,768.6,1321.2,2456.4,150.9,46.2,6
