time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,729.2,126.1,1680.7,140.6,2556.6,688.1,750.3,1725.7,2527.8,133.2,47.3,7.1
0.027016,740.8,111.8,1698.3,165.4,2544.6,701.4,750.4,1723.5,2522.8,133.1,47.9,8.1
0.029016,748.6,100.0,1718.1,192.7,2537.5,721.1,750.7,1719.9,2514.5,133.1,48.5,9.1
0.031016,753.9,90.1,1730.0,205.2,2523.3,713.5,751.1,1715.5,2503.6,133.1,48.9,10.5
0.033016,758.4,81.3,1728.8,199.2,2479.5,656.5,751.8,1710.6,2490.3,133.1,49.2,12
0.035016,762.0,75.1,1720.7,181.1,2434.1,573.1,752.7,1705.9,2475.3,133,49.4,13.5
0.037016,763.8,70.2,1712.7,160.6,2409.5,505.4,753.9,1701.9,2459.3,133,49.6,14.8
0.039016,763.8,66.6,1707.2,146.5,2403.0,471.6,755.5,1699.1,2442.9,133,49.7,15.8
0.041016,763.2,66.4,1705.4,144.2,2404.2,478.2,757.3,1698,2427,132.9,49.8,16.8
0.043016,763.2,70.0,1709.2,151.4,2404.9,529.7,759.5,1698.9,2412.1,132.9,50,17.7
0.045016,764.2,73.0,1717.1,155.1,2408.8,605.0,761.8,1702,2399,132.9,50.1,18.4
0.047016,765.7,72.6,1724.5,150.1,2417.7,672.6,764.2,1707.5,2388.2,132.8,50.2,18.9
0.049016,767.4,70.0,1728.5,143.3,2415.4,707.6,766.6,1715.2,2380.2,132.8,50.3,19.1
0.051016,768.5,67.7,1730.5,140.3,2397.0,719.0,768.9,1724.8,2375.4,132.7,50.3,19
0.053016,768.3,66.3,1733.3,140.4,2380.1,721.9,770.8,1735.9,2374,132.6,50.4,18.7
0.055016,767.5,65.6,1737.2,145.8,2373.8,719.4,772.2,1748.1,2376.2,132.6,50.5,18.2
0.057016,767.2,66.0,1740.7,163.6,2372.8,719.6,773,1760.8,2382,132.5,50.5,17.9
0.059016,768.0,68.0,1743.5,196.6,2383.8,744.2,773.1,1773.5,2391.3,132.4,50.5,17.6
0.061016,768.4,71.0,1748.5,235.9,2414.2,794.5,772.5,1785.5,2403.7,132.4,50.6,17.3
0.063016,766.8,74.5,1763.2,271.4,2440.8,856.2,771.2,1796.5,2419.1,132.3,50.6,17
0.065016,763.5,76.4,1791.0,283.7,2440.8,924.8,769.1,1806.1,2436.9,132.2,50.7,16.8
0.067016,760.7,73.5,1819.1,261.5,2436.7,978.9,766.5,1814.1,2456.7,132.1,50.8,16.8
0.069016,759.8,67.0,1837.6,223.4,2452.0,1003.3,763.6,1820.5,2478.1,132,50.9,17.3
0.071016,760.0,61.3,1849.6,192.7,2483.5,1027.7,760.4,1825.4,2500.6,131.9,50.9,18.2
0.073016,760.5,58.2,1857.3,177.3,2517.4,1080.6,757.2,1829,2523.6,131.8,51,19.4
0.075016,761.0,55.8,1858.7,174.6,2547.2,1124.8,754.3,1831.8,2546.8,131.7,51,20.6
0.077016,760.8,53.1,1853.9,177.8,2578.6,1098.1,751.8,1834.3,2569.8,131.6,51.1,21.3
0.079016,759.4,51.7,1845.9,183.6,2605.7,997.3,749.9,1837,2592.3,131.5,51.1,21.3
0.081016,757.2,52.1,1840.6,181.3,2625.7,871.7,748.8,1840.4,2614,131.3,51.1,20.5
0.083016,755.5,51.8,1843.3,160.4,2644.2,746.0,748.4,1845.1,2634.8,131.2,51,19.3
0.085016,754.3,51.2,1850.7,135.2,2659.0,649.4,748.7,1851.4,2654.5,131.1,51,18
0.087016,752.4,52.8,1857.6,120.5,2667.4,599.8,749.5,1859.7,2673.2,131,51,17.1
0.089016,749.6,56.3,1863.4,119.6,2675.4,604.0,750.8,1870.1,2690.9,130.8,50.9,16.7
0.091016,747.6,59.2,1871.9,127.7,2694.6,640.0,752.1,1882.6,2707.8,130.7,50.9,16.9
0.093016,746.5,60.3,1886.7,140.1,2727.0,667.4,753.1,1897,2723.8,130.5,50.8,17.4
0.095016,745.5,60.4,1903.3,154.3,2751.4,656.9,753.5,1913,2739.2,130.4,50.7,17.9
0.097016,743.8,60.3,1915.9,171.3,2756.3,627.7,752.8,1930.1,2754.2,130.3,50.6,18.4
0.099016,741.4,60.9,1924.9,193.2,2752.3,617.9,750.6,1947.8,2768.9,130.1,50.4,18.6
0.101016,737.2,64.5,1937.4,228.6,2755.4,669.5,746.8,1965.5,2783.3,130,50.3,18.7
0.103016,730.6,73.2,1963.3,284.0,2777.3,832.2,740.9,1982.7,2797.6,129.9,50.1,18.7
0.105016,725.0,82.1,2002.5,314.3,2825.7,1077.0,732.9,1998.7,2811.9,129.7,50,18.7
0.107016,721.0,86.8,2038.1,284.5,2896.8,1270.1,722.7,2013,2826,129.6,49.9,18.7
0.109016,715.4,90.1,2060.5,240.0,2932.0,1311.0,710.5,2025.3,2840.1,129.5,49.8,18.6
0.111016,705.8,95.1,2071.4,217.3,2894.3,1252.5,696.6,2035.5,2853.9,129.3,49.7,18.5
0.113016,693.7,98.3,2070.1,212.5,2823.5,1115.0,681.2,2043.3,2867.3,129.2,49.6,18.3
0.115016,681.6,97.0,2059.7,205.6,2796.7,935.9,665,2048.8,2880.2,129.1,49.6,18.2
0.117016,666.2,94.5,2049.2,187.2,2822.4,763.4,648.5,2052.4,2892.3,129,49.5,18
0.119016,646.9,94.3,2044.5,166.8,2866.7,626.2,632.3,2054.2,2903.5,128.9,49.4,17.9
0.121016,628.7,96.8,2044.4,153.5,2900.4,531.2,617.2,2054.7,2913.3,128.8,49.4,17.8
0.123016,612.1,100.6,2045.5,147.2,2919.3,463.8,603.8,2054.3,2921.8,128.7,49.3,17.8
0.125016,594.3,102.0,2046.0,144.8,2929.3,421.4,592.6,2053.5,2928.6,128.6,49.3,17.7
0.127016,575.6,98.3,2045.3,141.3,2940.1,408.2,584.2,2052.6,2933.6,128.5,49.2,17.7
0.129016,560.2,92.3,2045.6,133.6,2960.5,435.2,579,2051.9,2936.6,128.4,49.2,17.8
0.131016,547.3,88.6,2049.4,124.2,3001.4,498.4,577.3,2051.7,2937.6,128.4,49.1,17.9
