time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025247,603.5,72.1,1666.4,605.7,2912.4,170.6,616.8,1650.2,2905.6,184.3,69.2,3.3
0.027247,612.2,70.6,1657.8,584.3,2910.8,163.8,621,1650.4,2904,184.1,69.9,4.9
0.029247,624.5,71.3,1655.4,575.8,2907.6,153.9,627.7,1650.7,2901.7,183.8,70.4,6.6
0.031247,638.3,72.0,1654.3,585.6,2903.0,144.9,636.7,1651.4,2899.2,183.5,70.7,8.3
0.033247,653.4,72.3,1648.0,619.8,2896.6,139.8,647.6,1652.7,2897.2,183.2,70.8,9.9
0.035247,668.6,72.9,1636.1,655.8,2889.9,139.5,659.9,1654.8,2896.3,182.9,70.9,11.3
0.037247,683.3,73.6,1631.7,646.0,2886.5,141.5,673,1657.6,2897,182.6,71,12.5
0.039247,696.6,73.3,1642.0,598.9,2888.2,143.7,686.6,1661.3,2899.9,182.2,71.1,13.6
0.041247,707.3,71.7,1659.6,555.6,2894.2,146.9,700.2,1665.8,2904.9,181.8,71.3,14.6
0.043247,716.6,69.2,1679.3,520.8,2904.1,152.3,713.3,1670.7,2912.1,181.4,71.5,15.4
0.045247,724.9,66.5,1694.2,485.5,2917.7,157.0,725.7,1675.8,2921,181,71.7,16
0.047247,733.2,63.9,1700.5,441.1,2934.9,157.0,737.1,1680.5,2930.9,180.6,71.9,16.3
0.049247,741.6,61.9,1699.4,389.7,2951.9,153.3,747.4,1684.3,2940.9,180.1,72.1,16.2
0.051247,749.6,60.5,1695.3,343.1,2962.6,150.8,756.5,1686.5,2949.9,179.7,72.3,15.8
0.053247,757.9,60.0,1690.0,304.7,2965.5,152.7,764.5,1686.7,2956.9,179.2,72.5,15.3
0.055247,765.9,60.1,1682.5,279.4,2962.5,158.5,771.5,1684.3,2960.9,178.7,72.8,15
0.057247,773.4,60.5,1671.2,266.5,2958.3,166.4,777.6,1679,2961,178.1,73,14.9
0.059247,780.2,61.1,1656.7,264.4,2954.7,179.3,783,1670.7,2956.6,177.6,73.2,15.1
0.061247,786.7,62.2,1642.6,271.0,2950.3,201.4,787.9,1659.6,2947.5,177,73.3,15.3
0.063247,793.6,63.5,1631.5,285.7,2941.1,238.8,792.4,1645.8,2933.9,176.5,73.4,15.5
0.065247,800.3,65.0,1624.5,307.4,2922.4,292.1,796.6,1630,2916.3,175.9,73.6,15.6
0.067247,806.2,66.9,1616.7,330.9,2891.8,349.6,800.6,1612.8,2895.6,175.3,73.6,15.4
0.069247,810.8,68.9,1604.1,344.4,2859.1,381.4,804.4,1595.1,2873,174.7,73.7,15
0.071247,813.9,71.2,1588.6,342.2,2837.5,376.2,808,1577.7,2849.9,174.1,73.8,14.4
0.073247,816.3,73.9,1571.9,332.5,2823.5,350.9,811.4,1561.5,2827.6,173.5,73.8,13.9
0.075247,817.9,76.9,1555.8,326.1,2810.8,322.5,814.6,1547.3,2807.4,172.8,73.8,13.4
0.077247,818.8,80.1,1540.4,326.3,2794.6,295.9,817.3,1535.7,2790.5,172.2,73.8,13.1
0.079247,819.1,83.7,1528.6,330.0,2776.0,273.4,819.7,1527.1,2777.8,171.5,73.8,13.1
0.081247,819.2,87.4,1521.9,334.3,2762.0,258.4,821.6,1521.8,2769.7,170.8,73.8,13.1
0.083247,818.6,91.5,1516.5,338.6,2756.9,248.6,823,1519.5,2766.4,170.2,73.7,13.2
0.085247,817.2,95.3,1510.1,338.7,2763.2,238.7,823.9,1520.1,2767.6,169.5,73.7,13.1
0.087247,816.9,97.5,1507.4,329.4,2777.9,225.2,824.4,1523,2772.6,168.8,73.6,12.7
0.089247,818.7,97.8,1514.9,310.3,2796.3,209.1,824.5,1527.5,2780.6,168.2,73.6,12.2
0.091247,821.4,96.2,1530.8,287.4,2812.2,191.8,824.3,1532.8,2790.6,167.5,73.5,11.5
0.093247,823.1,93.7,1546.5,271.0,2821.4,175.7,823.9,1538.4,2801.3,166.8,73.3,10.7
0.095247,823.4,91.9,1557.2,266.8,2824.8,160.2,823.4,1543.4,2811.7,166.2,73.1,10.1
0.097247,823.4,91.5,1559.2,276.2,2823.7,146.6,823,1547.3,2821,165.5,72.9,9.5
0.099247,824.0,92.2,1552.7,291.3,2819.9,135.5,822.6,1549.7,2828.3,164.9,72.7,9
0.101247,825.3,94.5,1543.4,298.8,2814.9,127.1,822.3,1550.5,2833.4,164.3,72.4,8.5
0.103247,827.8,97.9,1538.4,291.7,2810.9,120.2,822.3,1549.8,2836.1,163.7,72.1,8.1
0.105247,831.8,100.2,1541.6,273.9,2811.0,116.6,822.4,1547.7,2836.7,163.1,71.8,7.8
0.107247,836.2,100.3,1548.8,253.1,2815.0,117.3,822.6,1544.6,2835.5,162.5,71.6,7.8
0.109247,837.4,98.7,1554.1,230.5,2820.9,121.0,822.9,1541.1,2833.2,162,71.3,8.2
0.111247,832.9,96.2,1553.1,206.6,2828.1,124.5,823.2,1537.7,2830.5,161.4,71.1,8.8
0.113247,823.2,94.3,1544.6,185.9,2837.0,126.3,823.4,1534.8,2828,161,70.8,9.3
0.115247,808.9,93.2,1527.7,170.0,2848.4,126.9,823.6,1532.9,2826.3,160.5,70.5,9.4
0.117247,795.9,91.4,1506.9,162.0,2857.5,126.1,823.7,1532.3,2825.7,160,70.1,8.5
