time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025354,939.3,147.5,1757.3,132.0,2763.4,230.2,988,1741.7,2709,134,57.8,3.3
0.027354,957.8,176.9,1749.5,120.9,2758.0,197.1,988.5,1739.1,2710.9,134.3,57.5,4.1
0.029354,969.9,190.1,1741.7,119.1,2736.6,174.4,989.3,1734.6,2714,134.5,57.2,4.9
0.031354,974.3,197.8,1729.5,131.0,2712.0,154.6,990.4,1728.5,2718.3,134.8,57,5.7
0.033354,976.5,213.6,1711.9,159.7,2700.4,142.2,991.7,1720.8,2723.7,135.1,57,6.4
0.035354,985.5,228.3,1695.5,198.5,2706.6,145.1,993.2,1711.6,2730.2,135.4,57,7.1
0.037354,1003.6,223.8,1687.6,229.0,2724.9,163.8,994.9,1701.1,2737.6,135.7,57.1,7.9
0.039354,1020.6,201.5,1684.5,236.0,2744.7,190.6,996.7,1689.5,2745.9,136.1,57.2,8.7
0.041354,1029.8,173.5,1678.9,225.2,2755.9,214.1,998.6,1676.8,2755,136.4,57.4,9.3
0.043354,1034.4,147.9,1668.6,209.9,2759.2,225.5,1000.5,1663.3,2764.7,136.7,57.5,9.6
0.045354,1037.4,130.8,1653.2,198.7,2763.0,223.3,1002.3,1649.1,2774.9,137.1,57.6,9.6
0.047354,1038.8,123.0,1634.8,193.4,2769.0,213.2,1004.1,1634.6,2785.5,137.4,57.6,8.9
0.049354,1037.1,120.4,1619.0,192.9,2774.5,207.9,1005.6,1619.8,2796.4,137.8,57.7,7.9
0.051354,1031.4,121.8,1606.0,196.6,2778.6,216.9,1007,1605,2807.4,138.1,57.7,7
0.053354,1021.2,128.3,1589.6,201.2,2778.5,241.8,1008,1590.3,2818.4,138.5,57.7,6.5
0.055354,1009.8,135.5,1568.9,202.2,2775.2,271.9,1008.8,1576,2829.2,138.8,57.7,6.6
0.057354,1002.2,137.0,1548.7,201.8,2776.6,301.3,1009.3,1562.3,2839.8,139.1,57.8,7.5
0.059354,998.2,135.3,1531.9,204.7,2788.5,352.4,1009.4,1549.3,2850,139.4,57.9,8.7
0.061354,995.5,135.1,1521.8,212.4,2817.1,468.4,1009.2,1537,2859.7,139.7,58,10.1
0.063354,995.7,137.7,1521.4,226.3,2890.5,659.4,1008.7,1525.8,2868.9,140,58,11.3
0.065354,998.5,141.3,1527.2,241.5,3024.4,713.5,1007.7,1515.6,2877.3,140.3,58.1,12.1
0.067354,998.6,143.8,1530.7,249.5,3078.6,557.1,1006.5,1506.6,2885,140.6,58.1,12.6
0.069354,994.2,144.3,1529.0,253.2,3065.8,449.0,1005,1498.7,2891.8,140.8,58.1,13
0.071354,989.4,141.3,1523.2,261.5,3036.1,434.5,1003.2,1492.1,2897.8,141.1,58.2,13.3
0.073354,985.9,136.6,1512.6,279.8,2992.9,520.3,1001.1,1486.7,2902.8,141.3,58.3,13.7
0.075354,982.2,130.4,1498.1,296.8,2891.2,705.6,998.9,1482.5,2906.8,141.5,58.4,14.1
0.077354,979.5,123.1,1483.7,307.2,2748.0,725.7,996.6,1479.4,2909.8,141.7,58.5,14.6
0.079354,979.3,119.9,1470.2,326.5,2691.9,686.6,994.2,1477.5,2911.8,141.9,58.6,15.1
0.081354,980.1,123.6,1455.5,371.9,2688.7,667.9,991.9,1476.6,2912.7,142,58.7,15.6
0.083354,981.7,130.0,1443.1,439.9,2727.2,658.5,989.5,1476.5,2912.6,142.2,58.8,16
0.085354,984.4,131.3,1439.1,491.9,2779.0,689.2,987.3,1477.3,2911.5,142.3,58.9,16.4
0.087354,987.8,129.4,1445.9,516.9,2839.7,818.6,985.2,1478.7,2909.4,142.4,58.9,16.6
0.089354,990.0,128.7,1461.6,531.1,2925.4,1049.3,983.3,1480.5,2906.4,142.5,58.9,16.9
0.091354,990.5,128.6,1474.8,544.5,3098.8,1113.4,981.6,1482.7,2902.4,142.6,58.8,17.1
0.093354,991.2,129.3,1479.5,568.5,3093.7,845.4,980.2,1485.1,2897.5,142.7,58.7,17.3
0.095354,992.2,132.6,1481.7,606.3,3058.2,690.6,979,1487.5,2891.8,142.8,58.7,17.5
0.097354,991.5,135.5,1484.3,637.0,3025.3,603.6,978.1,1489.8,2885.3,142.9,58.6,17.7
0.099354,990.2,134.9,1491.3,649.0,3004.4,568.6,977.6,1491.8,2878,142.9,58.5,18
0.101354,990.8,135.1,1519.4,642.7,2987.1,559.7,977.2,1493.3,2870.1,142.9,58.4,18.2
0.103354,991.7,141.4,1552.4,623.5,2948.1,565.1,977.2,1494.3,2861.6,143,58.3,18.2
