time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025587,496.9,32.7,2446.7,205.1,2975.2,193.3,492,2427.9,2970.9,155.9,68.6,11.2
0.027587,505.9,38.4,2428.0,217.5,2959.9,195.3,502.8,2422.2,2962.6,155.7,68.9,10.7
0.029587,517.6,46.3,2407.7,222.2,2945.5,190.2,519.5,2413.2,2949.5,155.5,69,9.4
0.031587,534.6,58.5,2389.3,226.6,2930.4,185.2,540.7,2401.4,2932.9,155.2,69,7.9
0.033587,557.7,72.5,2374.4,235.0,2914.4,181.8,564.5,2387.4,2914,154.9,69,6.5
0.035587,587.0,82.0,2361.0,249.0,2897.2,178.8,589.1,2370.9,2894.2,154.6,69,5.5
0.037587,616.7,81.3,2347.7,274.3,2879.2,178.1,612.6,2351.6,2874.8,154.3,69.1,5.2
0.039587,640.4,73.5,2331.6,316.1,2859.5,177.3,633.9,2328.1,2856.8,154,69.5,5.4
0.041587,655.8,65.4,2307.8,370.7,2840.5,172.0,652,2298.9,2840.7,153.7,69.9,6.1
0.043587,666.1,60.6,2272.8,430.1,2825.1,164.8,666.7,2262.6,2826.8,153.3,70.4,6.9
0.045587,675.6,57.8,2223.2,493.0,2811.7,159.0,678.1,2217.9,2815,153,70.9,7.6
0.047587,684.2,55.7,2167.1,542.5,2801.0,154.2,687,2164.6,2804.9,152.7,71.4,7.9
0.049587,691.9,54.6,2106.4,574.0,2793.4,149.1,693.9,2103.6,2796.2,152.3,71.8,8.1
0.051587,699.4,55.4,2036.2,589.9,2788.4,145.7,699.7,2036.9,2788.5,152,72.1,8.2
0.053587,706.1,56.6,1964.4,584.6,2784.5,144.9,705,1967.7,2781.5,151.6,72.3,8.4
0.055587,712.0,56.6,1892.7,556.7,2779.6,145.5,710.5,1899.6,2775,151.3,72.5,8.7
0.057587,717.1,56.2,1825.1,514.0,2772.9,148.3,716.2,1836.5,2769.2,151,72.5,9.4
0.059587,722.6,56.3,1769.1,463.9,2765.2,153.4,722.3,1781.5,2764.2,150.7,72.5,10.7
0.061587,728.3,56.2,1733.3,415.5,2758.8,156.0,728.6,1736.8,2760.5,150.4,72.5,12.2
0.063587,733.6,56.1,1712.0,374.5,2755.9,153.5,734.7,1703,2758.2,150.1,72.5,13.6
0.065587,739.8,57.2,1694.1,337.2,2755.9,148.0,740.6,1679.2,2757.8,149.8,72.4,14.5
0.067587,746.2,58.8,1677.5,305.5,2757.6,141.6,745.9,1663.2,2759.1,149.5,72.3,14.6
0.069587,751.3,59.7,1661.3,279.6,2760.2,135.7,750.6,1652.1,2762.4,149.2,72.2,13.9
0.071587,755.1,60.8,1643.2,257.5,2765.6,132.4,754.6,1642.5,2767.1,148.9,72.1,12.7
0.073587,758.1,62.8,1623.7,237.0,2773.8,132.8,757.9,1632,2773.1,148.7,72,11.4
0.075587,760.6,63.5,1605.1,216.0,2782.6,134.7,760.7,1618.8,2779.8,148.4,71.8,10.5
0.077587,762.7,62.2,1589.4,198.0,2789.4,135.8,763,1602.6,2786.6,148.2,71.7,10.3
0.079587,764.4,60.7,1575.5,185.1,2795.7,137.4,764.8,1584.3,2793,148,71.4,10.7
0.081587,765.4,59.6,1564.5,176.4,2801.3,139.4,766.3,1566.2,2798.6,147.7,71.1,11.4
0.083587,766.2,59.2,1557.7,171.3,2803.9,139.6,767.5,1550.6,2802.9,147.5,70.7,12.2
0.085587,767.9,61.0,1550.9,171.5,2803.6,138.0,768.1,1540.1,2805.5,147.3,70.1,12.6
0.087587,770.8,66.3,1540.6,180.5,2801.0,136.8,768.4,1536.4,2806.5,147.1,69.3,12.3
