time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,526.1,20.7,2339.8,266.1,2710.8,271.6,520.5,2287.1,2738.7,174.5,73.4,9.8
0.027385,528.9,19.6,2312.9,238.4,2714.1,264.1,523,2286.8,2739,174.3,74.1,10.1
0.029385,532.2,18.0,2295.2,206.9,2728.1,257.3,527.1,2286.1,2739.5,174.1,74.9,10.1
0.031385,536.5,16.7,2285.5,183.0,2744.9,248.5,532.8,2284.8,2740.3,173.9,75.6,9.8
0.033385,541.8,16.0,2278.5,167.2,2759.6,239.1,539.9,2282.6,2741.7,173.6,76.3,9.5
0.035385,546.7,16.1,2270.4,158.8,2769.2,234.4,548.3,2278.9,2743.6,173.3,76.8,9.1
0.037385,551.2,17.0,2259.0,157.6,2772.6,237.6,557.8,2273.4,2746.3,173.1,77.1,8.6
0.039385,557.4,18.9,2242.1,164.5,2769.0,250.8,568.4,2265.8,2749.9,172.8,77.3,7.8
0.041385,566.6,21.8,2222.6,177.3,2760.9,273.0,579.7,2255.6,2754.5,172.5,77.3,7.1
0.043385,580.1,25.7,2202.9,192.8,2754.1,302.5,591.7,2242.6,2760.2,172.2,77.1,6.5
0.045385,597.3,30.8,2186.5,207.0,2756.3,332.8,604.1,2226.5,2767.1,171.9,76.9,6.4
0.047385,616.9,35.7,2175.2,219.8,2768.8,353.3,616.7,2207.4,2775.1,171.6,76.7,6.9
0.049385,636.9,38.4,2166.9,242.0,2785.0,362.6,629.3,2185.2,2784.1,171.3,76.7,7.8
0.051385,652.4,39.3,2160.2,285.5,2798.0,366.1,641.8,2160.1,2794.1,171,76.9,8.9
0.053385,664.0,40.3,2154.3,355.7,2809.9,361.0,654.1,2132.5,2804.8,170.7,77.2,10
0.055385,673.3,43.0,2151.7,430.6,2823.0,333.9,665.8,2102.7,2815.9,170.5,77.6,10.9
0.057385,681.7,46.7,2144.5,484.0,2829.8,283.9,677.1,2071.4,2827.3,170.2,78,11.6
0.059385,690.0,49.8,2110.6,527.4,2826.7,230.4,687.7,2039.2,2838.5,170,78.4,12.1
0.061385,697.3,51.8,2045.3,565.6,2823.5,193.4,697.5,2006.6,2849.3,169.7,78.7,12.6
0.063385,704.6,53.2,1962.7,578.1,2828.9,170.3,706.6,1974.4,2859.3,169.5,78.9,13
0.065385,711.9,54.0,1897.0,555.4,2842.1,158.4,715,1943.2,2868.2,169.3,79,13.3
0.067385,718.7,54.6,1863.0,522.8,2858.5,155.6,722.5,1913.4,2875.7,169.2,79.1,13.5
0.069385,725.2,55.3,1850.5,491.4,2878.1,159.5,729.2,1885.7,2881.6,169,79.1,13.4
0.071385,731.0,55.8,1845.7,461.3,2897.6,165.7,735.2,1860.2,2885.7,168.9,79.1,13.4
0.073385,737.0,55.4,1838.1,432.2,2913.8,173.4,740.4,1837.3,2887.9,168.8,79.1,13.4
0.075385,743.6,54.5,1827.9,410.8,2923.9,185.3,745.1,1816.9,2888.1,168.8,79.1,13.6
0.077385,749.7,53.4,1815.7,399.1,2927.9,203.0,749.1,1798.9,2886.5,168.7,79,14.1
0.079385,754.4,52.4,1799.5,395.0,2925.0,230.0,752.6,1783.2,2883.2,168.7,79,14.8
0.081385,757.2,51.9,1781.0,398.3,2913.6,268.1,755.7,1769.4,2878.3,168.7,79,15.6
0.083385,759.2,51.0,1759.4,404.1,2889.3,311.9,758.4,1756.9,2872.2,168.8,79,16.3
0.085385,761.9,48.8,1734.5,400.7,2852.1,329.6,760.8,1745.2,2865.1,168.8,79,16.7
0.087385,765.0,46.0,1710.0,386.1,2815.9,304.2,762.8,1733.8,2857.4,168.9,79,16.8
0.089385,767.2,43.9,1690.0,373.9,2793.8,261.7,764.6,1722.1,2849.5,169.1,79,16.6
0.091385,767.6,43.8,1679.0,381.4,2789.6,230.8,766.1,1709.6,2841.7,169.2,79,16.3
0.093385,767.1,46.1,1677.7,414.6,2796.6,211.3,767.4,1695.6,2834.4,169.4,79.1,16
0.095385,767.2,49.4,1685.0,467.6,2807.7,199.3,768.4,1679.9,2827.9,169.6,79.1,15.9
0.097385,767.5,52.0,1693.8,533.5,2818.2,194.4,769.1,1662.2,2822.5,169.8,79.1,15.9
0.099385,767.7,54.0,1695.4,622.5,2828.2,198.2,769.5,1642.3,2818.4,170,79.1,16
0.101385,767.7,55.2,1676.9,734.1,2835.7,211.0,769.6,1620.2,2815.8,170.3,79.1,16.1
0.103385,768.3,55.9,1626.3,860.9,2839.6,229.2,769.3,1596,2814.9,170.5,79,16.1
0.105385,769.2,57.2,1559.7,953.1,2842.5,241.7,768.5,1570.1,2815.5,170.8,79,16
0.107385,768.9,59.3,1508.5,965.0,2845.8,241.8,767.3,1542.7,2817.8,171.1,78.9,15.7
0.109385,766.8,61.5,1477.0,888.5,2846.7,235.2,765.7,1514.4,2821.6,171.5,78.9,15.3
0.111385,763.8,63.1,1460.0,783.4,2843.7,231.2,763.5,1485.6,2826.8,171.8,78.8,14.8
0.113385,760.5,64.0,1447.2,693.1,2839.6,231.2,760.9,1456.8,2833.1,172.1,78.8,14.4
0.115385,757.5,64.2,1432.2,630.3,2838.5,232.2,757.8,1428.7,2840.5,172.5,78.7,14
0.117385,755.0,64.7,1412.8,591.3,2842.5,232.3,754.2,1401.7,2848.6,172.9,78.7,13.7
0.119385,751.9,65.4,1388.1,568.4,2850.7,230.4,750.3,1376.3,2857.1,173.2,78.7,13.5
0.121385,747.6,65.8,1361.7,555.1,2859.6,227.5,746,1352.9,2865.9,173.6,78.8,13.3
0.123385,742.3,65.8,1335.6,536.0,2868.0,226.6,741.5,1331.8,2874.8,174,78.8,13.2
0.125385,736.8,65.0,1313.0,496.7,2874.4,231.2,736.8,1313,2883.4,174.3,78.9,13.2
0.127385,731.0,63.3,1293.0,438.5,2877.8,241.3,732.1,1296.8,2891.6,174.7,79,13.3
0.129385,724.7,60.7,1274.0,371.1,2878.8,253.6,727.4,1283.1,2899.3,175,79,13.4
0.131385,719.2,57.8,1259.4,310.0,2880.7,263.8,722.9,1271.7,2906.4,175.4,79,13.7
0.133385,715.5,55.3,1250.1,257.4,2887.2,276.7,718.7,1262.6,2912.6,175.7,78.9,13.9
0.135385,713.5,53.7,1247.5,221.8,2898.5,299.3,715,1255.4,2918,176.1,78.7,14.1
0.137385,712.6,53.0,1250.0,205.2,2911.5,329.2,711.7,1250,2922.4,176.4,78.5,14.2
0.139385,711.7,52.7,1254.3,202.2,2925.3,360.0,709.1,1246,2925.9,176.7,78.3,14.2
0.141385,710.3,52.7,1255.8,208.0,2939.9,383.5,707.2,1243.4,2928.4,177,78,14.3
0.143385,707.8,53.4,1252.1,219.4,2959.1,399.8,706,1241.9,2929.9,177.2,77.8,14.3
0.145385,705.0,54.2,1243.0,235.3,2983.0,408.5,705.6,1241.4,2930.4,177.5,77.6,14.4
