time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025014,414.1,68.9,2404.9,111.0,2916.0,152.1,417,2427.3,2882,107.6,65.2,5.9
0.027014,416.2,62.7,2414.0,103.8,2902.3,168.4,418.4,2428.2,2883,108,65.8,5.8
0.029014,419.6,58.2,2423.2,97.4,2899.2,176.9,420.6,2429.5,2884.6,108.3,66.3,5.8
0.031014,421.4,57.0,2433.9,93.6,2900.4,186.4,423.5,2431.4,2886.9,108.8,66.7,5.8
0.033014,423.1,61.0,2445.1,93.1,2900.4,202.9,427.2,2433.7,2889.7,109.2,67.1,5.9
0.035014,428.5,68.8,2450.4,93.6,2892.6,220.3,431.3,2436.5,2893,109.6,67.3,6.2
0.037014,437.6,74.2,2447.4,90.8,2877.6,225.2,435.9,2439.6,2896.8,110.1,67.5,6.5
0.039014,444.7,74.1,2442.8,84.6,2867.1,218.5,440.7,2443.1,2901,110.5,67.6,6.9
0.041014,448.0,73.9,2441.5,78.6,2867.2,212.4,445.5,2446.8,2905.4,111,67.7,7.5
0.043014,452.1,78.6,2445.3,77.7,2878.8,217.1,450.3,2450.8,2910.2,111.5,67.7,8.2
0.045014,460.2,83.9,2455.0,87.5,2894.9,241.2,454.8,2454.8,2915.1,112,67.6,9.1
0.047014,467.2,81.8,2471.3,104.3,2908.9,276.8,459,2459.1,2920.1,112.5,67.6,10.5
0.049014,468.7,75.8,2484.7,112.1,2922.5,287.5,462.7,2463.3,2925.2,113,67.5,12.2
0.051014,467.3,73.9,2487.1,108.4,2936.9,261.8,465.8,2467.7,2930.2,113.5,67.5,13.6
0.053014,467.3,76.2,2478.2,96.4,2947.3,226.8,468.3,2472,2935.2,114,67.4,14.6
0.055014,469.8,74.1,2469.1,83.7,2953.0,215.9,470.1,2476.4,2940.1,114.5,67.4,14.8
0.057014,471.3,65.4,2466.8,76.1,2957.7,230.2,471.3,2480.7,2944.9,115,67.4,14.1
0.059014,470.5,58.0,2471.1,75.3,2961.6,258.6,471.7,2485.1,2949.5,115.5,67.5,13
