time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025370,646.9,102.2,2379.5,72.7,3145.1,293.8,665.8,2361,3109,141.4,64.5,11.6
0.027370,656.4,96.6,2369.5,76.6,3131.9,303.8,667.3,2357.8,3104.7,141.3,64.8,11.5
0.029370,666.4,92.9,2357.2,81.5,3110.8,307.8,669.9,2352.7,3097.7,141.1,65.2,11.3
0.031370,675.7,89.4,2344.3,83.5,3086.4,295.3,673.5,2345.8,3088.3,141,65.5,11.1
0.033370,683.8,86.4,2332.0,81.9,3066.4,270.5,678.1,2337.5,3077.1,140.8,65.8,10.9
0.035370,691.4,85.1,2319.9,80.6,3048.1,243.8,683.6,2327.9,3064.4,140.6,66,10.8
0.037370,699.1,84.1,2307.4,81.3,3029.3,220.3,689.9,2317.5,3050.9,140.5,66.3,10.6
0.039370,706.4,81.7,2295.6,81.0,3013.4,200.7,697,2306.6,3037.2,140.3,66.5,10.5
0.041370,712.4,79.4,2285.9,79.4,3002.7,184.5,704.7,2295.5,3023.8,140.1,66.7,10.4
0.043370,718.4,78.9,2277.0,78.4,2994.5,168.4,713,2284.6,3011.2,139.8,66.8,10.3
0.045370,724.9,78.8,2268.8,79.2,2988.5,154.5,721.6,2274.3,2999.8,139.6,67,10.3
0.047370,731.7,77.6,2262.1,81.6,2984.7,146.4,730.4,2264.6,2990.1,139.4,67.1,10.3
0.049370,738.9,77.0,2256.8,87.0,2982.4,144.1,739.2,2255.9,2982.2,139.1,67.2,10.5
0.051370,746.5,77.8,2252.4,95.0,2980.5,144.1,747.8,2248.3,2976.3,138.9,67.3,10.8
0.053370,754.0,77.3,2247.7,101.7,2979.4,142.9,756,2241.7,2972.2,138.6,67.4,11.2
0.055370,760.5,75.2,2243.1,106.1,2980.6,141.6,763.7,2236.2,2969.9,138.3,67.5,11.5
0.057370,766.4,74.5,2240.3,111.6,2984.2,141.5,770.6,2231.7,2969.2,138.1,67.6,11.6
0.059370,772.4,75.0,2238.5,118.2,2987.6,141.0,776.6,2228.2,2969.7,137.8,67.8,11.4
0.061370,777.5,73.2,2234.7,120.8,2987.9,139.5,781.6,2225.3,2971,137.5,67.9,11
0.063370,780.9,69.6,2227.9,119.1,2985.9,139.4,785.5,2222.9,2972.7,137.2,68.1,10.6
