time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025649,454.4,55.4,2502.2,335.7,3185.7,610.1,488.1,2392.9,2878.6,182.7,74.3,15.1
0.027649,479.1,53.6,2483.1,336.2,3084.3,426.9,491.2,2395.9,2892.4,182.3,74.9,20.7
0.029649,503.0,48.2,2438.1,301.7,3018.3,262.7,496.3,2400.8,2914.9,181.9,75.4,17
0.031649,521.5,41.7,2402.6,258.8,2989.5,185.6,503.3,2407.6,2945.5,181.4,75.7,9.2
0.033649,534.7,35.9,2379.7,239.6,2976.3,161.7,512.2,2416.4,2983.3,180.9,75.9,2.8
0.035649,543.1,32.3,2366.9,243.6,2971.6,169.6,522.9,2427.1,3027.1,180.3,76,2.1
0.037649,548.8,30.5,2365.4,269.6,2975.1,209.3,535.2,2439.6,3075.8,179.8,76.1,3.3
0.039649,553.4,30.9,2387.0,321.7,2993.5,301.6,548.9,2453.9,3127.9,179.2,76.1,5.1
0.041649,559.4,33.9,2443.2,381.2,3033.4,472.3,563.9,2469.7,3181.8,178.5,75.9,7
0.043649,568.7,40.5,2528.0,393.8,3117.1,752.1,579.9,2486.9,3236,177.8,75.6,8.3
0.045649,580.4,50.2,2579.9,357.2,3253.1,1015.1,596.9,2505,3289,177.1,75.1,8.7
0.047649,595.0,64.0,2584.2,329.5,3383.0,1133.9,614.5,2523.9,3339.1,176.4,74.6,8.2
0.049649,614.4,80.6,2558.7,303.0,3435.1,1105.3,632.4,2542.9,3385,175.7,74,7.2
0.051649,640.6,92.1,2531.4,265.8,3410.3,1047.3,650.6,2561.6,3425.1,174.9,73.4,6.2
0.053649,672.0,86.9,2521.7,230.8,3329.3,1089.6,668.6,2579.3,3458.5,174.1,73,5.5
0.055649,695.3,70.7,2543.3,206.3,3205.6,1371.1,686.3,2595.3,3483.9,173.3,72.6,5.4
0.057649,712.1,61.8,2580.1,160.2,3070.3,2111.0,703.3,2608.9,3500.7,172.5,72.5,6
0.059649,727.8,61.8,2593.0,124.9,3022.2,3258.2,719.6,2619.2,3508.3,171.6,72.4,6.9
0.061649,743.0,63.5,2589.8,124.4,3130.0,4399.8,734.8,2625.4,3506.3,170.8,72.3,7.9
0.063649,756.8,65.9,2581.2,144.1,3541.6,6539.7,748.7,2626.7,3494.7,170,72.2,8.6
0.065649,767.0,69.2,2571.8,176.3,4571.8,508.4,761.2,2622.2,3473.7,169.1,72,8.9
0.067649,776.1,69.8,2560.2,214.5,4516.7,502.2,772,2611.2,3443.7,168.3,71.8,8.8
0.069649,785.4,64.0,2547.2,227.5,3692.1,7716.8,781.1,2592.9,3405.3,167.4,71.5,8.6
0.071649,794.5,54.9,2537.6,212.9,3306.1,3576.7,788.4,2566.9,3359.4,166.6,71,8.3
0.073649,801.2,48.6,2528.6,210.1,3133.6,2130.3,793.8,2532.5,3307,165.7,70.6,7.9
0.075649,801.7,51.1,2518.0,240.8,3022.7,1570.7,797.3,2489.6,3249.3,164.9,70.1,7.5
0.077649,794.3,66.9,2507.2,319.4,2931.8,1412.6,798.8,2438,3187.5,164.1,69.8,6.9
0.079649,781.1,92.8,2485.3,470.5,2859.1,1312.2,798.6,2377.8,3122.9,163.3,69.6,6.2
0.081649,771.1,111.3,2382.7,679.1,2882.1,971.5,796.5,2309.2,3057,162.4,69.5,5.7
0.083649,771.8,113.0,2249.0,712.8,2957.8,697.8,792.9,2232.8,2991.1,161.6,69.5,5.3
0.085649,778.1,110.0,2185.1,718.7,2976.4,570.8,787.8,2149.3,2926.6,160.8,69.5,5.4
0.087649,782.4,117.7,2123.2,758.8,2959.6,521.1,781.5,2059.6,2864.6,160,69.6,5.8
0.089649,777.8,139.3,2021.0,804.6,2919.1,511.4,774.1,1964.8,2806.4,159.3,69.6,6.5
0.091649,764.4,157.6,1899.9,808.7,2868.9,521.5,766,1866.1,2752.8,158.5,69.6,7.2
0.093649,754.5,160.0,1803.6,770.5,2818.5,542.7,757.3,1765.1,2704.9,157.7,69.6,7.8
0.095649,757.0,155.3,1763.7,757.1,2776.5,561.0,748.3,1663.1,2663.2,156.9,69.7,8.2
0.097649,764.2,152.1,1747.9,845.8,2721.6,583.0,739.3,1561.8,2628.2,156.1,69.8,8.5
0.099649,764.5,157.5,1689.4,1137.0,2623.4,605.3,730.6,1462.8,2600.3,155.3,69.9,8.7
0.101649,755.9,177.0,1409.4,1496.9,2505.5,540.6,722.4,1367.7,2579.6,154.5,70.1,8.9
0.103649,743.7,207.5,1106.7,1317.1,2434.3,426.3,714.9,1278.1,2566,153.7,70.4,9
0.105649,742.2,232.7,961.4,1179.5,2405.3,360.4,708.4,1195.2,2559.2,152.9,70.6,9.2
0.107649,763.9,227.8,816.2,1248.4,2399.8,342.2,702.9,1120.6,2558.8,152.1,70.7,9.4
0.109649,636.1,1476.6,787.0,185.0,2417.5,356.1,698.7,1055.1,2564.5,151.3,70.9,9.6
0.111649,506.8,1582.7,796.8,153.1,2458.1,369.6,695.8,999.7,2575.4,150.4,71,9.7
0.113649,549.9,1415.5,800.3,141.7,2514.4,351.2,694.2,955,2590.8,149.6,71.2,9.7
0.115649,646.5,1157.3,800.8,142.7,2559.4,295.6,694,921.4,2610,148.8,71.3,9.5
0.117649,731.7,973.3,797.7,146.3,2586.6,238.8,695.1,898.8,2632,147.9,71.5,9.1
0.119649,788.5,150.4,831.7,886.9,2610.4,224.2,697.4,887.2,2656.2,147,71.8,8.6
0.121649,777.1,149.8,946.9,850.3,2652.0,256.7,700.8,886,2681.5,146.1,72,8.1
0.123649,770.8,145.7,1052.8,822.6,2728.2,312.7,705.2,894.4,2707.2,145.3,72.2,7.5
0.125649,768.6,144.2,1124.4,780.8,2822.6,345.3,710.2,911.3,2732.5,144.4,72.3,7
0.127649,763.4,148.4,1160.2,708.0,2913.7,350.0,715.8,935.7,2756.8,143.5,72.4,6.4
0.129649,748.2,156.9,1160.6,599.5,2984.9,359.1,721.6,966.1,2779.5,142.6,72.4,5.7
0.131649,729.3,155.6,1161.1,497.5,3035.0,390.6,727.5,1000.9,2799.9,141.6,72.4,5.1
0.133649,721.0,146.1,1181.2,438.2,3056.7,440.3,733,1038.6,2817.8,140.7,72.4,4.8
0.135649,723.9,142.7,1204.5,413.3,3030.0,503.1,738.1,1077.4,2832.8,139.8,72.4,4.9
0.137649,728.9,145.6,1209.0,396.2,2952.4,582.3,742.4,1115.8,2844.8,138.9,72.5,5.5
0.139649,729.5,149.6,1195.2,376.9,2855.5,634.1,745.8,1152.1,2853.6,138,72.6,6.3
0.141649,723.5,157.4,1181.1,358.3,2786.3,620.7,747.9,1185,2859.2,137.2,72.6,7.2
0.143649,708.6,171.5,1174.6,338.2,2750.0,550.6,748.8,1213.1,2861.7,136.3,72.6,7.9
0.145649,692.0,179.8,1177.8,315.9,2733.0,461.7,748.3,1235.4,2861.4,135.4,72.5,8.2
0.147649,684.7,179.5,1181.1,298.4,2723.7,386.8,746.2,1251.1,2858.3,134.6,72.3,8.2
0.149649,689.1,181.8,1172.9,291.1,2721.4,340.5,742.7,1259.4,2852.8,133.8,72.1,8.1
0.151649,699.7,193.3,1151.7,291.3,2724.4,313.4,737.6,1260.2,2845.2,133,71.9,7.9
0.153649,713.3,205.5,1126.3,298.3,2731.0,293.9,731.2,1253.4,2835.9,132.2,71.6,7.5
0.155649,727.7,207.8,1109.4,317.8,2741.3,282.4,723.4,1239.3,2825.1,131.5,71.4,7
0.157649,741.2,203.7,1098.7,354.6,2759.7,280.1,714.5,1218.4,2813.4,130.7,71.1,6.3
0.159649,747.0,198.7,1091.2,390.7,2784.6,284.0,704.7,1191.5,2800.9,130,70.8,5.3
0.161649,743.4,192.4,1088.6,398.8,2802.8,282.4,694.2,1159.6,2788.2,129.4,70.5,4.5
0.163649,736.8,184.3,1088.9,389.4,2802.1,270.1,683.3,1123.8,2775.4,128.8,70.1,3.9
0.165649,731.3,181.2,1081.1,391.8,2783.4,250.9,672.3,1085.5,2763,128.2,69.8,3.9
0.167649,726.0,187.9,1048.4,411.1,2751.6,227.3,661.4,1046.1,2751.2,127.6,69.5,4.5
0.169649,723.6,205.3,989.6,409.8,2718.1,200.7,650.9,1007,2740.2,127.1,69.3,5.3
0.171649,720.8,239.8,939.1,356.3,2697.9,181.1,641.2,969.6,2730.3,126.6,69.1,6.2
0.173649,699.2,311.5,914.7,269.4,2692.9,179.3,632.4,935.4,2721.6,126.2,68.9,6.6
0.175649,640.7,382.0,921.3,198.4,2698.0,199.4,624.9,905.5,2714.2,125.7,68.7,6.5
0.177649,569.0,396.3,942.9,159.6,2709.1,247.2,618.9,881,2708.4,125.3,68.3,5.9
0.179649,524.5,375.1,964.7,148.0,2734.6,329.2,614.4,862.9,2704.2,125,67.8,5
0.181649,512.8,374.2,978.3,160.1,2792.7,436.6,611.7,851.7,2701.6,124.7,67.2,3.9
0.183649,517.7,408.3,977.9,192.6,2886.0,555.7,610.8,848,2700.8,124.4,66.5,2.7
