time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,409.1,86.7,1794.2,647.0,2229.2,375.1,429.4,1852.8,2297.7,0,32.2,-50.4
0.027016,416.1,103.1,1864.7,390.0,2309.4,303.7,430.2,1851.1,2297.3,0,34.7,-7.7
0.029016,424.5,107.2,1860.4,294.1,2316.9,219.0,431.5,1848.2,2296.6,0,36.7,21.8
0.031016,429.9,95.8,1851.4,265.3,2308.2,181.8,433.2,1844.3,2295.7,0,38.2,27.1
0.033016,434.6,78.4,1838.4,251.9,2298.2,157.9,435.4,1839.4,2294.5,0,39.3,22.6
0.035016,439.7,61.0,1823.1,236.3,2290.1,136.5,437.9,1833.7,2293.2,0,40,13.8
0.037016,445.0,46.8,1807.1,214.9,2284.6,116.9,440.8,1827.3,2291.7,0,40.4,6.1
0.039016,449.9,38.9,1794.3,194.2,2282.9,103.4,444,1820.3,2290.1,0,40.6,4
0.041016,455.6,41.7,1790.4,195.6,2287.1,104.8,447.3,1812.9,2288.4,0,40.7,3.1
0.043016,463.7,57.8,1807.1,251.0,2293.5,123.0,450.9,1805.2,2286.6,0,40.9,2.6
0.045016,471.7,68.8,1836.9,331.1,2288.4,127.6,454.5,1797.4,2284.8,240,41.4,2.3
0.047016,474.3,62.5,1841.5,354.9,2279.0,110.7,458.1,1789.8,2283.1,240.2,42,2.4
0.049016,473.1,50.5,1815.7,313.0,2273.2,89.2,461.7,1782.3,2281.4,240.3,42.6,3
0.051016,470.9,40.6,1782.2,249.8,2270.3,73.5,465.2,1775.2,2279.9,240.4,43.2,4.1
0.053016,469.3,35.3,1757.2,209.1,2271.8,70.4,468.5,1768.6,2278.4,240.6,43.8,5.7
0.055016,469.4,33.2,1744.1,200.3,2278.8,80.4,471.6,1762.5,2277.2,240.7,44.4,7.4
0.057016,470.6,31.9,1743.5,213.1,2288.9,97.4,474.4,1757.2,2276.1,240.8,44.8,9
0.059016,471.7,30.2,1752.9,229.2,2298.0,110.4,477,1752.5,2275.2,241,45.3,10.5
0.061016,472.1,28.0,1766.1,239.4,2305.5,118.1,479.2,1748.7,2274.5,241.1,45.7,12.1
0.063016,472.6,26.0,1775.3,253.3,2310.3,128.7,481.1,1745.6,2274,241.3,46,13.8
0.065016,473.7,24.3,1779.2,291.4,2310.1,151.4,482.6,1743.2,2273.7,241.4,46.2,15.2
0.067016,475.6,22.8,1779.8,366.4,2301.9,184.5,483.8,1741.5,2273.7,241.5,46.3,16.5
0.069016,477.9,21.1,1774.7,459.9,2287.9,211.4,484.7,1740.5,2273.7,241.6,46.3,17.3
0.071016,480.4,19.2,1751.9,501.4,2275.6,216.1,485.2,1740.1,2274,241.7,46.2,17.7
0.073016,483.1,17.6,1724.4,412.3,2270.8,196.5,485.4,1740.1,2274.4,241.8,46,17.8
0.075016,485.6,16.5,1709.9,280.3,2266.0,167.4,485.4,1740.4,2274.9,241.8,45.8,17.9
0.077016,487.3,15.7,1704.2,183.8,2257.9,143.1,485.1,1741,2275.5,241.8,45.6,17.9
0.079016,487.6,15.3,1703.1,128.7,2249.8,126.9,484.6,1741.6,2276.2,241.8,45.5,18.2
0.081016,486.9,15.5,1705.1,95.9,2244.1,115.1,483.9,1742.2,2276.9,241.7,45.5,18.4
0.083016,485.7,16.6,1709.6,77.1,2242.4,106.4,483.1,1742.7,2277.6,241.6,45.5,18.7
0.085016,484.7,18.4,1715.5,65.5,2244.3,99.9,482.2,1742.8,2278.4,241.5,45.7,19
0.087016,483.7,20.8,1721.7,59.1,2248.8,96.6,481.3,1742.6,2279.2,241.3,45.8,19.4
0.089016,482.7,23.1,1727.2,58.2,2254.5,97.7,480.3,1741.9,2279.9,241.1,46,19.8
0.091016,481.2,25.2,1732.3,63.3,2261.1,103.4,479.3,1740.6,2280.6,240.8,46.2,20.3
0.093016,479.5,26.7,1736.7,73.6,2268.1,111.4,478.3,1738.7,2281.3,240.5,46.4,20.9
0.095016,477.8,27.8,1739.7,86.9,2275.2,118.8,477.4,1736.2,2282,240.1,46.6,21.4
0.097016,476.3,28.4,1741.0,99.4,2281.5,122.5,476.5,1733.1,2282.7,239.7,46.8,21.9
0.099016,475.3,28.5,1740.5,107.7,2285.8,121.4,475.6,1729.4,2283.4,239.3,47,22.1
0.101016,474.8,28.4,1739.0,113.1,2288.7,117.2,474.8,1725,2284.2,238.8,47.1,22.3
0.103016,474.4,27.9,1736.9,119.7,2292.1,114.1,474,1720.2,2285,238.3,47.1,22.3
0.105016,473.7,27.6,1734.6,133.1,2299.6,116.1,473.3,1714.9,2285.9,237.7,47.1,22.2
0.107016,472.6,27.9,1732.9,157.1,2312.6,123.9,472.6,1709.2,2287,237.1,47,21.9
0.109016,471.5,29.0,1733.1,190.6,2327.7,135.7,471.9,1703.4,2288.2,236.4,46.8,21.1
0.111016,470.9,30.3,1735.0,230.8,2340.3,150.2,471.2,1697.4,2289.5,235.8,46.6,19.8
0.113016,470.6,30.9,1730.2,247.7,2341.7,153.9,470.4,1691.4,2291.1,235.1,46.5,18.2
0.115016,469.9,30.2,1709.2,218.2,2332.0,134.3,469.6,1685.6,2292.9,234.4,46.3,16.5
0.117016,468.8,28.2,1682.8,164.1,2321.4,103.7,468.6,1680,2295,233.7,46.3,15.2
0.119016,467.8,25.7,1663.2,117.2,2316.1,78.7,467.6,1674.8,2297.3,233,46.3,14.4
