time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025254,427.9,17.7,1885.9,385.8,2566.1,75.8,432.1,1917.5,2562,143.2,41.2,20
0.027254,427.4,16.4,1893.6,371.3,2566.5,64.3,431.8,1917.1,2562,142.8,41.2,20.8
0.029254,427.2,16.4,1896.0,358.3,2566.5,58.1,431.3,1916.4,2562.1,142.4,41.1,20.8
0.031254,426.8,17.4,1887.3,334.6,2566.9,54.4,430.7,1915.5,2562.3,142,41,19.1
0.033254,426.0,18.9,1876.9,299.4,2566.6,52.0,429.8,1914.5,2562.4,141.6,40.8,16.8
0.035254,424.7,20.8,1875.6,270.0,2564.1,51.4,428.9,1913.3,2562.6,141.2,40.6,14.5
0.037254,422.9,23.0,1886.9,264.5,2560.9,53.8,427.8,1912,2562.9,140.7,40.4,12.7
0.039254,421.4,26.3,1911.2,283.3,2559.5,60.5,426.6,1910.7,2563.2,140.2,40.1,12.1
0.041254,421.3,30.6,1941.3,312.7,2560.6,69.8,425.4,1909.5,2563.6,139.6,39.8,12.5
0.043254,422.1,34.7,1958.3,332.9,2562.3,76.3,424.1,1908.5,2564,139.1,39.6,13.4
0.045254,423.0,36.9,1953.5,336.2,2562.5,78.7,422.8,1907.6,2564.5,138.5,39.4,14.4
0.047254,424.4,37.8,1941.3,332.0,2560.8,80.8,421.5,1907,2565.1,138,39.4,15.1
0.049254,425.6,37.7,1935.8,331.1,2559.2,82.4,420.3,1906.8,2565.8,137.4,39.4,15
0.051254,424.7,36.1,1936.2,333.3,2560.3,79.9,419.2,1906.9,2566.6,136.8,39.4,14.3
0.053254,421.9,34.1,1938.3,332.1,2564.2,74.6,418.3,1907.6,2567.5,136.2,39.5,13.2
0.055254,420.2,33.2,1942.9,322.1,2568.5,70.3,417.4,1908.8,2568.4,135.5,39.6,12.1
0.057254,421.4,32.6,1945.3,301.9,2570.6,67.6,416.8,1910.5,2569.5,134.9,39.8,11
0.059254,423.5,31.7,1939.1,275.9,2570.8,66.2,416.3,1912.9,2570.6,134.3,39.9,10.1
0.061254,424.3,32.4,1926.1,250.6,2570.2,68.4,416,1915.8,2571.8,133.7,39.9,9
0.063254,424.5,37.0,1914.2,234.0,2569.9,74.5,416,1919.4,2573.1,133,39.9,8
0.065254,426.5,43.3,1906.9,230.5,2571.5,77.8,416.3,1923.5,2574.5,132.4,39.8,7.2
0.067254,431.2,46.2,1901.3,236.6,2575.3,75.4,416.7,1928.3,2575.9,131.8,39.8,6.8
0.069254,435.1,44.6,1901.9,256.5,2580.9,71.8,417.5,1933.6,2577.4,131.2,39.8,7.1
0.071254,434.6,41.4,1916.4,294.0,2586.0,71.1,418.5,1939.4,2578.9,130.6,39.8,8.4
0.073254,430.6,37.6,1938.9,333.5,2587.5,70.8,419.7,1945.7,2580.4,130,39.9,10.2
0.075254,426.1,34.7,1950.1,355.3,2586.1,68.7,421.2,1952.3,2581.9,129.4,40.1,11.9
0.077254,421.4,33.6,1953.6,365.5,2584.3,68.4,422.9,1959.2,2583.4,128.9,40.4,13
