time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025821,480.5,38.5,1246.0,94.6,2476.6,57.4,483.6,1246.6,2476.4,168.9,72.7,6.9
0.027821,487.1,32.3,1246.6,96.1,2479.9,53.0,485,1243.6,2479.4,169.6,73.4,6.9
0.029821,489.4,28.7,1241.2,104.6,2484.4,48.1,486.8,1240.7,2484,170.2,74,6.7
0.031821,489.1,27.1,1236.1,115.7,2489.9,43.3,488.5,1240.2,2489.8,170.8,74.4,6.8
0.033821,488.4,26.5,1241.0,118.6,2495.6,40.6,489.5,1243.8,2496.4,171.4,74.9,7.6
0.035821,488.1,26.1,1253.3,113.7,2501.0,40.7,489.9,1252,2503.1,171.9,75.2,9.5
0.037821,488.7,25.4,1267.1,107.4,2507.7,43.3,489.7,1263.8,2509.6,172.4,75.5,12.2
0.039821,489.9,24.6,1278.9,102.5,2515.7,48.0,489.5,1276.8,2515.2,172.9,75.8,15
0.041821,491.2,23.9,1289.1,99.6,2524.0,55.7,489.8,1288.9,2519.7,173.4,75.9,17.6
0.043821,492.1,24.4,1296.7,102.7,2527.4,66.1,490.8,1298.4,2522.9,173.9,76,19.2
0.045821,492.9,26.1,1302.2,113.1,2524.4,77.0,492.5,1304.9,2524.6,174.3,76.1,19.6
0.047821,493.7,28.5,1307.6,127.3,2519.7,85.0,494.4,1309.4,2525.1,174.8,76.1,19.3
0.049821,494.6,30.5,1314.2,136.2,2519.4,85.7,496,1313.5,2524.7,175.3,76,18.5
0.051821,495.8,32.4,1322.2,137.9,2523.6,80.4,496.9,1318.9,2524.1,175.7,75.9,17.7
0.053821,496.7,34.7,1329.4,136.7,2527.7,73.2,496.9,1326.2,2523.8,176.2,75.8,17
0.055821,497.0,37.6,1334.5,136.9,2528.9,67.4,496.3,1334.6,2524.6,176.6,75.6,16.7
0.057821,497.0,40.8,1338.6,138.2,2528.7,62.0,495.6,1342.2,2527,177,75.4,16.5
0.059821,497.0,43.2,1342.6,139.7,2530.5,55.9,495.6,1346.6,2531.3,177.3,75.3,16.2
0.061821,497.1,45.0,1346.1,143.2,2535.3,48.6,496.7,1346.2,2537.3,177.6,75.1,15.9
0.063821,498.0,46.9,1344.9,150.3,2542.1,42.5,499.1,1340.5,2544.3,177.9,74.9,15.3
0.065821,499.9,49.5,1335.3,160.5,2549.3,38.5,502.4,1330.9,2551.5,178.1,74.7,14.5
0.067821,503.4,53.7,1317.8,172.7,2556.7,36.2,505.8,1320.5,2557.7,178.2,74.4,13.4
0.069821,507.9,58.4,1306.0,180.2,2562.6,36.6,508.3,1312.4,2561.9,178.2,74.2,12.3
0.071821,513.4,62.0,1313.8,177.6,2566.9,42.1,509.2,1309.4,2563.4,178.1,74,11.3
