time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025102,465.8,43.0,1972.8,636.2,2973.5,1209.4,505.2,2275,3160.7,181.6,77.2,1.4
0.027102,479.6,46.2,2013.6,729.3,3028.6,1204.5,505.5,2272.5,3152.3,181.6,77.6,2.2
0.029102,493.0,52.4,2088.0,812.2,3049.4,1141.1,505.9,2268.5,3138.6,181.7,77.7,3.7
0.031102,505.5,60.2,2181.7,886.7,3050.1,1168.7,506.5,2263,3120.1,181.7,77.8,5.6
0.033102,515.1,65.7,2257.8,930.6,3051.0,1270.7,507.2,2255.9,3097.4,181.8,77.8,7.6
0.035102,520.9,68.2,2317.8,905.9,3051.2,1464.2,508.1,2247.4,3071.3,181.8,77.9,9.4
0.037102,523.3,69.5,2402.6,774.7,3037.1,1945.5,509.1,2237.5,3042.6,181.9,77.9,11.2
0.039102,523.6,69.9,2463.3,606.3,3075.5,2783.1,510.2,2226.3,3012.5,182,78,13.1
0.041102,522.6,67.6,2487.7,530.2,3192.1,3981.8,511.4,2214,2981.9,182,78.1,15
0.043102,521.1,62.3,2490.5,562.7,3145.7,6200.6,512.8,2200.6,2952.1,182.1,78.3,16.7
0.045102,519.8,56.4,2430.3,4972.5,2465.0,708.3,514.2,2186.3,2924.2,182.2,78.5,17.9
0.047102,519.6,52.4,2306.3,942.8,2948.2,2296.5,515.7,2171.1,2899.4,182.2,78.6,18.5
0.049102,521.4,50.6,2101.8,781.3,3199.1,1499.9,517.3,2155.3,2878.7,182.3,78.8,18.6
0.051102,524.8,49.3,2017.0,594.7,3293.2,1230.2,518.9,2139,2863.2,182.4,78.9,18.5
0.053102,527.6,47.4,1999.2,522.5,3270.4,1235.9,520.6,2122.4,2853.8,182.5,79.1,18.5
0.055102,528.4,45.3,2022.9,548.9,3112.0,1397.3,522.2,2105.5,2851.4,182.5,79.2,18.8
0.057102,528.0,42.9,2058.7,633.4,2865.7,1499.0,523.9,2088.6,2856.6,182.6,79.3,19.5
0.059102,527.6,40.7,2073.0,710.1,2677.5,1453.3,525.6,2071.8,2869.8,182.7,79.4,20.6
0.061102,527.9,39.0,2042.3,682.0,2653.4,1410.1,527.2,2055.2,2891.4,182.8,79.5,21.7
0.063102,529.0,38.2,1991.6,546.5,2774.6,1419.1,528.8,2039.1,2921.6,182.9,79.6,22.7
0.065102,530.8,38.4,1944.7,397.4,2941.4,1359.9,530.4,2023.5,2960.1,183,79.7,23.3
0.067102,532.8,39.2,1913.5,296.5,3044.6,1255.7,531.9,2008.6,3006.9,183.1,79.7,23.4
0.069102,533.6,40.3,1902.5,257.2,3046.8,1197.6,533.3,1994.5,3061.3,183.2,79.8,23.2
0.071102,532.9,41.9,1909.9,263.4,2982.2,1194.4,534.7,1981.4,3122.8,183.3,79.8,22.8
0.073102,531.7,43.4,1930.4,291.7,2927.3,1264.1,536,1969.3,3190.5,183.4,79.9,22.4
0.075102,530.9,44.5,1960.0,319.8,2924.6,1472.6,537.2,1958.3,3263.6,183.5,80,22.4
0.077102,531.1,44.9,1985.6,326.9,2993.4,1811.2,538.3,1948.5,3340.8,183.7,80.1,22.8
0.079102,532.0,44.3,1994.9,312.3,3129.8,2173.9,539.3,1940,3421.1,183.8,80.2,23.6
0.081102,533.5,42.7,1989.8,284.6,3335.3,2573.0,540.3,1932.7,3503.2,183.9,80.2,24.4
0.083102,535.0,40.5,1978.1,254.9,3589.5,3088.7,541.2,1926.8,3585.9,184,80.3,25
0.085102,536.9,38.0,1962.9,226.0,3957.2,3881.0,542,1922.1,3667.8,184.2,80.3,25.2
0.087102,539.4,35.3,1944.0,199.8,4175.1,339.3,542.7,1918.6,3747.6,184.3,80.3,24.8
0.089102,542.0,32.8,1925.6,180.9,4157.2,312.2,543.4,1916.3,3824.3,184.4,80.2,24
0.091102,544.1,31.5,1915.8,175.2,4148.6,306.2,544,1915.2,3896.5,184.6,80.2,23
0.093102,545.2,31.7,1919.4,183.8,4143.6,316.1,544.6,1915.1,3963.4,184.7,80.1,22.1
0.095102,545.9,32.1,1930.0,197.8,4144.1,337.9,545.1,1915.9,4023.9,184.8,80.1,21.6
0.097102,546.5,31.1,1936.0,205.0,4156.8,372.3,545.6,1917.5,4077.5,185,80.1,21.4
0.099102,547.3,28.9,1931.4,200.4,4176.9,404.8,546,1919.8,4123.4,185.1,80.2,21.5
0.101102,548.1,25.9,1918.6,188.9,4184.3,409.5,546.4,1922.6,4161.3,185.3,80.2,21.6
0.103102,548.8,23.6,1907.8,184.6,4168.9,380.7,546.9,1925.7,4191,185.4,80.3,21.9
0.105102,549.1,23.0,1909.5,200.9,4149.1,347.3,547.3,1929.1,4212.5,185.5,80.3,22.3
0.107102,549.1,23.7,1925.7,234.6,4140.3,335.9,547.7,1932.4,4226,185.7,80.4,22.7
0.109102,549.2,24.2,1941.7,262.6,4138.0,342.8,548.2,1935.6,4231.7,185.8,80.4,23.3
0.111102,549.8,23.8,1945.3,272.8,4131.4,359.3,548.6,1938.5,4230.2,185.9,80.5,24
0.113102,550.7,22.6,1936.1,266.0,4115.2,376.8,549.1,1940.9,4222.2,186.1,80.6,24.6
0.115102,551.5,21.0,1920.8,249.3,4090.8,384.5,549.7,1942.6,4208.5,186.2,80.6,25
0.117102,552.2,19.7,1910.4,231.4,4073.4,369.5,550.3,1943.5,4189.9,186.3,80.7,25.2
0.119102,552.8,19.6,1911.1,223.2,4070.7,335.9,550.9,1943.6,4167.5,186.5,80.7,25.2
0.121102,553.2,20.2,1920.0,228.4,4071.4,294.8,551.6,1942.6,4142.4,186.6,80.7,25.2
0.123102,553.8,20.8,1931.1,245.0,4066.7,260.5,552.3,1940.5,4115.5,186.7,80.8,25.1
0.125102,554.8,20.7,1943.6,275.1,4056.8,229.4,553.1,1937.2,4087.9,186.8,80.8,25
0.127102,556.2,20.2,1957.3,324.8,4045.9,199.6,553.9,1932.7,4060.8,187,80.8,25
0.129102,557.6,19.4,1967.7,394.7,4038.8,178.2,554.8,1927,4035,187.1,80.8,24.9
0.131102,558.9,18.6,1962.9,472.6,4036.1,170.8,555.8,1919.9,4011.5,187.2,80.9,24.9
0.133102,559.8,17.9,1937.7,508.8,4035.6,173.1,556.7,1911.7,3991.1,187.3,81,24.9
0.135102,560.4,17.5,1906.3,495.1,4034.0,169.6,557.7,1902.3,3974.4,187.4,81.1,25
0.137102,560.7,17.5,1878.0,463.6,4031.1,152.4,558.8,1891.9,3962,187.5,81.2,25.4
0.139102,560.8,17.6,1852.3,437.8,4027.4,130.4,559.8,1880.4,3954.2,187.7,81.3,25.8
0.141102,561.0,17.9,1834.4,432.4,4024.2,112.0,560.9,1868.1,3951.3,187.8,81.4,26.4
0.143102,561.0,19.0,1840.0,458.7,4023.5,100.1,562,1855,3953.2,187.9,81.6,26.8
0.145102,561.0,20.3,1863.3,474.0,4026.3,91.2,563.1,1841.4,3960,188,81.7,27.2
0.147102,561.1,20.4,1861.9,421.4,4034.6,85.6,564.2,1827.4,3971.1,188.1,81.8,27.3
0.149102,561.5,19.1,1835.1,342.4,4047.7,83.8,565.3,1813.2,3986.4,188.2,82,27.3
0.151102,562.3,17.2,1808.8,283.0,4063.2,85.7,566.3,1799,4005.1,188.4,82.1,27.2
0.153102,563.2,15.7,1788.8,258.0,4076.0,90.7,567.3,1785,4026.7,188.5,82.2,27.2
0.155102,564.1,14.5,1764.8,244.1,4083.7,98.3,568.3,1771.3,4050.3,188.6,82.3,27.3
0.157102,565.0,13.7,1736.5,217.4,4084.5,102.8,569.3,1758.1,4075.1,188.7,82.4,27.8
0.159102,565.7,13.1,1715.4,181.5,4082.8,101.5,570.1,1745.7,4100.3,188.8,82.4,28.4
0.161102,566.4,12.8,1704.4,149.8,4082.9,102.0,571,1734.1,4124.8,188.9,82.5,29.1
0.163102,567.2,12.7,1699.5,128.6,4084.6,110.8,571.8,1723.6,4147.9,189,82.5,29.5
0.165102,568.3,12.9,1697.0,112.8,4087.4,128.4,572.5,1714.2,4168.6,189.2,82.5,29.7
0.167102,569.6,13.5,1697.4,101.1,4091.5,151.8,573.1,1706.1,4186.1,189.3,82.5,29.3
0.169102,570.9,14.6,1700.6,92.9,4098.3,177.0,573.7,1699.4,4199.8,189.4,82.4,28.5
0.171102,572.2,16.0,1704.4,85.8,4107.8,201.0,574.2,1694,4209,189.5,82.4,27.6
0.173102,573.6,17.3,1706.3,79.5,4118.0,218.5,574.6,1690.1,4213.2,189.6,82.3,26.7
0.175102,575.2,18.3,1705.8,74.1,4128.9,228.9,575,1687.7,4212,189.7,82.2,26
0.177102,576.8,19.0,1703.9,71.2,4137.8,230.6,575.3,1686.6,4205.3,189.8,82.2,25.6
0.179102,578.4,19.6,1702.2,71.6,4140.7,226.9,575.5,1687,4193,189.9,82.1,25.4
0.181102,580.0,20.5,1701.7,74.5,4138.2,220.7,575.6,1688.6,4175.2,190,82.1,25.1
