time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025340,431.0,63.6,1016.5,132.2,2628.8,48.1,436.8,1062.8,2672.1,158.1,71.8,12.5
0.027340,435.3,55.2,1038.3,112.8,2636.7,43.0,436.9,1065.7,2670.8,158.5,72.7,12.1
0.029340,438.6,50.0,1060.3,99.7,2648.3,36.7,437,1070.5,2668.8,158.8,73.5,11.4
0.031340,441.0,48.3,1079.3,94.6,2656.3,32.2,437.2,1077.1,2666,159.2,74.1,10.8
0.033340,441.6,48.3,1094.7,94.1,2660.5,30.6,437.4,1085.6,2662.7,159.6,74.7,10.5
0.035340,440.3,48.8,1104.8,95.0,2663.1,32.5,437.7,1095.6,2658.9,160.1,75.1,10.6
0.037340,439.1,50.3,1112.0,96.1,2665.9,37.2,438,1107.2,2655,160.5,75.4,11.3
0.039340,438.6,52.6,1118.6,98.7,2667.4,43.8,438.3,1120.1,2650.9,161,75.7,12.5
0.041340,438.0,54.9,1125.7,105.3,2663.9,49.1,438.7,1134.2,2647,161.5,75.9,14
0.043340,437.3,57.8,1136.3,116.5,2654.2,50.8,439.1,1149.4,2643.4,162,76,15.4
0.045340,437.5,61.3,1152.9,126.0,2645.0,48.1,439.5,1165.4,2640.3,162.6,76.1,16.4
0.047340,438.2,64.0,1178.0,127.2,2640.8,42.5,439.8,1182.1,2637.8,163.1,76.3,17.2
0.049340,438.6,65.7,1210.1,118.6,2641.9,35.7,440.2,1199.4,2636.3,163.7,76.4,17.8
0.051340,438.9,66.2,1240.9,105.0,2645.5,29.8,440.6,1217,2635.6,164.3,76.6,18.3
0.053340,439.0,65.2,1270.2,88.7,2649.5,25.0,441,1234.7,2636,164.9,76.8,18.7
0.055340,439.0,62.8,1294.8,73.1,2652.8,21.9,441.3,1252.6,2637.5,165.5,77,19
0.057340,439.2,59.8,1314.4,59.4,2656.2,19.9,441.6,1270.3,2640.1,166.1,77.2,19.1
0.059340,439.0,56.7,1328.6,48.1,2660.5,18.6,441.8,1287.8,2643.7,166.7,77.3,19.1
0.061340,438.5,54.2,1337.4,40.6,2665.4,18.4,441.9,1304.9,2648.4,167.4,77.5,19
0.063340,438.9,52.2,1343.9,35.8,2670.6,19.2,441.9,1321.7,2653.9,168,77.6,18.9
0.065340,441.1,50.5,1348.8,33.9,2675.7,21.0,441.9,1337.9,2660.2,168.7,77.6,18.8
0.067340,444.6,49.4,1352.9,34.3,2682.0,24.2,441.8,1353.6,2667,169.3,77.7,18.8
0.069340,448.4,49.6,1356.4,37.8,2690.2,29.7,441.6,1368.8,2674.2,170,77.7,18.9
0.071340,451.3,51.0,1359.9,44.3,2697.8,37.7,441.2,1383.3,2681.5,170.7,77.7,18.9
0.073340,453.5,52.6,1364.5,53.9,2702.1,49.0,440.8,1397.3,2688.7,171.4,77.6,18.8
0.075340,454.5,53.9,1371.1,64.4,2700.4,61.3,440.3,1410.7,2695.6,172.1,77.6,18.5
0.077340,452.9,54.7,1381.3,74.6,2692.3,71.5,439.7,1423.5,2701.8,172.8,77.6,17.7
0.079340,447.8,55.5,1396.9,84.0,2681.3,73.9,439.1,1435.8,2707.3,173.5,77.6,16.6
0.081340,440.3,57.7,1414.6,92.6,2675.0,70.4,438.4,1447.5,2711.7,174.2,77.7,15.3
0.083340,430.8,61.1,1432.6,101.6,2672.6,68.0,437.6,1458.8,2715,175,77.9,14.3
0.085340,423.0,62.7,1447.8,106.9,2670.0,68.6,436.9,1469.7,2717,175.7,78.1,13.8
0.087340,419.1,61.6,1463.3,106.2,2666.9,68.9,436.2,1480.2,2717.5,176.4,78.3,13.9
0.089340,419.4,58.9,1482.5,101.0,2665.8,66.9,435.6,1490.3,2716.6,177.1,78.5,14.5
0.091340,422.1,56.4,1503.2,94.9,2667.5,64.7,435,1500.1,2714.2,177.9,78.7,15.3
0.093340,425.3,55.4,1523.3,89.5,2671.6,66.6,434.6,1509.6,2710.4,178.6,78.7,16.1
0.095340,427.8,56.5,1537.5,85.6,2677.8,76.2,434.4,1518.8,2705.2,179.3,78.7,16.6
0.097340,430.0,59.4,1546.3,83.5,2686.7,96.3,434.3,1527.7,2698.9,180.1,78.6,16.8
0.099340,432.7,64.0,1552.9,84.9,2698.7,130.0,434.5,1536.3,2691.6,180.8,78.5,16.9
0.101340,436.1,69.8,1559.7,90.2,2709.7,170.5,435,1544.6,2683.5,181.5,78.3,16.9
0.103340,439.5,76.8,1567.9,98.7,2716.9,216.3,435.9,1552.6,2674.8,182.3,78,16.8
0.105340,441.6,83.2,1575.2,107.3,2718.6,270.5,437,1560.3,2666,183,77.8,16.5
0.107340,443.3,87.7,1580.5,116.0,2716.7,358.3,438.6,1567.5,2657.1,183.7,77.6,15.9
0.109340,447.0,89.5,1586.1,124.8,2712.1,511.6,440.5,1574.4,2648.7,184.4,77.5,15.2
0.111340,453.3,88.3,1594.9,130.3,2705.6,692.9,442.9,1580.7,2640.8,185.1,77.4,14.3
0.113340,460.8,84.1,1605.3,131.3,2697.8,802.9,445.6,1586.6,2633.9,185.8,77.5,13.5
0.115340,465.6,79.8,1611.6,132.7,2687.6,827.4,448.8,1592,2628.2,186.5,77.7,12.8
0.117340,465.5,80.2,1613.9,143.0,2672.0,924.0,452.4,1596.8,2623.9,187.2,77.8,12.1
0.119340,459.3,87.0,1616.5,166.0,2643.9,1257.7,456.4,1600.9,2621.1,187.9,78,11.6
0.121340,449.3,94.0,1624.0,190.8,2584.6,1955.4,460.7,1604.5,2620.2,188.5,78.1,11
0.123340,443.6,96.0,1627.3,205.1,2496.1,2671.7,465.3,1607.4,2621,189.2,78.1,10.6
0.125340,450.2,96.4,1612.6,205.3,2575.4,2005.4,470.2,1609.7,2623.7,189.8,78.1,10.3
0.127340,465.9,96.5,1592.7,184.8,2629.5,1244.7,475.4,1611.3,2628.3,190.5,78,10.1
0.129340,485.1,94.8,1580.6,155.4,2640.2,823.4,480.7,1612.4,2634.6,191.1,77.7,10.1
0.131340,500.6,92.5,1576.7,132.9,2635.6,614.1,486.1,1612.8,2642.6,191.7,77.4,10.1
0.133340,511.5,91.7,1576.3,116.7,2631.2,474.2,491.6,1612.7,2652,192.3,77.1,10.2
0.135340,517.3,93.3,1577.7,104.4,2636.5,367.7,497,1612.1,2662.6,192.8,76.9,10.4
0.137340,518.5,95.8,1583.3,93.2,2648.8,291.1,502.4,1611.1,2674.1,193.4,76.9,10.8
0.139340,514.6,96.8,1594.1,84.3,2661.7,249.7,507.5,1609.6,2686.3,193.9,76.9,11.3
0.141340,507.9,96.5,1604.2,79.9,2672.7,231.8,512.5,1607.9,2698.7,194.5,77.1,11.9
0.143340,501.5,97.4,1609.4,79.2,2687.1,211.7,517.1,1606,2711.1,195,77.3,12.3
0.145340,498.2,100.3,1607.6,79.8,2705.4,178.8,521.4,1603.9,2723.1,195.4,77.5,12.6
0.147340,498.6,103.5,1601.0,79.4,2724.4,138.3,525.3,1601.7,2734.3,195.9,77.5,12.6
0.149340,503.9,105.5,1592.7,77.9,2740.5,101.5,528.7,1599.6,2744.5,196.4,77.5,12.4
0.151340,513.2,106.9,1587.2,77.8,2752.1,77.6,531.6,1597.5,2753.4,196.8,77.3,12.1
0.153340,526.1,109.5,1585.8,80.4,2762.0,62.8,534,1595.6,2760.6,197.2,77.1,11.8
0.155340,539.3,112.4,1588.6,83.4,2770.0,55.7,535.8,1594,2766,197.6,76.9,11.5
0.157340,549.5,112.7,1593.8,82.9,2775.6,53.7,537.1,1592.5,2769.5,198,76.8,11.3
0.159340,551.8,109.9,1600.1,77.9,2778.0,56.3,537.9,1591.4,2770.8,198.3,76.8,11.1
0.161340,545.5,107.6,1606.2,72.2,2777.0,61.9,538.1,1590.6,2770.1,198.6,76.9,10.9
0.163340,535.4,108.1,1611.8,68.2,2774.4,69.0,537.8,1590.2,2767.3,199,77,10.7
0.165340,528.0,112.7,1616.0,65.9,2773.0,74.3,537.1,1590.1,2762.6,199.2,77.1,10.6
0.167340,526.4,120.8,1618.3,64.5,2774.3,76.3,535.9,1590.3,2756,199.5,77.1,10.5
0.169340,532.5,131.6,1618.4,63.5,2777.7,76.0,534.4,1590.9,2747.8,199.8,77,10.4
0.171340,544.4,142.1,1616.4,63.3,2780.3,76.5,532.6,1591.7,2738.2,200,76.9,10.3
