time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025234,421.9,54.8,2587.5,75.3,3027.7,188.7,429.2,2587.1,3018.3,144.6,62.2,11.5
0.027234,427.5,54.6,2581.9,69.3,3015.6,167.9,430.5,2584,3015.2,144.5,63.1,10.7
0.029234,432.8,53.0,2576.4,63.5,3006.0,152.2,432.5,2578.9,3010.2,144.3,64,10.4
0.031234,437.0,50.1,2571.2,58.9,2999.7,142.1,435.1,2571.7,3003.6,144.2,64.9,10.5
0.033234,441.4,47.8,2563.2,56.6,2992.8,134.0,438.1,2562.6,2995.7,144,65.7,10.6
0.035234,445.7,46.8,2552.3,55.8,2985.3,126.2,441.2,2551.6,2987.1,143.8,66.5,10.6
0.037234,448.5,46.2,2540.4,55.3,2978.4,119.4,444.3,2538.9,2978,143.6,67.2,10.5
0.039234,450.0,45.6,2526.8,55.5,2970.5,114.7,447.3,2524.6,2968.9,143.4,67.9,9.9
0.041234,451.5,45.5,2510.8,56.7,2961.1,111.2,450.2,2508.9,2960.2,143.2,68.5,9.2
0.043234,453.4,45.0,2493.2,57.4,2951.8,107.1,453.1,2492.1,2952.2,142.9,69,8.3
0.045234,455.2,44.0,2477.4,57.7,2945.1,104.2,456,2474.4,2945.3,142.6,69.4,7.6
0.047234,456.9,44.1,2459.5,59.3,2939.0,103.5,459.3,2456.1,2939.4,142.3,69.7,7.1
0.049234,459.4,45.8,2435.7,62.5,2932.8,103.9,463.1,2437.5,2934.8,142,70,7
0.051234,463.3,47.2,2412.4,64.5,2929.2,103.5,467.9,2418.8,2931.4,141.6,70.1,7.2
0.053234,469.6,50.0,2394.0,64.3,2929.2,100.0,473.7,2400.2,2929,141.3,70.1,7.5
0.055234,478.4,57.3,2378.9,64.2,2930.8,95.6,480.9,2381.9,2927.7,140.9,70.1,7.7
0.057234,489.3,67.4,2363.3,65.9,2931.5,93.2,489.4,2364,2927.1,140.5,70,7.6
0.059234,501.9,73.6,2347.9,67.4,2931.3,91.8,499.3,2346.4,2927.2,140.1,69.9,7.2
0.061234,515.2,71.8,2332.9,68.8,2930.3,91.3,510.3,2329.1,2927.7,139.7,69.9,6.5
0.063234,529.5,66.7,2314.5,71.2,2928.6,90.4,522.3,2312,2928.6,139.3,70,5.7
0.065234,540.7,62.0,2294.9,72.5,2926.8,87.0,534.9,2295,2929.6,138.9,70,4.9
0.067234,547.5,57.0,2277.2,72.6,2926.1,83.5,547.6,2277.7,2930.8,138.5,70.1,4.4
0.069234,554.0,53.0,2260.8,74.9,2927.3,83.9,560,2260.2,2932.3,138.1,70.1,4.1
0.071234,564.8,52.4,2245.0,81.6,2930.4,88.5,571.9,2242.2,2933.9,137.7,70,3.9
0.073234,579.9,54.7,2227.6,89.5,2934.2,93.0,582.7,2223.7,2935.9,137.3,69.8,3.8
0.075234,593.6,58.4,2209.2,95.0,2937.7,95.3,592.4,2204.7,2938.3,137,69.6,3.8
0.077234,604.3,65.1,2186.5,102.1,2942.2,99.2,600.8,2185.3,2941.3,136.6,69.3,3.9
0.079234,611.8,73.8,2161.2,111.5,2948.3,104.5,608,2165.6,2944.9,136.2,69.1,4
0.081234,616.9,80.3,2137.6,118.3,2954.2,106.7,614,2145.8,2949.3,135.9,68.9,4.2
0.083234,619.1,84.5,2118.3,123.2,2958.5,108.3,619.1,2126.3,2954.5,135.6,68.8,4.4
0.085234,619.9,90.0,2103.1,131.9,2962.7,114.5,623.6,2107.3,2960.5,135.3,68.7,4.8
0.087234,622.5,97.7,2089.9,142.6,2968.5,121.3,627.7,2089.2,2967.2,135,68.7,5.3
0.089234,627.2,104.1,2076.0,147.3,2975.4,121.3,631.8,2072.2,2974.6,134.7,68.6,6.1
0.091234,632.5,110.2,2061.2,147.2,2982.2,117.0,636,2056.6,2982.3,134.5,68.5,7.1
0.093234,640.0,122.0,2045.9,150.8,2989.6,114.2,640.4,2042.6,2990.4,134.2,68.3,8.1
0.095234,649.7,137.7,2033.6,160.3,2996.0,113.5,645,2030.3,2998.3,134,68.1,9.2
0.097234,657.1,151.7,2023.7,171.8,3000.9,112.2,649.8,2019.8,3006,133.8,67.9,10
0.099234,660.0,168.3,2013.9,183.1,3005.9,110.4,654.5,2011.1,3013.1,133.6,67.6,10.6
0.101234,662.6,193.3,2004.3,192.7,3012.2,110.0,658.9,2004.2,3019.4,133.5,67.5,11.1
0.103234,668.7,222.6,1995.7,200.1,3019.9,111.3,662.7,1998.9,3024.5,133.3,67.3,11.5
0.105234,671.5,244.8,1990.5,208.8,3027.2,115.9,665.7,1995.2,3028.3,133.2,67.1,11.9
0.107234,664.0,264.1,1989.6,224.3,3035.8,129.5,667.6,1993,3030.7,133,67,12.2
0.109234,650.2,282.3,1994.1,240.1,3046.4,152.3,668.2,1992.3,3031.5,132.9,66.9,12.5
