time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025914,378.3,41.3,2591.1,86.0,3048.6,192.4,383.2,2590.5,3050.2,144.8,62.7,20.2
0.027914,381.0,40.9,2589.4,81.0,3046.8,183.6,383.7,2589.1,3049.5,144.8,62.9,20.4
0.029914,384.2,41.0,2586.5,78.4,3046.3,180.3,384.4,2586.8,3048.1,144.8,63.1,19.9
0.031914,387.1,40.6,2582.6,77.1,3045.7,180.9,385.6,2583.6,3046,144.7,63.3,19.2
0.033914,389.2,39.5,2578.7,76.1,3045.9,180.9,387.3,2579.6,3042.8,144.7,63.4,18.4
0.035914,391.9,38.7,2574.8,76.4,3044.5,179.2,389.5,2574.9,3038.4,144.6,63.6,17.7
0.037914,395.3,38.3,2569.8,77.4,3038.1,177.8,392.3,2569.5,3032.7,144.6,63.7,17.2
0.039914,398.5,37.8,2564.0,77.8,3028.1,176.4,395.7,2563.5,3025.5,144.5,63.9,17.1
0.041914,401.4,37.5,2557.8,78.5,3015.9,176.2,399.5,2557,3016.9,144.5,64.1,17.2
0.043914,405.2,37.4,2550.5,81.5,3001.1,178.2,403.7,2550.1,3006.9,144.4,64.3,17.5
0.045914,408.6,36.8,2542.9,84.7,2988.3,179.2,408.2,2542.7,2995.7,144.4,64.5,17.6
0.047914,411.4,36.0,2535.3,88.3,2978.8,179.9,412.8,2534.9,2983.6,144.3,64.8,17.5
0.049914,414.7,35.2,2527.1,94.4,2969.5,183.2,417.3,2526.8,2971,144.2,65,17.1
0.051914,418.4,34.2,2518.2,100.7,2958.8,184.5,421.5,2518.3,2958.3,144.1,65.3,16.5
0.053914,421.7,32.7,2509.2,102.5,2948.3,178.5,425.2,2509.2,2945.7,144.1,65.6,15.7
0.055914,425.2,31.6,2500.0,101.6,2938.4,170.3,428.5,2499.7,2933.6,144,65.9,14.9
0.057914,429.6,30.9,2489.0,101.0,2926.2,163.1,431.3,2489.6,2922.2,143.8,66.2,14.2
0.059914,433.5,29.9,2477.4,99.3,2914.1,154.9,433.6,2478.8,2911.6,143.7,66.6,13.4
0.061914,436.8,28.8,2466.4,96.5,2904.3,147.4,435.7,2467.3,2902,143.6,67,12.5
0.063914,440.5,27.9,2453.6,95.2,2894.9,143.2,437.6,2455,2893.2,143.5,67.3,11.7
0.065914,443.9,27.2,2440.4,95.2,2885.4,140.4,439.8,2441.8,2885.1,143.3,67.7,10.9
0.067914,446.4,26.6,2428.1,95.2,2876.4,136.5,442.3,2427.9,2877.5,143.1,68,10.2
0.069914,448.7,27.0,2415.4,97.1,2867.2,134.4,445.6,2413.2,2870.2,143,68.3,9.8
0.071914,451.9,28.2,2400.2,101.1,2857.0,133.7,449.8,2397.9,2863.1,142.8,68.5,9.5
0.073914,456.0,29.8,2383.2,103.8,2848.2,130.5,455.1,2382.1,2855.9,142.6,68.6,9.2
0.075914,460.2,32.0,2367.0,105.9,2843.3,127.3,461.5,2366.1,2848.8,142.4,68.7,9
0.077914,465.3,35.9,2349.8,109.7,2840.3,126.4,469.1,2350,2841.7,142.2,68.7,8.6
0.079914,472.0,40.7,2333.5,111.4,2838.0,123.4,477.7,2334.2,2834.8,142,68.6,7.9
0.081914,480.8,45.3,2320.0,108.3,2835.9,115.9,487,2318.9,2828.4,141.8,68.4,7.1
0.083914,492.9,51.5,2306.9,104.2,2832.2,108.7,496.9,2304.3,2822.5,141.5,68.2,6.2
0.085914,507.0,59.1,2292.5,103.2,2825.2,106.7,506.9,2290.8,2817.7,141.3,67.9,5.7
0.087914,520.4,63.7,2277.6,103.0,2816.4,105.9,516.9,2278.5,2814,141.1,67.6,5.6
0.089914,531.0,63.1,2264.3,101.6,2810.2,103.3,526.3,2267.6,2811.8,140.8,67.3,6.2
0.091914,539.8,60.1,2252.1,101.8,2808.1,101.6,535,2258.1,2811,140.6,67.2,7.3
0.093914,546.5,56.5,2239.9,105.6,2808.5,102.8,542.8,2250.1,2811.6,140.4,67.1,8.7
0.095914,549.9,52.3,2231.0,109.9,2809.5,103.1,549.4,2243.5,2813.5,140.2,67.1,10.1
0.097914,552.7,48.7,2228.7,115.8,2810.7,101.9,555,2238.2,2816.5,140,67.1,11.2
0.099914,557.5,47.0,2237.8,130.3,2813.1,104.9,559.4,2234.2,2820,139.8,67.1,12.1
0.101914,562.8,46.0,2261.5,157.3,2817.9,115.3,562.8,2231.2,2823.7,139.6,67.1,13
0.103914,565.9,44.4,2289.0,194.4,2825.4,128.9,565.3,2229,2827.2,139.4,66.9,13.8
0.105914,567.0,44.0,2288.1,256.2,2831.4,138.6,566.9,2227.6,2830,139.2,66.7,14.2
0.107914,567.3,45.5,2232.7,387.2,2836.3,139.6,567.9,2226.8,2831.9,139,66.3,14.3
0.109914,566.1,45.8,2101.8,562.8,2844.3,126.4,568.2,2226.6,2832.5,138.9,65.8,13.2
