time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025431,423.8,59.8,2754.1,84.7,3269.3,298.7,425,2753.7,3268.7,146.1,64.8,14.6
0.027431,426.0,57.6,2750.9,85.5,3262.7,287.9,426,2751.2,3265.9,146,65.2,15.2
0.029431,428.0,56.4,2746.4,87.5,3257.4,277.0,427.6,2747.2,3261.2,145.9,65.5,16
0.031431,430.7,56.3,2740.7,89.0,3252.0,264.1,429.7,2741.9,3254.3,145.7,65.9,16.9
0.033431,433.3,56.0,2734.5,87.5,3246.7,253.3,432.2,2735.6,3245.2,145.6,66.2,17.6
0.035431,435.0,54.8,2728.9,84.9,3240.9,254.7,434.7,2728.6,3234,145.4,66.6,18
0.037431,437.0,52.5,2722.5,85.1,3229.5,270.6,437.2,2720.9,3220.8,145.1,66.9,17.9
0.039431,439.1,48.9,2714.5,87.5,3210.0,290.1,439.4,2712.8,3206,144.9,67.3,17.4
0.041431,440.2,45.5,2706.1,87.7,3188.5,294.4,441.3,2704.1,3190.1,144.6,67.6,16.8
0.043431,441.1,43.2,2696.0,85.5,3167.5,278.5,442.6,2694.7,3174,144.3,68,16
0.045431,442.6,41.9,2684.6,82.4,3150.9,251.4,443.4,2684.6,3158.3,144,68.3,15.2
0.047431,443.7,39.9,2672.8,79.4,3139.6,226.3,443.8,2673.3,3143.8,143.6,68.7,14.1
0.049431,444.2,36.7,2659.3,77.8,3129.9,207.5,443.9,2660.8,3131,143.3,69,12.8
0.051431,445.0,33.8,2643.4,77.4,3120.4,192.0,443.9,2646.9,3120.3,142.9,69.4,11.4
0.053431,446.3,31.7,2627.0,75.5,3113.8,178.3,444.2,2631.6,3111.7,142.4,69.7,10.1
0.055431,447.1,30.6,2613.5,73.0,3110.3,171.5,445.1,2614.9,3104.9,142,70,9.1
0.057431,447.8,30.9,2598.8,72.7,3105.3,171.1,447,2597.1,3099.4,141.5,70.2,8.4
0.059431,449.7,32.4,2580.3,74.2,3097.4,171.5,450.1,2578.2,3094.6,141,70.4,8
0.061431,453.4,33.7,2562.1,74.9,3090.2,168.3,454.7,2558.6,3089.7,140.5,70.5,7.7
0.063431,458.9,35.7,2543.0,75.3,3083.0,163.3,460.9,2538.4,3084.1,139.9,70.5,7.4
0.065431,466.2,40.4,2520.5,75.9,3073.5,155.7,468.7,2517.7,3077.4,139.4,70.4,7
0.067431,475.5,46.4,2496.1,74.1,3063.6,143.4,477.9,2496.5,3069.5,138.8,70.3,6.5
0.069431,486.9,48.7,2473.7,70.4,3056.2,132.0,488.3,2474.6,3060.6,138.2,70.2,5.9
0.071431,499.8,45.8,2451.5,69.1,3049.9,127.2,499.5,2451.9,3051.1,137.6,70,5.3
0.073431,514.8,41.5,2422.9,70.1,3042.3,125.6,511.1,2428.3,3041.9,137,69.9,4.8
0.075431,528.3,37.6,2395.3,69.1,3036.5,121.1,522.5,2403.6,3033.7,136.4,69.9,4.4
0.077431,537.6,33.9,2374.3,67.1,3033.6,116.9,533.4,2378,3027.2,135.8,69.8,4.2
0.079431,543.7,31.2,2354.6,70.0,3030.4,121.7,543.3,2351.5,3023,135.2,69.8,4.1
0.081431,549.5,30.3,2329.3,79.4,3024.2,136.5,552.1,2324.8,3021.5,134.6,69.7,4.1
0.083431,556.2,30.5,2299.3,88.1,3018.0,150.5,559.4,2298.5,3022.4,134,69.5,4.1
0.085431,561.5,31.6,2276.1,91.3,3018.0,157.3,565.4,2273.5,3025.3,133.4,69.3,4
0.087431,565.0,35.7,2258.4,97.4,3023.7,166.4,570,2251,3029.6,132.8,69.1,3.6
0.089431,569.2,44.9,2240.5,113.1,3032.2,180.5,573.4,2232,3034.3,132.2,68.8,3
0.091431,575.5,54.3,2222.9,130.0,3038.9,184.7,575.6,2217.6,3038.5,131.7,68.4,2.4
0.093431,581.2,60.0,2205.8,139.9,3043.0,176.0,576.9,2208.6,3041.4,131.1,68.1,2
0.095431,583.9,65.8,2188.0,148.8,3048.8,167.0,577.4,2205.6,3042.5,130.6,67.8,2
