time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025621,336.4,96.1,702.6,549.4,2828.8,159.5,341.9,725.3,2850,159.9,59.6,15.8
0.027621,341.3,95.6,695.2,578.3,2829.3,116.7,344,715.7,2847.7,160.2,60.1,16.2
0.029621,347.5,95.2,687.8,638.9,2833.4,103.6,347.4,700.5,2844.1,160.6,60.5,16.3
0.031621,353.4,94.8,680.2,708.2,2837.4,110.1,351.8,680.6,2839.7,161,60.9,16.4
0.033621,358.9,93.7,670.9,770.5,2838.0,128.8,357,657.5,2834.9,161.5,61.3,16.3
0.035621,364.5,92.2,659.4,834.6,2834.8,151.4,362.7,632.7,2830.2,161.9,61.7,16.2
0.037621,369.5,91.6,646.7,908.5,2830.8,166.3,368.7,608,2826.2,162.4,62,16.2
0.039621,374.6,91.5,628.9,1002.4,2830.0,166.4,374.5,585,2823.2,162.9,62.3,16
0.041621,380.4,91.3,599.5,1119.2,2835.9,153.4,379.9,565.3,2821.5,163.4,62.6,15.9
0.043621,386.5,91.0,552.3,1268.9,2846.4,137.4,384.6,550.1,2821.2,163.9,62.9,15.7
0.045621,391.7,90.5,491.3,1437.2,2854.6,123.8,388.4,540.5,2822.3,164.5,63.1,15.5
0.047621,394.4,89.6,455.4,1531.3,2854.1,115.2,391.3,536.9,2824.3,165,63.3,15.2
0.049621,394.7,89.7,489.5,1458.7,2842.8,111.2,393,539.7,2826.8,165.6,63.5,14.8
0.051621,393.1,91.2,547.1,1304.8,2824.6,110.5,393.7,548.4,2829.3,166.1,63.7,14.3
0.053621,391.6,91.4,580.2,1220.7,2810.3,109.6,393.4,562.6,2830.9,166.7,63.9,13.9
0.055621,390.6,89.9,597.4,1199.4,2807.3,109.1,392.2,581.3,2831.1,167.2,64.1,13.7
0.057621,389.0,87.8,619.5,1153.6,2811.1,112.3,390.4,603.2,2829,167.7,64.2,13.7
0.059621,385.9,84.6,651.3,1040.9,2813.9,121.5,388.2,627.1,2824.3,168.2,64.4,13.9
0.061621,381.9,80.8,678.9,902.8,2806.1,128.0,385.8,651.6,2816.5,168.7,64.5,14.2
0.063621,378.7,78.2,696.5,795.2,2786.0,115.2,383.4,675.2,2805.7,169.2,64.6,14.7
0.065621,377.7,77.5,705.7,740.2,2767.1,93.4,381.2,696.9,2791.8,169.7,64.7,15.2
0.067621,378.6,78.6,710.3,715.6,2753.4,83.1,379.5,715.6,2775.4,170.1,64.8,15.6
