time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025583,430.6,67.6,2316.3,115.9,3038.8,273.5,430.3,2316,3032.5,130,66.2,8.9
0.027583,430.3,54.7,2319.9,119.2,3042.3,315.0,429.7,2321.8,3045.7,130.2,67.1,7.2
0.029583,428.6,41.3,2329.3,120.8,3059.6,352.3,428.8,2329.8,3065.1,130.2,67.8,5.2
0.031583,426.9,32.7,2340.2,117.8,3085.8,363.6,427.7,2338.2,3087.3,130.2,68.4,3.4
0.033583,426.1,29.2,2347.6,110.3,3110.8,345.8,426.6,2345.4,3108.8,130.2,68.8,2.6
0.035583,425.8,29.6,2351.1,102.5,3130.6,307.3,425.8,2350.3,3127,130.1,69.1,2.9
0.037583,425.7,33.6,2351.9,97.8,3142.0,261.3,425.7,2353,3140.3,129.9,69.3,3.9
0.039583,426.7,40.1,2351.8,92.6,3146.5,217.2,426.4,2354.3,3148.4,129.7,69.4,5.4
0.041583,429.1,44.5,2353.0,83.7,3149.1,185.4,428.1,2355.4,3152.4,129.5,69.4,6.9
0.043583,431.4,46.4,2357.3,73.1,3153.1,165.5,430.5,2357.8,3153.8,129.3,69.3,8.4
0.045583,432.5,49.1,2364.4,65.0,3157.3,160.7,433,2361.9,3154.4,129.1,69.2,9.8
0.047583,433.7,54.3,2372.0,59.9,3158.7,168.0,434.9,2367.9,3155.9,128.8,69,11.4
0.049583,435.3,58.0,2377.0,55.5,3158.0,174.8,435.7,2375,3159,128.5,68.8,12.9
0.051583,434.9,57.3,2379.7,51.1,3160.8,169.0,434.6,2382.1,3164.3,128.3,68.6,14.3
0.053583,431.2,55.0,2383.4,48.8,3169.6,155.1,431.8,2388.2,3171.5,128,68.4,15.4
0.055583,426.5,53.8,2389.6,51.4,3181.6,143.3,427.3,2392.6,3180.3,127.7,68.3,16.2
0.057583,423.1,52.3,2396.9,57.0,3193.5,134.6,421.8,2395.4,3190.4,127.4,68.2,16.8
0.059583,419.3,49.2,2401.6,60.8,3203.5,128.0,416.2,2396.9,3201.1,127.1,68,17.1
0.061583,412.4,45.4,2401.8,63.4,3211.5,126.8,411.1,2397.8,3212.1,126.7,67.8,17.1
0.063583,404.1,41.9,2398.9,69.4,3220.1,130.9,407.1,2398.5,3222.7,126.4,67.6,16.6
0.065583,400.3,40.0,2394.8,78.4,3229.3,133.1,404.3,2399.5,3232.2,126,67.2,15.4
0.067583,401.1,39.7,2392.6,88.3,3238.5,131.4,402.6,2400.5,3239.7,125.6,66.7,13.5
0.069583,403.3,41.9,2397.1,103.7,3245.9,133.1,401.8,2401.3,3244.6,125.1,66,11.4
0.071583,404.5,48.8,2413.1,131.0,3248.9,144.3,401.5,2401.6,3246.4,124.6,65.1,9.3
