time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025118,486.6,70.6,2155.8,130.5,2873.0,251.1,486.4,2173.9,2881.4,243.3,67.4,7.9
0.027118,488.3,65.6,2150.5,126.7,2874.7,248.1,487.3,2172.6,2880.7,244.5,67.8,8
0.029118,486.3,60.0,2158.5,126.6,2877.6,268.6,488.6,2170.7,2879,245.8,68.2,7.9
0.031118,486.1,55.7,2172.4,125.4,2882.5,300.9,490.4,2168.4,2875.6,247.2,68.7,7.4
0.033118,490.3,49.5,2184.9,120.3,2885.3,336.3,492.6,2166.1,2869.8,248.7,69.2,6.8
0.035118,496.4,39.7,2190.2,114.6,2877.0,374.6,495.1,2164.1,2860.6,250.2,69.8,6.4
0.037118,500.6,30.6,2186.9,115.0,2858.9,420.2,497.8,2162.7,2847.5,251.8,70.3,6.3
0.039118,503.5,24.3,2177.3,123.9,2829.3,481.7,500.8,2162.2,2829.9,253.5,70.9,7.1
0.041118,506.3,20.9,2168.1,138.1,2787.8,546.7,504,2162.7,2807.8,255.3,71.3,8.7
0.043118,509.3,18.8,2164.4,155.9,2737.1,619.2,507.3,2164.1,2781.7,257.1,71.7,10.8
0.045118,512.1,17.6,2165.9,169.3,2699.3,688.3,510.9,2166.3,2752.3,259.1,71.9,12.9
0.047118,515.0,16.9,2164.2,170.0,2692.9,715.3,514.6,2168.9,2721,261.1,72,14.6
0.049118,518.7,16.6,2154.2,156.5,2711.2,676.7,518.7,2171.4,2689.5,263.2,71.9,15.4
0.051118,523.0,16.5,2145.1,138.3,2725.5,636.0,523.2,2173.3,2659.9,265.3,71.8,15.6
0.053118,527.8,16.8,2143.4,124.3,2726.0,650.1,528.2,2174.2,2634,267.5,71.4,15.4
0.055118,533.0,17.5,2149.2,118.3,2707.9,746.1,533.6,2173.6,2614,269.8,70.9,14.9
0.057118,538.1,18.8,2159.5,121.1,2660.6,909.8,539.7,2171,2601.5,272.1,70.3,14.4
0.059118,544.0,20.9,2173.6,132.0,2567.8,1103.8,546.4,2166.3,2598,274.5,69.5,13.9
0.061118,550.8,24.1,2187.8,147.7,2469.2,1206.8,553.7,2159.5,2604.2,276.9,68.7,13.2
0.063118,558.9,29.2,2194.6,169.3,2457.7,1143.4,561.5,2150.9,2620.1,279.4,67.8,12.4
0.065118,566.8,35.8,2182.1,188.1,2549.4,941.9,569.8,2140.9,2645.2,281.9,66.9,11.5
0.067118,574.9,42.8,2154.7,184.4,2663.0,716.1,578.4,2130.1,2678.3,284.4,66,10.7
0.069118,585.3,48.8,2125.5,165.8,2761.5,528.5,587.2,2119.3,2717.6,287,65.1,10.1
0.071118,598.5,53.9,2101.8,152.2,2834.7,399.5,596,2109.4,2760.6,289.6,64.3,9.6
0.073118,613.8,58.8,2082.6,149.4,2890.3,310.6,604.6,2101.2,2804.8,292.1,63.6,9.1
0.075118,625.0,62.2,2069.4,156.9,2926.6,258.3,612.8,2095.5,2847.6,294.7,62.9,8.6
0.077118,629.0,62.0,2061.6,172.2,2947.9,229.3,620.5,2092.9,2886.2,297.3,62.3,8.2
0.079118,628.8,57.3,2061.1,194.6,2953.6,220.5,627.6,2093.9,2918.6,299.9,61.9,7.7
0.081118,628.9,50.9,2071.9,220.6,2942.9,239.1,633.9,2098.4,2942.9,302.4,61.7,7.1
0.083118,631.1,44.9,2095.2,248.6,2919.1,294.3,639.5,2106.4,2957.9,304.9,61.5,6.5
0.085118,635.8,40.9,2123.1,275.7,2894.3,380.8,644.3,2117.3,2963.1,307.4,61.5,6
0.087118,643.3,37.9,2151.5,298.0,2881.5,479.3,648.5,2130.4,2958.8,309.8,61.5,5.9
0.089118,651.2,35.1,2177.6,307.1,2889.2,556.4,652,2144.7,2945.8,312.1,61.6,6.2
0.091118,656.3,32.6,2196.0,306.3,2906.0,579.9,655.1,2159.2,2925.5,314.4,61.7,7.2
0.093118,659.2,30.0,2205.3,316.2,2909.3,562.0,657.9,2172.7,2899.7,316.7,61.7,8.5
0.095118,661.0,27.0,2202.2,354.2,2886.0,532.0,660.5,2184.2,2870.5,318.8,61.7,9.8
0.097118,662.7,24.1,2187.7,411.7,2848.6,487.3,663.1,2192.8,2840,320.9,61.6,10.8
0.099118,665.3,21.6,2175.4,464.8,2821.4,430.7,665.7,2197.8,2810.1,322.9,61.5,11.2
0.101118,669.4,19.9,2177.5,507.4,2807.4,381.1,668.4,2198.9,2782.4,324.8,61.2,11.1
0.103118,674.7,19.0,2187.0,536.8,2795.5,335.1,671.4,2196,2758.2,326.6,60.8,10.7
0.105118,679.3,19.1,2188.6,526.2,2779.6,297.7,674.5,2189.5,2738.4,328.4,60.4,10.1
0.107118,682.1,20.4,2175.1,487.1,2755.2,268.5,677.6,2180,2723.1,330,60,9.8
0.109118,683.0,22.5,2152.3,457.6,2722.1,249.2,680.7,2168.4,2712.3,331.5,59.6,9.7
0.111118,682.7,25.4,2131.1,458.8,2689.6,243.4,683.7,2155.8,2705.4,333,59.3,9.8
0.113118,682.8,29.2,2113.1,478.6,2664.0,247.6,686.5,2143.4,2701.6,334.3,58.9,10.1
0.115118,684.8,32.7,2104.4,500.5,2653.9,264.5,688.8,2132.4,2700,335.6,58.5,10.3
0.117118,688.4,35.6,2115.8,526.4,2660.9,307.1,690.5,2123.6,2699.6,336.7,58.2,10.3
0.119118,691.9,37.8,2150.2,542.9,2691.1,384.4,691.6,2118,2699.7,337.8,57.9,10
0.121118,692.5,40.2,2185.4,517.9,2755.9,471.6,692,2116.1,2699.8,338.8,57.6,9.4
