time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025780,380.8,29.6,819.2,437.3,2616.3,213.2,388.7,844.4,2588.6,200,56,10.3
0.027780,384.3,28.2,829.0,438.4,2603.8,202.5,389,846.4,2589,200.2,56.7,11.1
0.029780,387.7,27.5,841.4,459.5,2587.9,176.6,389.4,849.7,2589.8,200.5,57.2,13.1
0.031780,390.6,27.3,852.1,490.5,2575.7,147.1,389.9,854.1,2590.8,200.9,57.6,15.6
0.033780,392.9,27.1,860.9,519.1,2573.3,122.1,390.7,859.5,2591.9,201.2,58,18.1
0.035780,394.9,26.7,873.9,549.4,2580.9,99.0,391.5,865.7,2593.2,201.5,58.2,20.3
0.037780,396.3,26.1,890.7,573.1,2590.6,79.3,392.5,872.4,2594.4,201.9,58.4,21.9
0.039780,397.2,25.2,904.5,573.1,2597.4,64.7,393.7,879.5,2595.6,202.3,58.6,23
0.041780,397.7,24.0,906.9,538.4,2600.2,58.8,395,886.6,2596.5,202.7,58.8,24
0.043780,397.9,22.8,903.8,492.1,2600.2,59.1,396.4,893.5,2597.2,203.1,58.9,24.6
0.045780,398.4,22.0,902.0,456.2,2599.1,61.1,397.9,900.1,2597.5,203.5,58.9,25
0.047780,399.2,22.1,903.7,445.3,2598.3,62.8,399.5,906.1,2597.4,204,59,25.1
0.049780,400.6,23.1,907.8,456.7,2597.1,65.1,401.1,911.3,2596.7,204.4,59,24.8
0.051780,402.3,24.7,910.5,481.0,2593.8,69.8,402.8,915.6,2595.5,204.8,59.1,24.1
0.053780,404.1,26.4,909.7,508.7,2589.1,78.4,404.4,919.1,2593.7,205.3,59.1,23.4
0.055780,406.2,28.0,907.0,544.2,2584.8,92.0,406.1,921.5,2591.3,205.8,59.1,22.7
0.057780,408.5,29.5,907.9,582.1,2582.1,108.8,407.7,923,2588.4,206.2,59.1,22.1
0.059780,410.6,31.2,918.4,603.5,2580.0,128.1,409.2,923.6,2584.9,206.7,59,21.5
0.061780,412.2,33.1,935.3,579.9,2578.7,142.9,410.6,923.4,2581,207.1,58.9,20.9
0.063780,413.0,35.3,944.9,519.3,2579.2,148.6,412,922.5,2576.7,207.6,58.7,20.4
0.065780,413.0,37.8,939.7,439.9,2581.0,147.4,413.1,921.1,2572.2,208.1,58.5,19.9
0.067780,412.6,39.1,924.5,368.4,2580.9,144.9,414.1,919.3,2567.5,208.5,58.3,19.7
0.069780,412.1,39.4,908.6,314.6,2575.4,144.2,415,917.4,2562.8,209,58.1,19.6
0.071780,412.4,40.1,900.0,291.6,2567.1,142.5,415.7,915.4,2558.3,209.4,58,19.6
0.073780,413.5,42.7,898.7,294.8,2561.2,137.3,416.2,913.6,2554,209.8,57.9,19.7
0.075780,414.9,47.0,900.9,310.3,2555.2,132.0,416.7,912.1,2550,210.3,57.8,19.8
0.077780,416.0,51.6,903.8,322.1,2546.7,130.1,417,910.9,2546.6,210.7,57.8,20
0.079780,416.7,55.4,906.8,322.8,2536.5,127.5,417.2,910.2,2543.8,211.1,57.8,20.1
0.081780,416.8,57.0,909.6,310.8,2529.2,120.8,417.3,910,2541.6,211.4,57.8,20.3
0.083780,416.7,56.2,911.5,291.6,2526.7,111.2,417.4,910.3,2540.2,211.8,57.8,20.5
0.085780,416.3,53.9,911.8,269.4,2527.0,99.3,417.4,911,2539.6,212.1,57.9,20.7
0.087780,416.2,51.7,910.7,252.0,2529.3,86.1,417.5,912.2,2539.8,212.5,57.9,20.7
0.089780,416.8,51.5,910.1,244.8,2534.4,71.3,417.6,913.6,2540.7,212.8,57.9,20.8
0.091780,418.4,55.1,913.7,254.0,2541.3,59.2,417.7,915.3,2542.3,213,57.9,20.7
0.093780,420.7,62.1,923.0,274.2,2547.4,52.9,417.9,917,2544.5,213.3,57.8,20.7
0.095780,423.0,72.0,935.3,293.8,2552.5,51.1,418.2,918.6,2547.2,213.5,57.7,20.7
0.097780,424.4,83.4,943.4,302.2,2556.4,51.2,418.5,920,2550.2,213.7,57.5,20.7
0.099780,425.3,97.4,944.4,300.8,2559.9,50.8,418.8,920.9,2553.4,213.9,57.2,20.8
0.101780,425.6,113.3,938.1,292.4,2563.0,49.3,419.1,921.4,2556.6,214.1,56.9,20.9
0.103780,424.8,128.2,928.4,279.1,2565.8,47.5,419.4,921.3,2559.6,214.2,56.6,21
0.105780,422.3,140.9,917.8,261.6,2568.6,46.2,419.6,920.6,2562.2,214.3,56.3,21.2
0.107780,418.8,148.9,909.2,244.5,2570.5,46.6,419.7,919.1,2564.2,214.4,56,21.4
0.109780,414.6,154.1,901.8,229.5,2570.7,49.9,419.6,916.8,2565.4,214.5,55.8,21.8
0.111780,411.1,158.5,896.1,219.9,2568.1,55.7,419.2,913.9,2565.7,214.5,55.7,22.1
0.113780,409.0,164.7,892.1,217.4,2562.7,60.9,418.6,910.3,2564.9,214.5,55.5,22.5
0.115780,408.5,174.3,889.3,221.2,2555.8,62.6,417.5,906,2562.9,214.5,55.4,22.8
0.117780,409.5,185.2,887.6,228.6,2551.0,61.7,416.1,901.3,2559.5,214.4,55.2,23.2
0.119780,410.9,195.3,886.4,235.5,2547.9,61.5,414.2,896.2,2554.8,214.4,55.1,23.5
0.121780,411.1,200.1,885.4,235.8,2544.4,64.3,411.8,890.9,2548.6,214.3,55,23.9
0.123780,409.7,199.7,884.3,228.9,2538.2,69.3,408.9,885.4,2541.1,214.2,54.8,24.1
0.125780,407.0,198.2,882.4,218.7,2528.7,75.0,405.6,879.9,2532.3,214,54.7,24.3
0.127780,403.8,198.2,879.8,208.7,2518.5,80.4,401.7,874.6,2522.4,213.9,54.6,24.3
0.129780,400.0,200.6,876.3,199.3,2507.7,87.2,397.5,869.5,2511.3,213.7,54.5,24.2
0.131780,396.0,205.2,872.9,191.5,2496.8,95.5,392.9,864.8,2499.4,213.6,54.4,23.9
0.133780,392.0,210.7,870.0,184.5,2486.5,103.9,387.9,860.5,2486.9,213.4,54.4,23.6
0.135780,387.6,216.3,867.5,176.2,2477.1,113.7,382.8,856.6,2473.9,213.2,54.3,23.4
0.137780,383.1,221.9,865.3,168.3,2470.4,125.5,377.5,853.3,2460.8,212.9,54.3,23.4
0.139780,377.9,229.8,862.9,162.3,2464.7,142.6,372.3,850.4,2447.8,212.7,54.3,23.7
0.141780,371.9,239.2,860.2,158.6,2454.7,164.5,367.2,848,2435.3,212.5,54.2,24
0.143780,365.5,247.5,857.3,155.7,2434.4,184.3,362.3,846.1,2423.4,212.3,54.2,24.4
0.145780,358.6,256.1,853.7,153.4,2404.5,192.8,357.8,844.6,2412.5,212,54.3,24.6
0.147780,352.7,268.6,849.6,154.7,2381.2,191.5,353.7,843.5,2402.8,211.8,54.3,24.5
0.149780,347.4,290.2,844.2,163.6,2371.4,198.6,350.3,842.7,2394.5,211.5,54.3,24.4
0.151780,343.1,317.4,837.3,181.0,2377.0,237.2,347.5,842.1,2387.9,211.3,54.3,24.1
0.153780,340.4,340.4,829.9,204.0,2393.7,325.0,345.4,841.7,2383,211.1,54.4,23.7
0.155780,339.8,356.7,822.7,234.8,2408.6,509.4,344.1,841.5,2380,210.9,54.4,23
0.157780,341.5,368.8,816.7,274.7,2364.5,721.2,343.7,841.4,2379,210.7,54.4,21.7
