time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025073,394.6,82.3,2515.6,85.5,3160.7,188.0,420.9,2571.6,3150.6,149.9,60.5,-1
0.027073,398.7,61.1,2526.0,94.9,3147.3,187.1,421.2,2573,3151.1,149.8,61.4,0.1
0.029073,408.3,53.4,2545.4,101.5,3149.4,187.7,421.6,2575.5,3151.8,149.8,62.1,1.1
0.031073,420.6,54.3,2566.4,94.6,3159.0,174.7,422.3,2578.8,3152.9,149.7,62.7,1.8
0.033073,429.4,56.4,2581.2,82.5,3167.9,156.6,423.1,2583,3154.2,149.6,63.1,2.4
0.035073,432.9,57.2,2592.8,72.9,3171.9,140.9,424.1,2588,3155.9,149.5,63.4,3
0.037073,433.4,57.3,2606.6,67.6,3170.1,131.8,425.2,2593.7,3157.8,149.4,63.6,3.6
0.039073,433.7,57.2,2622.1,66.1,3164.9,131.6,426.4,2600,3159.9,149.3,63.8,4.2
0.041073,435.5,56.9,2636.3,65.0,3160.6,138.0,427.7,2606.9,3162.3,149.2,64,4.7
0.043073,439.2,56.3,2646.9,62.7,3159.4,148.3,429,2614.1,3165,149,64.3,5.1
0.045073,442.7,55.7,2653.9,59.0,3160.7,157.7,430.3,2621.6,3167.8,148.9,64.5,5.7
0.047073,444.1,54.8,2657.9,54.9,3163.5,162.5,431.7,2629.4,3170.8,148.8,64.7,6.6
0.049073,443.1,53.6,2659.8,52.4,3166.9,164.0,432.9,2637.2,3174,148.6,64.9,8.3
0.051073,441.3,53.1,2661.5,52.2,3170.6,164.0,434.1,2644.9,3177.3,148.4,65.1,11
0.053073,439.4,54.1,2663.7,53.0,3173.1,162.6,435.2,2652.6,3180.7,148.3,65.2,14.1
0.055073,437.5,55.2,2666.5,53.3,3174.5,161.4,436.2,2659.9,3184.2,148.1,65.3,17.1
0.057073,436.4,56.2,2669.6,53.5,3175.9,161.8,437.1,2667,3187.7,147.9,65.3,19.3
0.059073,436.5,56.9,2672.5,54.5,3177.9,163.8,437.8,2673.6,3191.2,147.7,65.4,20.2
0.061073,436.5,56.7,2675.4,55.8,3180.3,167.5,438.3,2679.8,3194.7,147.5,65.5,19.9
0.063073,436.0,55.5,2678.9,57.4,3182.9,172.5,438.6,2685.4,3198.2,147.3,65.5,18.9
0.065073,435.5,54.5,2683.4,59.6,3186.2,177.3,438.8,2690.4,3201.5,147,65.6,17.6
0.067073,434.6,54.3,2688.0,61.2,3192.0,180.0,438.8,2694.9,3204.7,146.8,65.7,16.6
0.069073,433.2,54.5,2691.0,61.1,3200.8,180.0,438.6,2698.7,3207.7,146.6,65.7,16.2
0.071073,432.5,55.2,2692.2,60.8,3212.0,179.0,438.2,2701.9,3210.6,146.4,65.8,16.1
0.073073,432.4,56.0,2692.7,60.7,3222.4,179.1,437.7,2704.5,3213.2,146.1,65.8,16.2
0.075073,431.9,55.7,2694.5,60.1,3229.9,182.2,437,2706.5,3215.5,145.9,65.8,16.4
0.077073,431.0,54.8,2698.4,59.0,3235.4,188.4,436.2,2708,3217.6,145.6,65.9,16.7
