time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025526,371.1,51.5,2692.0,45.1,3950.7,479.2,380.7,2690.2,4045.4,151.6,70.6,19.6
0.027526,373.4,50.1,2693.4,36.6,3980.4,483.2,380.5,2690.3,4040.1,151.6,70.6,19.9
0.029526,375.3,49.2,2690.8,29.8,4001.9,477.7,380.1,2690.6,4031.5,151.6,70.6,20.1
0.031526,377.0,48.8,2688.6,25.7,4014.2,454.1,379.5,2690.9,4019.5,151.6,70.6,20.3
0.033526,378.4,48.9,2688.1,23.9,4018.3,430.8,378.9,2691.4,4004.5,151.6,70.6,20.7
0.035526,379.7,49.7,2688.9,23.2,4014.5,422.9,378.1,2691.9,3986.7,151.6,70.6,21.2
0.037526,380.9,50.8,2689.9,23.0,4007.5,429.3,377.4,2692.6,3966.3,151.6,70.5,22
0.039526,381.3,51.7,2691.3,23.0,3997.4,444.6,376.7,2693.4,3943.7,151.5,70.5,22.7
0.041526,381.0,52.3,2693.2,23.6,3977.3,465.6,376,2694.3,3919.2,151.5,70.5,23.4
0.043526,380.7,52.7,2694.8,24.6,3945.7,486.4,375.4,2695.3,3893.2,151.5,70.6,23.8
0.045526,380.6,53.3,2696.0,26.0,3903.9,501.1,375,2696.4,3866,151.5,70.6,24.1
0.047526,380.4,54.1,2697.4,28.0,3858.8,500.5,374.7,2697.6,3838,151.4,70.7,24.2
0.049526,379.5,55.1,2699.3,30.5,3817.7,488.2,374.7,2699,3809.6,151.4,70.8,24.2
0.051526,378.3,56.2,2700.7,32.4,3783.3,479.8,374.9,2700.4,3781.1,151.3,70.8,24.1
0.053526,376.9,57.8,2701.9,33.4,3748.1,479.1,375.4,2701.8,3752.8,151.3,70.9,23.9
0.055526,376.3,60.0,2703.7,33.3,3707.3,473.0,376.2,2703.3,3725,151.2,71,23.7
0.057526,376.9,62.1,2706.1,32.1,3673.0,450.6,377.2,2704.8,3698,151.1,71,23.3
0.059526,378.1,64.0,2708.9,30.3,3647.2,416.2,378.5,2706.3,3671.9,151,71,22.8
0.061526,379.2,65.6,2711.4,28.8,3625.6,383.7,380.1,2707.7,3646.9,150.9,71,22.4
0.063526,379.9,66.6,2712.8,27.3,3604.9,365.5,382,2708.9,3623.1,150.8,71,22.1
0.065526,380.9,67.6,2713.8,26.0,3581.4,362.5,384,2710.1,3600.7,150.7,71,22
0.067526,381.9,69.0,2715.2,25.3,3556.0,365.7,386.2,2711,3579.5,150.6,71,21.9
0.069526,383.5,70.4,2716.0,25.3,3531.9,363.4,388.6,2711.7,3559.7,150.4,71,21.9
0.071526,386.1,71.4,2715.6,25.4,3511.7,348.8,391,2712.2,3541.2,150.3,71,21.9
0.073526,389.3,71.8,2715.0,25.8,3493.9,324.2,393.4,2712.4,3523.8,150.1,71.1,21.9
0.075526,392.6,71.3,2714.6,26.4,3479.9,301.2,395.7,2712.2,3507.5,149.9,71.1,21.8
0.077526,395.8,69.9,2713.8,26.8,3476.1,295.2,398,2711.7,3492.2,149.7,71.2,21.8
0.079526,399.2,67.9,2712.0,26.7,3484.1,309.2,400.1,2710.9,3477.6,149.5,71.2,21.7
0.081526,402.4,65.9,2709.6,26.6,3499.7,336.5,402,2709.7,3463.7,149.3,71.3,21.6
0.083526,404.7,63.8,2706.4,27.2,3510.3,363.0,403.6,2708.1,3450.3,149.1,71.4,21.4
0.085526,406.1,62.0,2702.6,28.2,3502.9,374.1,404.9,2706.3,3437.2,148.8,71.6,21.1
0.087526,407.1,60.6,2698.3,28.9,3475.6,367.6,405.9,2704.1,3424.2,148.6,71.7,20.7
0.089526,408.1,59.4,2693.7,28.7,3440.0,348.2,406.6,2701.6,3411.4,148.3,71.9,20.3
0.091526,409.5,57.7,2688.9,27.6,3410.4,324.3,406.9,2698.9,3398.6,148.1,72,19.9
0.093526,410.7,55.6,2684.8,26.6,3390.1,299.6,406.8,2696,3385.6,147.8,72.2,19.5
0.095526,410.8,53.9,2682.4,26.7,3375.9,279.0,406.4,2693.1,3372.5,147.5,72.4,19.1
0.097526,409.9,52.6,2681.4,27.9,3360.7,265.0,405.6,2690,3359.3,147.2,72.7,18.7
0.099526,407.9,51.4,2680.7,30.7,3341.0,255.7,404.6,2686.9,3345.9,146.9,72.9,18.2
0.101526,404.9,50.5,2679.8,35.9,3317.8,246.4,403.2,2683.9,3332.4,146.7,73.2,17.9
0.103526,402.0,50.2,2678.6,42.5,3297.4,239.2,401.7,2681.1,3318.8,146.4,73.5,17.7
0.105526,399.4,50.2,2677.5,48.6,3280.4,239.5,399.9,2678.4,3305.4,146.1,73.8,17.8
0.107526,396.7,50.1,2677.2,53.5,3263.6,245.4,398,2676,3292.1,145.8,74,18.2
0.109526,394.1,50.1,2677.6,57.8,3246.7,248.9,396.1,2673.9,3279.1,145.5,74.3,18.6
0.111526,392.4,50.5,2678.8,59.9,3235.1,246.8,394.1,2672.1,3266.5,145.2,74.6,18.9
0.113526,391.2,51.3,2681.3,60.3,3228.8,241.0,392.2,2670.8,3254.5,145,74.8,19
0.115526,389.8,52.3,2685.6,60.7,3224.7,232.3,390.3,2669.8,3243.2,144.7,75,18.9
0.117526,388.6,53.5,2688.7,60.2,3223.0,224.9,388.6,2669.2,3232.8,144.4,75.1,18.5
0.119526,387.7,55.1,2688.8,57.5,3223.7,223.5,387.1,2669,3223.3,144.2,75.2,18
0.121526,386.1,56.9,2686.6,53.9,3225.3,229.9,385.7,2669.2,3214.9,144,75.3,17.6
0.123526,383.7,58.4,2683.0,51.0,3225.0,238.3,384.6,2669.8,3207.8,143.7,75.3,17.4
