time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025125,347.8,12.4,2502.1,101.5,3083.8,142.8,346.2,2503.4,3087.2,164.3,75.6,8.3
0.027125,347.8,13.3,2508.3,82.9,3089.3,122.3,346.6,2503.9,3087.6,163.9,76.1,9.3
0.029125,348.0,14.5,2507.2,70.4,3089.2,102.1,347.2,2504.8,3088.2,163.5,76.4,10.5
0.031125,348.3,16.3,2502.6,61.9,3086.9,86.1,348.1,2506.1,3089.1,163.1,76.7,11.7
0.033125,348.5,18.6,2500.0,56.9,3085.8,76.8,349.1,2507.8,3090.3,162.6,76.8,12.8
0.035125,348.8,21.1,2501.1,54.3,3086.4,72.7,350.1,2510,3091.7,162.2,76.8,13.5
0.037125,349.2,23.3,2506.1,55.1,3088.3,73.2,351.2,2512.7,3093.4,161.7,76.8,13.7
0.039125,349.6,25.5,2515.0,58.6,3091.5,76.1,352.3,2516,3095.5,161.2,76.7,13.7
0.041125,350.4,27.9,2527.4,61.7,3098.0,78.3,353.3,2519.9,3097.8,160.7,76.5,13.4
0.043125,351.9,29.8,2538.1,61.5,3106.4,79.6,354.2,2524.3,3100.5,160.2,76.3,13.2
0.045125,353.8,31.4,2543.8,59.2,3114.0,82.2,355,2529.4,3103.5,159.6,76.1,13.2
0.047125,355.9,33.0,2544.2,57.5,3118.1,86.8,355.7,2534.9,3106.7,159.1,75.8,13.4
0.049125,358.1,34.2,2542.6,58.2,3119.8,94.3,356.4,2541,3110.3,158.6,75.5,13.7
0.051125,360.7,35.2,2542.0,62.8,3120.6,107.1,357.2,2547.4,3114.1,158,75.2,14
0.053125,363.5,36.4,2544.8,70.0,3120.9,122.8,358.1,2554.2,3118.2,157.5,75,14.4
0.055125,365.8,37.3,2551.4,78.4,3121.6,138.2,359.2,2561,3122.5,157,74.8,14.6
0.057125,366.6,38.5,2560.7,87.6,3123.1,151.4,360.7,2567.9,3127,156.4,74.6,14.8
0.059125,366.2,40.5,2572.1,98.3,3125.3,162.0,362.6,2574.6,3131.6,155.9,74.4,15
0.061125,365.5,42.3,2584.5,107.9,3129.4,167.4,365,2581,3136.3,155.4,74.3,15.1
0.063125,364.8,43.0,2592.8,110.4,3136.6,164.6,368.1,2586.9,3141,154.9,74.2,15.2
0.065125,365.0,43.2,2596.4,106.1,3145.8,154.9,371.7,2592.2,3145.8,154.4,74,15.1
0.067125,367.7,42.9,2597.5,99.7,3152.8,146.0,376,2596.7,3150.6,153.9,73.9,15
0.069125,373.1,41.7,2598.5,94.9,3155.8,146.2,380.8,2600.3,3155.3,153.4,73.8,14.7
0.071125,380.5,40.9,2600.6,91.9,3156.0,158.3,386.2,2602.9,3160,152.9,73.6,14.4
0.073125,388.0,40.5,2602.6,90.3,3154.9,175.7,391.8,2604.6,3164.5,152.4,73.4,13.9
0.075125,395.4,39.8,2602.0,90.6,3154.8,189.6,397.7,2605.3,3169,152,73.1,13.3
0.077125,402.8,39.5,2598.1,95.2,3158.9,196.0,403.5,2604.9,3173.3,151.5,72.7,12.4
