time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025263,409.8,65.3,2581.8,106.6,3018.8,119.1,424.1,2626.7,3015.7,213,66,15.1
0.027263,415.2,58.5,2613.2,100.9,3031.8,89.9,424,2632,3022.8,212.6,66.8,15.8
0.029263,420.4,54.6,2642.1,107.4,3042.1,80.5,423.7,2640.7,3034.5,212.2,67.5,16.7
0.031263,424.8,52.9,2663.2,120.3,3050.8,84.2,423.4,2652.3,3050.4,211.7,68.1,17.5
0.033263,427.6,51.5,2676.8,133.4,3058.9,96.9,422.9,2666.3,3070.1,211.2,68.6,18
0.035263,428.4,49.2,2692.9,141.5,3071.1,120.4,422.4,2682.2,3093.1,210.6,69.1,18.2
0.037263,427.9,46.3,2715.3,138.7,3094.5,154.5,421.9,2699.3,3118.9,210,69.5,17.9
0.039263,427.1,43.9,2736.9,122.6,3134.9,186.7,421.2,2716.9,3146.8,209.4,69.9,17.4
0.041263,426.4,43.0,2749.5,103.3,3181.7,196.9,420.5,2734.3,3176.2,208.7,70.2,16.9
0.043263,425.4,42.7,2755.8,91.4,3221.1,191.7,419.7,2751,3206.5,208,70.4,16.5
0.045263,423.3,41.3,2763.9,88.4,3256.0,185.6,418.9,2766.4,3237.1,207.2,70.7,16.6
0.047263,420.4,38.1,2777.5,92.3,3290.1,182.8,418,2779.9,3267.2,206.3,70.9,17.1
0.049263,417.6,34.6,2794.8,99.3,3322.6,179.8,417,2791.4,3296.6,205.5,71.1,17.8
0.051263,415.4,31.9,2807.6,105.7,3345.2,176.5,416,2800.6,3324.6,204.5,71.4,18.4
0.053263,413.7,30.2,2810.2,108.5,3355.9,175.0,414.8,2807.4,3351,203.6,71.6,18.8
0.055263,411.6,29.3,2807.1,106.2,3363.5,175.3,413.7,2812,3375.4,202.6,71.8,18.7
0.057263,409.1,29.2,2805.0,101.5,3375.8,181.2,412.5,2814.5,3397.8,201.5,71.9,18.3
