time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025172,368.6,53.2,2518.4,96.7,2906.9,178.8,364.5,2519.3,2874.7,154,57.8,9.6
0.027172,368.3,56.7,2522.1,89.2,2907.6,161.6,364.9,2523,2880.8,154.1,58.9,10.1
0.029172,368.1,58.7,2516.8,83.9,2903.2,151.3,365.7,2528.8,2890.9,154.2,59.8,10.7
0.031172,368.2,58.2,2515.5,80.4,2899.5,139.3,366.8,2536.9,2904.7,154.3,60.7,11.4
0.033172,368.4,56.4,2525.2,82.5,2904.2,130.1,368.1,2546.8,2922,154.4,61.5,12.1
0.035172,369.3,55.4,2546.3,90.3,2918.7,127.5,369.6,2558.3,2942.4,154.5,62.2,13.1
0.037172,370.5,55.4,2573.0,97.7,2940.6,130.9,371.4,2571.1,2965.5,154.6,62.8,14.2
0.039172,371.4,55.2,2600.7,99.8,2972.2,138.0,373.3,2584.9,2991,154.6,63.3,15.5
0.041172,372.6,55.6,2624.7,95.1,3012.1,141.9,375.3,2599.4,3018.3,154.7,63.8,16.8
0.043172,374.5,56.3,2642.6,86.9,3049.8,137.2,377.5,2614.1,3046.9,154.8,64.3,17.9
0.045172,377.0,56.6,2655.1,80.4,3081.8,129.8,379.7,2628.6,3076.4,154.9,64.7,18.6
0.047172,379.3,57.0,2662.3,78.6,3108.4,126.8,382,2642.8,3106.3,154.9,65,19
0.049172,381.8,57.9,2666.2,80.0,3134.0,129.0,384.3,2656.3,3136.2,155,65.3,19.2
0.051172,384.1,59.2,2668.3,81.7,3158.4,136.6,386.7,2668.9,3165.6,155.1,65.6,19.4
0.053172,386.4,61.5,2671.2,82.7,3184.9,150.7,389.1,2680.2,3194,155.2,65.8,19.5
0.055172,389.8,66.0,2676.9,82.3,3219.6,170.6,391.6,2690.4,3221.3,155.3,65.9,19.7
0.057172,393.8,71.1,2684.9,79.9,3254.9,187.7,394.1,2699.1,3247.2,155.4,66,19.9
0.059172,397.2,75.5,2694.9,77.4,3284.6,204.2,396.7,2706.4,3271.3,155.5,66.1,20
0.061172,400.2,78.9,2704.8,76.5,3309.1,224.6,399.3,2712.4,3293.5,155.7,66.1,20.1
0.063172,403.3,81.5,2711.7,75.9,3331.3,241.1,402.1,2717,3313.8,155.9,66.1,20.2
0.065172,407.0,84.9,2715.3,75.2,3348.4,246.1,405,2720.5,3332.1,156.1,66.1,20.3
0.067172,411.3,90.2,2717.8,75.9,3355.9,242.8,408.1,2722.9,3348.3,156.3,66.1,20.4
0.069172,416.4,95.7,2721.0,77.2,3358.3,237.8,411.3,2724.4,3362.5,156.6,66.1,20.5
0.071172,420.1,98.2,2723.4,76.7,3362.9,228.3,414.6,2725.3,3374.9,156.9,66.1,20.5
0.073172,422.6,98.4,2723.9,75.5,3373.0,217.9,418.2,2725.8,3385.4,157.3,66.1,20.4
