time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025571,413.7,173.9,2666.7,165.3,3221.0,201.0,389.8,2644.8,3268,167.3,61.9,12
0.027571,412.3,145.6,2665.9,109.9,3234.5,145.5,391,2644.9,3266,167.8,63.4,14.3
0.029571,408.5,129.6,2659.6,87.1,3242.2,122.7,393,2645.2,3262.9,168.4,64.5,10.5
0.031571,403.4,118.3,2650.1,74.9,3247.3,113.5,395.8,2645.6,3258.7,169,65.3,5.4
0.033571,398.1,109.7,2639.7,69.9,3249.2,117.2,399.1,2646.2,3253.7,169.6,65.8,3.7
0.035571,392.7,101.2,2630.6,73.2,3247.8,143.6,402.9,2647.1,3248.1,170.3,66,5.7
0.037571,388.3,93.2,2627.1,86.9,3244.9,207.9,407,2648.3,3242.2,171.1,66.1,8.4
0.039571,386.9,87.4,2631.0,105.4,3248.1,297.8,411.3,2650,3236.3,171.9,66,11.2
0.041571,390.1,84.8,2636.5,119.0,3263.2,366.4,415.5,2652.2,3230.8,172.8,65.9,13.5
0.043571,397.8,85.6,2636.5,129.4,3282.0,393.1,419.6,2655,3225.9,173.7,65.7,14.9
0.045571,408.2,88.3,2631.2,153.2,3295.7,416.2,423.4,2658.3,3221.8,174.6,65.5,15.1
0.047571,419.4,91.5,2627.0,211.4,3295.5,454.7,426.6,2662.2,3219,175.6,65.3,14.4
0.049571,428.6,94.2,2643.7,295.2,3263.7,497.2,429.2,2666.8,3217.4,176.6,65.2,13.2
0.051571,437.3,96.0,2692.1,340.3,3205.6,530.2,431.1,2671.9,3217.4,177.7,65.2,12.1
0.053571,444.5,97.1,2727.6,327.6,3165.8,517.0,432.2,2677.5,3218.9,178.7,65.2,11.5
0.055571,448.8,101.6,2737.8,319.3,3153.7,470.0,432.5,2683.5,3222,179.8,65.4,11.4
0.057571,449.1,113.0,2732.1,315.7,3169.4,430.2,431.8,2689.9,3226.6,180.9,65.6,11.5
0.059571,445.9,128.9,2721.5,287.2,3204.2,400.5,430.3,2696.4,3232.6,182,65.9,11.8
0.061571,440.2,146.1,2712.9,238.1,3233.6,352.3,427.9,2703,3239.9,183,66.1,12.1
0.063571,432.8,159.9,2711.5,194.8,3249.3,294.1,424.7,2709.5,3248.2,184.1,66.5,12.4
0.065571,422.6,168.1,2715.1,166.3,3261.3,243.9,420.9,2715.7,3257.2,185.1,66.8,12.5
0.067571,413.5,171.4,2717.1,151.6,3270.7,208.5,416.5,2721.5,3266.7,186.1,67.2,12.6
0.069571,406.8,173.6,2715.2,142.6,3279.7,186.9,411.6,2726.7,3276.3,187,67.5,12.7
0.071571,400.2,173.9,2711.3,132.4,3291.0,173.9,406.4,2731.4,3285.8,187.9,67.9,13
0.073571,393.1,169.2,2708.5,119.2,3303.2,166.1,401.1,2735.2,3294.9,188.8,68.2,13.7
0.075571,386.5,160.3,2709.4,105.8,3313.5,162.6,395.7,2738.3,3303.2,189.6,68.5,14.9
0.077571,380.7,150.9,2714.2,94.6,3321.2,165.0,390.5,2740.5,3310.6,190.3,68.7,16.6
0.079571,377.2,146.3,2721.1,88.8,3324.5,174.7,385.5,2741.9,3316.9,191,68.9,18.4
0.081571,375.9,148.4,2729.3,88.4,3322.6,194.0,380.9,2742.6,3321.9,191.6,69,20
0.083571,376.1,156.6,2738.3,93.2,3315.6,223.9,376.7,2742.6,3325.6,192.1,69.1,21
0.085571,376.7,167.8,2746.7,100.7,3307.7,260.4,373.1,2742,3327.9,192.5,69.1,21.2
0.087571,377.2,179.3,2753.7,107.4,3304.0,295.8,370.1,2741.2,3329,192.9,69.1,20.9
0.089571,376.5,186.1,2758.0,107.8,3309.5,312.4,367.6,2740.1,3328.9,193.2,69.1,20.4
0.091571,373.4,186.5,2759.4,100.9,3324.0,302.6,365.8,2739.1,3327.7,193.5,69.1,19.8
0.093571,368.8,181.7,2758.2,92.4,3339.9,273.9,364.6,2738.3,3325.8,193.7,69,19.4
0.095571,365.0,175.9,2754.8,89.1,3349.9,244.1,364,2738,3323.3,193.8,69,19.3
0.097571,363.1,172.3,2749.0,94.2,3352.2,219.9,363.9,2738.3,3320.5,193.9,68.9,19.3
0.099571,363.2,173.2,2741.2,108.0,3346.9,203.7,364.2,2739.4,3317.6,193.9,68.8,19.4
0.101571,364.1,180.1,2732.3,131.3,3335.0,192.9,364.9,2741.4,3314.9,193.8,68.7,19.3
0.103571,364.3,189.7,2727.2,162.3,3321.0,188.4,365.8,2744.5,3312.6,193.7,68.5,19.1
0.105571,363.0,195.1,2731.6,190.8,3310.7,190.2,367,2748.7,3310.9,193.6,68.4,18.6
0.107571,361.2,193.6,2746.4,205.2,3305.1,197.8,368.3,2753.9,3310,193.4,68.3,17.8
0.109571,361.4,189.6,2763.7,201.4,3300.8,209.4,369.6,2760.2,3310,193.2,68.1,17
0.111571,364.6,188.5,2779.3,187.1,3293.9,225.7,370.8,2767.3,3310.8,192.9,68,16.4
0.113571,370.4,191.2,2791.5,167.7,3286.1,242.5,372.1,2775.1,3312.4,192.7,67.8,16.1
0.115571,376.6,194.3,2801.3,145.5,3284.8,251.5,373.2,2783.3,3314.8,192.4,67.6,16.3
0.117571,381.7,194.7,2810.4,122.1,3296.2,248.8,374.2,2791.8,3317.8,192,67.4,16.9
0.119571,384.0,190.0,2817.3,103.7,3315.2,236.7,375,2800.1,3321.1,191.7,67.1,17.7
0.121571,383.2,178.6,2819.8,90.7,3332.5,221.7,375.7,2807.9,3324.5,191.3,66.9,18.4
0.123571,380.3,164.3,2816.0,83.0,3341.7,208.6,376.4,2814.8,3327.7,191,66.7,18.6
0.125571,377.8,154.8,2808.2,79.1,3344.2,196.6,377,2820.6,3330.4,190.6,66.6,18.5
0.127571,376.6,152.5,2799.5,77.1,3343.3,184.4,377.5,2824.8,3332.2,190.2,66.4,18
0.129571,376.6,155.0,2794.6,75.3,3340.2,177.2,378.2,2827.1,3332.8,189.9,66.3,17.4
0.131571,377.1,157.1,2794.8,72.5,3334.9,179.0,378.9,2827.3,3332,189.5,66.2,16.8
0.133571,377.7,154.5,2797.6,69.2,3327.6,188.7,379.8,2825.2,3329.4,189.1,66.1,16.3
0.135571,378.2,146.2,2798.7,66.1,3317.7,198.0,380.9,2820.6,3324.9,188.8,66,16
0.137571,379.1,134.0,2796.1,63.4,3304.6,195.5,382.2,2813.4,3318.3,188.4,65.9,15.7
0.139571,381.0,123.1,2790.7,60.2,3293.5,178.7,383.8,2803.7,3309.5,188.1,65.9,15.5
0.141571,384.4,115.5,2784.0,56.3,3286.7,159.1,385.7,2791.6,3298.7,187.7,65.8,15.3
0.143571,388.2,110.5,2776.8,53.5,3283.3,148.5,387.9,2777.2,3285.8,187.4,65.8,15.2
0.145571,391.5,105.6,2769.4,53.4,3280.5,147.1,390.4,2760.7,3271.1,187,65.8,15.2
0.147571,394.3,99.8,2761.4,57.1,3274.9,150.2,393.1,2742.6,3254.9,186.7,65.8,15.2
0.149571,396.8,96.1,2753.2,65.0,3262.9,153.8,396,2723.3,3237.4,186.4,65.8,15.4
0.151571,399.7,96.7,2743.5,77.7,3241.7,156.2,399,2703.1,3219.2,186.1,65.9,15.5
0.153571,403.0,101.9,2731.6,92.1,3215.0,155.3,402.2,2682.7,3200.5,185.9,65.9,15.7
0.155571,406.3,109.2,2715.9,103.4,3188.7,151.2,405.3,2662.5,3182.1,185.6,66,16.1
0.157571,408.7,116.2,2692.4,111.7,3162.5,145.5,408.3,2643.1,3164.2,185.3,66,16.7
0.159571,409.5,121.1,2662.1,118.0,3138.6,141.6,411.1,2625,3147.5,185.1,66,17.2
0.161571,409.1,125.0,2626.9,123.5,3116.4,141.5,413.7,2608.7,3132.4,184.8,65.9,17.5
0.163571,409.0,127.8,2594.4,127.7,3099.9,144.7,415.9,2594.7,3119.4,184.6,65.8,17.3
0.165571,410.8,129.3,2566.9,130.1,3093.0,148.5,417.8,2583.4,3108.9,184.4,65.7,16.5
0.167571,415.8,130.4,2539.2,131.4,3094.9,150.8,419.1,2575.1,3101.1,184.2,65.4,15.1
0.169571,424.4,132.6,2512.3,134.2,3100.1,153.6,419.9,2569.9,3096.3,184,65,13.6
0.171571,436.9,135.7,2485.7,146.2,3104.9,167.3,420.2,2568.2,3094.7,183.9,64.6,12
