time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025714,264.4,89.2,2445.1,203.9,3521.8,189.0,295.3,2448,3546.7,171.3,66.7,6.8
0.027714,282.8,83.2,2456.3,166.9,3517.4,228.8,296.5,2448.1,3549.7,171,67.3,7.2
0.029714,298.4,67.3,2460.1,141.0,3520.6,288.4,298.4,2448.4,3554.8,170.7,67.9,7.9
0.031714,309.2,51.6,2457.5,122.1,3539.6,354.7,301,2448.9,3561.6,170.4,68.5,8.9
0.033714,316.0,40.7,2451.1,107.6,3574.0,398.3,304,2449.5,3570.1,170.1,69.1,10.1
0.035714,320.0,34.2,2444.7,96.7,3603.4,402.7,307.4,2450.4,3580.1,169.8,69.6,11.5
0.037714,322.7,30.6,2441.5,89.6,3617.3,394.3,311.1,2451.5,3591.1,169.4,70.1,13.2
0.039714,324.5,28.4,2442.0,84.8,3625.2,399.9,314.8,2452.9,3603,169.1,70.5,15.2
0.041714,325.5,26.8,2445.6,81.2,3635.4,422.7,318.5,2454.7,3615.3,168.7,70.8,17.4
0.043714,326.1,25.6,2450.7,79.0,3648.3,446.5,321.9,2456.8,3627.5,168.3,71.1,19.6
0.045714,326.4,24.5,2456.2,78.1,3660.9,460.9,324.9,2459.2,3639.3,167.9,71.3,21.6
0.047714,326.5,23.4,2461.3,77.3,3672.0,476.5,327.5,2461.9,3650.1,167.4,71.5,23.8
0.049714,326.4,22.4,2466.2,76.1,3682.4,503.9,329.5,2464.9,3659.4,167,71.7,26.2
0.051714,326.4,21.6,2471.0,74.6,3690.4,542.2,330.8,2468.1,3666.7,166.5,71.8,28.4
0.053714,326.3,21.1,2475.9,72.8,3692.2,588.9,331.6,2471.5,3671.7,166,71.9,30
0.055714,326.2,20.9,2480.0,71.4,3684.3,657.1,331.7,2474.9,3673.8,165.5,72,30.6
0.057714,326.3,20.7,2482.7,71.0,3660.0,752.3,331.2,2478.2,3672.9,164.9,72.1,29.9
0.059714,326.0,20.1,2484.5,71.5,3624.7,797.6,330.2,2481.5,3668.6,164.4,72.3,28.1
0.061714,325.5,19.0,2486.5,73.5,3606.2,750.5,328.8,2484.6,3661,163.8,72.4,25.8
0.063714,324.7,17.8,2488.6,77.7,3597.1,692.8,327,2487.5,3649.9,163.1,72.5,23.5
0.065714,323.7,16.6,2491.6,82.4,3595.6,675.0,324.9,2490.1,3635.6,162.5,72.6,21.8
0.067714,322.5,15.4,2495.5,85.9,3602.2,703.8,322.7,2492.4,3618.4,161.8,72.8,20.7
0.069714,321.5,14.5,2498.7,87.0,3606.2,760.8,320.4,2494.4,3598.7,161.1,72.9,20
0.071714,320.3,13.9,2499.6,85.4,3595.8,791.0,318.2,2496.2,3577.1,160.4,73,19.4
0.073714,318.9,13.5,2498.4,83.0,3573.6,751.9,316,2497.9,3554.2,159.7,73.1,19
0.075714,317.6,13.3,2496.1,83.2,3545.7,687.0,314,2499.4,3530.8,158.9,73.2,18.6
0.077714,316.0,13.3,2493.6,86.4,3514.3,642.8,312.1,2501,3507.6,158.1,73.2,18.3
0.079714,314.1,13.0,2492.5,92.0,3480.0,622.5,310.4,2502.7,3485.3,157.3,73.2,18.1
0.081714,312.0,12.6,2494.0,100.1,3450.6,611.5,308.9,2504.6,3464.7,156.5,73.2,18
0.083714,309.7,12.3,2499.2,108.5,3442.7,601.9,307.4,2506.9,3446.2,155.6,73.1,18
0.085714,307.1,12.0,2506.4,112.4,3453.0,584.2,306,2509.6,3430.5,154.8,73.1,17.9
0.087714,304.6,11.7,2512.8,110.7,3457.1,549.7,304.6,2512.8,3417.8,153.9,73,17.9
0.089714,302.1,11.6,2518.4,106.2,3444.5,503.5,303.2,2516.6,3408.2,153,72.8,17.9
0.091714,299.5,11.5,2526.2,102.7,3427.7,456.8,301.7,2521,3401.6,152.2,72.7,17.9
0.093714,297.1,11.1,2535.6,104.3,3413.6,421.0,300.1,2525.8,3397.8,151.3,72.6,17.9
0.095714,295.0,10.8,2541.9,109.2,3402.6,400.7,298.2,2531.1,3396.1,150.4,72.5,18
0.097714,293.1,10.7,2543.8,111.1,3396.7,395.1,296.2,2536.6,3395.9,149.6,72.4,18.2
0.099714,291.5,10.5,2545.2,109.9,3394.6,411.5,294.1,2542.3,3396.3,148.7,72.3,18.5
0.101714,290.0,10.2,2549.6,111.6,3390.0,456.5,291.7,2547.9,3396.2,147.8,72.3,18.9
0.103714,288.4,10.1,2556.3,116.8,3378.0,517.6,289.3,2553.1,3394.7,147,72.3,19.1
0.105714,286.7,10.1,2561.8,121.6,3361.4,574.6,286.8,2557.9,3390.5,146.2,72.3,19.2
0.107714,284.9,9.9,2563.4,124.7,3341.5,628.0,284.2,2561.8,3382.5,145.4,72.2,18.9
0.109714,283.0,9.9,2560.2,123.3,3315.8,669.7,281.8,2564.7,3369.9,144.6,72.2,18.3
0.111714,281.0,10.1,2555.9,114.6,3296.4,687.1,279.5,2566.5,3351.8,143.8,72.2,17.7
0.113714,279.3,10.2,2554.4,105.3,3288.3,698.8,277.4,2566.9,3327.6,143.1,72.1,17.3
0.115714,277.5,10.2,2555.3,103.1,3278.5,708.6,275.6,2565.8,3296.9,142.4,72.1,17.2
0.117714,275.7,10.6,2555.9,106.5,3262.4,692.0,274.2,2563.2,3259.8,141.7,72,17.5
0.119714,274.6,11.2,2554.8,111.2,3245.7,655.3,273.2,2559.2,3216.5,141.1,71.9,18.3
0.121714,273.8,11.9,2551.9,118.2,3219.0,633.6,272.5,2553.7,3167.5,140.5,71.9,19.1
0.123714,272.7,13.0,2547.4,125.5,3173.3,632.5,272.3,2547,3113.9,139.9,71.8,20
0.125714,271.8,14.5,2542.8,124.8,3115.5,630.0,272.5,2539.2,3056.8,139.3,71.8,20.6
0.127714,271.8,16.0,2538.7,118.4,3045.4,610.0,273,2530.7,2997.6,138.8,71.8,21
0.129714,272.6,18.0,2532.5,116.1,2956.6,546.5,273.8,2521.7,2938,138.3,71.8,21.2
0.131714,273.8,21.1,2522.1,117.9,2878.9,443.4,274.7,2512.7,2879.8,137.9,71.8,21.3
0.133714,275.4,24.1,2512.2,116.8,2833.3,369.0,275.9,2503.9,2824.7,137.5,71.8,21.4
0.135714,277.0,26.4,2506.5,118.6,2796.3,345.0,277,2495.7,2774.4,137.1,71.8,21.5
0.137714,277.8,29.2,2503.1,133.0,2744.0,338.9,278.1,2488.5,2730.8,136.7,71.9,21.6
0.139714,278.0,32.9,2499.3,160.3,2686.8,307.8,279,2482.5,2695.1,136.4,71.8,21.6
0.141714,278.9,36.4,2492.8,201.2,2642.8,258.9,279.7,2478.1,2668.7,136.1,71.8,21.6
0.143714,280.5,39.5,2474.0,297.4,2603.9,192.3,280.2,2475.3,2652.5,135.8,71.8,21.5
0.145714,281.9,42.8,2405.4,439.6,2585.9,129.0,280.3,2474.4,2647.1,135.6,71.8,21.5
