time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025653,375.5,190.0,2547.0,197.3,3248.6,296.0,367.5,2564.5,3236.3,171.3,64.3,4.7
0.027653,369.1,127.8,2557.1,166.3,3234.2,285.3,367.9,2567.6,3238.3,171.2,65.2,6
0.029653,368.6,104.2,2571.9,137.7,3240.0,251.5,368.6,2572.5,3241.4,171.1,65.9,7
0.031653,369.8,100.9,2584.7,116.5,3249.4,216.8,369.4,2579.2,3245.6,171,66.4,7.9
0.033653,370.4,104.0,2595.8,101.8,3255.6,191.1,370.4,2587.3,3250.5,170.9,66.9,8.7
0.035653,370.5,105.3,2605.4,93.3,3258.3,176.6,371.6,2596.4,3255.8,170.8,67.2,9.5
0.037653,370.6,101.0,2614.3,88.0,3259.1,169.0,372.8,2606.1,3261.3,170.6,67.4,10.1
0.039653,371.1,92.3,2623.3,83.4,3259.3,165.9,374.1,2616.1,3266.6,170.4,67.5,10.6
0.041653,371.7,84.4,2631.5,78.3,3261.3,165.5,375.3,2626,3271.3,170.3,67.6,10.9
0.043653,372.5,79.8,2638.4,72.1,3266.8,165.1,376.5,2635.4,3275.3,170.1,67.7,11.1
0.045653,373.4,78.8,2643.1,66.4,3273.2,164.5,377.6,2644.1,3278.2,169.8,67.6,11.4
0.047653,374.8,79.5,2647.1,62.5,3277.8,166.5,378.6,2651.8,3279.9,169.6,67.6,11.8
0.049653,377.3,80.2,2652.1,60.4,3279.6,174.0,379.5,2658.3,3280.3,169.3,67.5,12.3
0.051653,380.6,80.3,2658.0,59.1,3279.6,185.9,380.3,2663.6,3279.5,169,67.4,12.9
0.053653,384.1,80.2,2664.1,57.0,3279.4,199.0,381.1,2667.8,3277.3,168.7,67.3,13.6
0.055653,386.8,80.4,2668.7,54.0,3279.0,210.2,381.9,2670.8,3274.1,168.4,67.1,14.3
0.057653,388.4,80.5,2671.8,51.5,3276.7,220.5,382.6,2672.8,3269.9,168,67.1,14.9
0.059653,388.8,78.7,2674.3,51.1,3271.3,230.8,383.3,2674.1,3265.1,167.6,67,15.6
0.061653,388.3,74.1,2676.3,54.5,3264.5,239.3,384,2674.8,3259.8,167.2,67,16.4
0.063653,387.9,68.2,2677.5,62.3,3257.8,244.0,384.7,2675.3,3254.3,166.8,67.1,17.2
0.065653,387.5,63.9,2676.9,71.0,3252.0,242.8,385.3,2675.6,3249,166.3,67.2,17.6
0.067653,386.3,61.7,2674.7,76.2,3246.4,238.4,386,2676.1,3244,165.9,67.3,17.7
0.069653,384.3,61.2,2673.1,77.3,3240.5,238.5,386.5,2676.8,3239.6,165.4,67.4,17.2
0.071653,382.1,61.1,2674.5,79.2,3234.5,248.9,386.9,2678.1,3235.9,164.8,67.4,16.2
0.073653,380.8,60.5,2678.7,84.4,3229.9,265.7,387.2,2679.8,3233,164.3,67.4,15
0.075653,381.0,60.0,2683.6,89.8,3228.1,274.3,387.2,2682.1,3230.9,163.8,67.3,13.9
0.077653,382.3,60.3,2688.6,92.2,3226.6,272.6,386.9,2684.8,3229.6,163.2,67.1,13.2
0.079653,383.5,62.4,2694.7,91.8,3222.7,271.1,386.3,2688,3228.8,162.6,66.8,13
0.081653,384.1,66.8,2701.6,90.0,3217.7,275.1,385.3,2691.4,3228.5,162.1,66.6,13.2
0.083653,383.9,71.6,2705.1,85.1,3216.6,281.5,383.9,2695,3228.3,161.5,66.2,13.6
0.085653,382.8,73.8,2702.3,77.3,3221.7,286.2,382.2,2698.4,3228,160.9,65.9,13.8
0.087653,381.3,74.2,2696.6,69.9,3229.4,287.9,380.2,2701.5,3227.3,160.3,65.7,13.8
0.089653,380.9,75.2,2693.1,67.2,3232.2,285.2,377.9,2704.1,3225.9,159.7,65.4,13.4
0.091653,381.6,77.9,2692.8,70.9,3228.1,278.9,375.3,2706.1,3223.4,159.1,65.3,12.6
0.093653,382.2,80.8,2696.3,81.5,3220.4,271.2,372.7,2707.2,3219.8,158.5,65.2,11.8
0.095653,379.6,81.6,2702.9,92.6,3216.3,266.3,370,2707.4,3214.7,157.9,65.2,11.2
