time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025032,475.6,392.4,2580.7,422.0,3174.6,353.5,440.7,2560.6,3189.9,242.1,69.2,7.9
0.027032,436.5,236.0,2555.8,247.7,3184.7,219.7,441.5,2563.3,3193.6,242.3,70.1,7.3
0.029032,428.2,153.6,2555.9,172.9,3195.6,169.0,442.9,2567.5,3198.9,242.4,70.8,8.2
0.031032,432.4,113.7,2564.5,141.6,3208.7,155.9,444.5,2573.2,3204.8,242.6,71.3,9.7
0.033032,439.5,92.9,2577.5,124.5,3220.8,155.7,446.4,2580.1,3209.8,242.8,71.7,11.3
0.035032,444.8,81.8,2590.4,115.6,3226.4,160.1,448.4,2587.8,3212.6,243,72.1,12.7
0.037032,448.3,76.9,2600.9,112.5,3223.8,165.9,450.2,2596.1,3212,243.1,72.3,13.3
0.039032,451.1,76.6,2609.1,113.5,3213.1,171.4,451.7,2604.8,3207,243.2,72.5,13.3
0.041032,453.7,78.4,2616.8,116.3,3195.9,175.5,452.9,2613.7,3197,243.4,72.6,13
0.043032,455.8,79.9,2624.6,118.4,3176.1,178.0,453.6,2622.6,3182.1,243.5,72.8,12.8
0.045032,456.9,80.0,2632.2,119.9,3155.8,182.1,453.9,2631.4,3162.9,243.5,72.9,13
0.047032,457.1,78.9,2638.5,121.6,3135.9,191.9,453.8,2640,3140.2,243.6,73,14.1
0.049032,456.5,76.5,2644.2,124.8,3116.4,211.2,453.4,2648.5,3115.5,243.6,73.1,16
0.051032,455.1,71.9,2651.3,132.0,3096.4,245.4,452.7,2656.8,3090.4,243.6,73.2,18.5
0.053032,453.1,65.8,2660.2,143.7,3074.0,292.2,451.9,2664.8,3066.5,243.6,73.3,20.9
0.055032,451.0,59.3,2670.5,158.8,3044.3,341.9,451.1,2672.4,3045.2,243.5,73.5,22.8
0.057032,449.4,54.0,2681.2,172.3,3011.3,379.2,450.5,2679.5,3027.6,243.4,73.6,23.9
0.059032,448.6,50.7,2691.1,175.4,2989.4,400.8,450,2685.9,3014.4,243.2,73.6,24.2
0.061032,448.3,48.9,2698.0,164.1,2988.1,413.4,449.6,2691.2,3005.8,243.1,73.7,24
0.063032,448.2,47.9,2700.6,146.6,3001.2,417.9,449.4,2695.2,3001.3,242.8,73.7,23.7
0.065032,447.9,47.0,2700.3,130.9,3016.8,416.5,449.2,2697.6,3000.2,242.6,73.8,23.3
0.067032,447.6,46.0,2698.2,119.2,3027.2,411.7,448.9,2698,3001.2,242.3,73.8,23.2
0.069032,447.0,45.0,2694.0,110.3,3029.4,403.5,448.4,2696.4,3002.9,242,73.8,23.2
0.071032,446.2,44.1,2687.6,101.8,3023.3,390.8,447.5,2692.5,3003.8,241.7,73.8,23.1
0.073032,444.8,43.7,2679.6,93.1,3009.8,373.4,445.9,2686.5,3002.6,241.3,73.8,23
0.075032,442.9,43.5,2671.8,85.9,2992.4,353.0,443.6,2678.3,2998.2,240.9,73.8,22.5
0.077032,440.4,43.5,2664.2,80.9,2973.4,328.4,440.3,2668.4,2989.9,240.4,73.8,21.7
0.079032,437.3,43.4,2656.2,78.2,2955.2,299.9,436.1,2657.1,2977.4,240,73.8,20.3
0.081032,433.5,43.5,2646.8,77.3,2938.6,268.6,430.8,2645,2960.8,239.5,73.8,18.7
0.083032,428.6,43.6,2636.8,78.5,2923.9,239.5,424.6,2632.4,2940.7,239,73.8,17.1
0.085032,422.4,44.0,2627.0,82.7,2908.9,213.8,417.5,2619.9,2917.9,238.5,73.7,15.7
0.087032,414.4,45.3,2617.6,90.8,2893.1,193.4,409.7,2608.1,2893.5,238,73.6,14.8
0.089032,404.7,47.7,2608.2,103.1,2874.9,178.1,401.3,2597.3,2868.5,237.5,73.5,14.4
0.091032,392.9,50.7,2596.0,118.4,2852.7,162.1,392.8,2587.8,2844.2,237,73.4,14.1
0.093032,380.0,53.2,2580.4,131.4,2832.1,143.2,384.3,2579.8,2821.4,236.4,73.3,14
0.095032,367.1,55.0,2564.5,139.0,2817.7,126.8,376.1,2573.4,2800.8,235.9,73.1,13.9
0.097032,356.4,55.3,2551.7,145.4,2808.4,119.0,368.6,2568.4,2783.1,235.4,72.9,13.8
0.099032,350.5,53.3,2541.8,161.6,2799.1,121.9,362,2564.8,2768.6,234.9,72.7,13.9
0.101032,350.4,50.4,2534.1,204.4,2783.7,137.8,356.6,2562.2,2757.3,234.5,72.4,14
0.103032,354.8,49.2,2534.2,309.8,2754.8,167.4,352.6,2560.6,2749.3,234,72,14.1
0.105032,360.4,51.5,2560.1,507.2,2716.0,194.3,350.1,2559.7,2744.5,233.5,71.6,13.9
0.107032,365.0,55.5,2634.2,649.9,2683.2,257.1,349.3,2559.5,2742.9,233.1,70.9,13.1
