time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025297,240.0,95.5,2444.8,159.2,3055.4,335.2,246.6,2422.5,3105.6,123.2,71.2,4
0.027297,242.4,98.1,2436.9,152.3,3103.7,373.9,248,2423.8,3114.5,125.7,70.7,5.1
0.029297,247.4,99.8,2430.3,147.1,3149.7,388.6,250.3,2425.7,3128.9,128.3,70.4,7
0.031297,255.0,101.8,2425.5,143.9,3181.8,378.2,253.4,2428.2,3147.8,131,70.1,9.1
0.033297,262.4,104.4,2422.6,141.7,3202.8,356.9,257,2431.1,3170.2,133.7,69.9,10.6
0.035297,266.6,107.0,2421.5,140.2,3214.8,340.7,261,2434.3,3194.8,136.6,69.7,11.3
0.037297,269.2,108.5,2421.4,139.7,3221.5,336.4,265.2,2437.4,3220.3,139.4,69.5,11.2
0.039297,271.6,108.8,2423.0,139.7,3225.4,347.5,269.3,2440.3,3245.4,142.2,69.3,10.7
0.041297,274.5,108.7,2428.3,138.2,3233.1,378.2,273.3,2442.8,3269,145,69.2,10
0.043297,277.5,109.2,2438.6,133.1,3252.9,430.9,276.9,2444.8,3290.1,147.8,69.1,9.6
0.045297,280.1,110.6,2450.3,123.8,3285.9,492.9,280,2446.3,3308,150.4,69,9.5
0.047297,282.2,111.8,2458.9,112.0,3324.8,550.2,282.5,2447.1,3322.4,153,69,9.8
0.049297,283.6,111.9,2461.5,101.6,3353.4,592.7,284.4,2447.5,3333.2,155.4,69,10.2
0.051297,284.5,111.0,2460.0,93.9,3369.2,615.8,285.7,2447.4,3340.6,157.6,69,10.6
0.053297,285.3,109.5,2456.6,87.3,3379.2,605.6,286.6,2447.1,3345.3,159.7,69,10.9
0.055297,286.1,107.4,2452.4,82.3,3382.1,562.6,287,2446.7,3348,161.6,69,11
0.057297,286.8,103.7,2447.4,79.1,3375.7,515.2,287.2,2446.4,3349.7,163.3,69,10.8
0.059297,287.0,98.5,2442.4,78.5,3364.5,492.8,287.3,2446.3,3351.3,164.8,69.1,10.6
0.061297,286.9,93.8,2439.0,80.2,3352.4,493.3,287.4,2446.8,3353.8,166.1,69.1,10.4
0.063297,286.6,90.0,2438.4,83.7,3339.3,504.7,287.7,2447.9,3358.1,167.2,69.2,10.2
0.065297,286.7,87.8,2441.6,87.8,3329.8,521.9,288.4,2449.6,3364.6,168,69.3,10.2
0.067297,287.5,85.9,2448.6,90.8,3327.8,549.6,289.5,2452.1,3373.9,168.7,69.4,10.2
0.069297,289.2,83.0,2457.5,89.8,3337.5,595.7,291.1,2455.1,3386.1,169.1,69.4,10.3
0.071297,292.0,78.8,2465.0,84.7,3360.1,662.2,293.2,2458.8,3400.8,169.3,69.5,10.4
0.073297,295.8,73.4,2469.7,77.7,3397.0,740.2,295.8,2462.7,3417.6,169.4,69.7,10.6
0.075297,300.3,67.3,2471.2,71.7,3436.8,787.9,298.8,2466.8,3435.8,169.3,69.9,10.7
0.077297,305.1,60.1,2471.4,66.9,3471.7,793.1,302.2,2470.7,3454.3,169.1,70.1,10.9
0.079297,309.3,52.8,2472.2,63.3,3499.7,783.1,305.7,2474.2,3472.3,168.7,70.3,11.1
0.081297,312.9,45.4,2474.5,60.7,3531.6,783.6,309.2,2477.1,3488.6,168.1,70.6,11.3
0.083297,315.7,38.8,2477.1,59.9,3562.6,786.3,312.5,2479.1,3502.2,167.5,70.9,11.5
0.085297,317.6,33.2,2478.4,60.5,3576.8,771.5,315.5,2480.2,3512.4,166.8,71.3,11.7
0.087297,318.6,27.9,2477.3,61.3,3565.1,729.7,318,2480.1,3518.6,166,71.6,11.9
0.089297,319.1,23.6,2474.1,62.1,3534.4,670.0,319.9,2478.8,3520.5,165.1,72,12
0.091297,319.1,19.9,2470.6,63.0,3499.9,609.0,321,2476.6,3518.2,164.2,72.4,12.2
0.093297,318.5,17.1,2469.4,64.0,3473.8,572.0,321.3,2473.4,3512.2,163.2,72.8,12.5
0.095297,317.6,15.1,2470.0,64.9,3454.9,559.8,320.9,2469.6,3503.1,162.2,73.1,13
0.097297,316.2,13.5,2470.3,65.2,3437.9,555.0,319.6,2465.4,3491.8,161.2,73.5,13.9
0.099297,314.4,12.1,2468.9,64.8,3426.6,544.5,317.7,2461.1,3479.6,160.2,73.7,14.9
0.101297,312.6,10.8,2465.6,65.4,3425.1,527.3,315.1,2457.1,3467.7,159.1,74,15.8
0.103297,310.7,9.8,2460.6,68.6,3433.9,504.4,312,2453.8,3457.4,158.1,74.1,16.3
0.105297,308.6,9.2,2456.1,73.1,3449.6,483.5,308.5,2451.3,3449.8,157.1,74.2,16.4
0.107297,306.2,8.9,2453.0,78.9,3467.6,466.3,304.8,2450,3446,156,74.2,15.9
0.109297,303.4,8.8,2451.1,86.3,3480.8,450.6,301,2449.9,3446.5,155,74.2,15
0.111297,300.2,8.8,2450.0,94.7,3488.2,436.1,297.3,2451.3,3451.8,154,74,14.2
0.113297,296.6,8.8,2450.5,105.3,3494.9,428.3,293.6,2453.9,3461.9,153.1,73.9,13.6
0.115297,292.9,8.6,2451.8,122.7,3502.4,435.4,290.3,2457.8,3476.3,152.1,73.6,13.5
0.117297,289.0,8.5,2452.8,151.1,3512.2,461.1,287.3,2462.7,3494.4,151.2,73.4,14
0.119297,285.7,8.5,2455.7,180.0,3526.3,497.1,284.6,2468.3,3515,150.4,73.2,14.7
0.121297,283.0,8.6,2464.1,199.4,3549.0,530.6,282.3,2474.2,3537,149.6,72.9,15.5
0.123297,280.9,8.8,2475.7,204.2,3574.0,537.0,280.4,2480.1,3558.9,148.8,72.7,16.2
0.125297,279.1,8.9,2485.3,199.3,3589.5,505.9,278.9,2485.6,3579.3,148,72.4,16.5
0.127297,277.8,8.8,2493.6,192.1,3594.4,444.5,277.8,2490.3,3596.8,147.3,72.2,16.6
0.129297,276.5,8.6,2500.5,187.8,3591.8,380.4,277,2493.9,3610.2,146.7,71.9,16.6
0.131297,274.5,8.5,2505.0,186.0,3586.8,332.6,276.6,2496.2,3618.7,146,71.6,16.6
0.133297,271.9,8.4,2506.2,185.8,3580.6,311.7,276.4,2497,3621.5,145.5,71.3,16.5
