time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025728,317.3,7.3,2600.1,387.6,3434.2,154.6,317.4,2597.1,3455.4,297.1,67.6,11.1
0.027728,314.9,7.1,2568.2,278.8,3444.6,278.4,315.8,2596.4,3455.7,296,69.1,12.2
0.029728,312.3,7.0,2574.5,246.2,3450.5,487.1,313.2,2595.9,3455.8,294.9,70.2,13.5
0.031728,309.7,7.2,2592.5,263.6,3456.3,777.0,309.9,2596.6,3454.6,293.7,71.1,14.8
0.033728,306.8,7.3,2620.9,309.4,3485.0,1199.2,306.3,2599.4,3451.4,292.5,71.7,15.8
0.035728,303.8,7.4,2645.4,365.8,3483.7,1589.7,302.5,2604.9,3445.1,291.1,72.1,16.4
0.037728,300.3,7.5,2649.1,421.3,3426.1,1552.5,298.7,2613.4,3435.1,289.7,72.3,16.6
0.039728,296.6,7.5,2633.4,404.9,3414.3,1239.2,295.3,2624.2,3420.9,288.3,72.4,16.5
0.041728,292.7,7.6,2624.6,329.8,3404.1,960.4,292.3,2636.2,3402.4,286.7,72.4,16.5
0.043728,288.8,7.7,2626.7,260.0,3376.8,758.1,289.7,2648,3380,285.2,72.4,16.8
0.045728,285.9,7.8,2633.2,216.0,3342.6,614.2,287.5,2657.7,3354,283.6,72.3,17.8
0.047728,283.9,8.1,2642.1,181.4,3305.2,491.4,285.6,2663.9,3325.2,281.9,72.3,19.6
0.049728,282.8,8.4,2652.0,150.8,3277.1,402.5,283.8,2665.5,3294.3,280.2,72.2,21.7
0.051728,281.8,8.7,2660.2,122.6,3256.3,338.4,282.1,2662.2,3261.8,278.5,72.2,23.7
0.053728,280.7,9.1,2662.4,97.5,3233.9,287.1,280.3,2654.5,3228.2,276.8,72.1,25.1
0.055728,279.3,9.4,2657.0,79.4,3206.5,252.7,278.3,2643.8,3193.6,275.1,72,25.4
0.057728,277.3,9.7,2645.4,67.1,3171.4,234.2,276.1,2631.5,3157.9,273.3,71.8,24.6
0.059728,274.9,9.8,2632.6,60.0,3136.7,229.5,273.8,2619.6,3120.9,271.6,71.6,23.1
0.061728,272.2,9.9,2621.0,55.5,3101.6,231.6,271.5,2609.4,3082.5,269.9,71.4,21.6
0.063728,269.2,10.0,2610.7,54.2,3055.1,239.9,269.2,2601.5,3042.4,268.2,71.2,20.4
0.065728,266.5,10.1,2602.0,58.9,2997.9,246.4,266.9,2595.5,3000.8,266.5,70.9,19.9
0.067728,264.2,10.2,2590.0,71.4,2931.9,232.1,264.8,2590,2957.9,264.9,70.7,19.9
0.069728,262.4,10.4,2571.1,88.0,2879.9,198.6,262.9,2582.5,2914.4,263.3,70.4,20.1
0.071728,260.7,10.6,2545.9,103.7,2846.3,171.4,261.1,2570.2,2871.1,261.7,70.3,20.6
0.073728,258.6,10.5,2518.8,117.3,2822.9,165.1,259.5,2550.1,2829.2,260.2,70.1,21.1
0.075728,256.8,10.5,2493.9,127.4,2802.8,174.1,258,2519.9,2789.7,258.8,70,21.7
0.077728,255.6,10.8,2465.7,132.3,2779.1,184.7,256.5,2478.3,2753.6,257.4,69.9,22.7
0.079728,255.2,11.5,2435.3,134.1,2751.7,189.5,255,2425.9,2721.9,256,69.9,23.9
0.081728,255.0,12.3,2400.8,143.6,2717.3,191.8,253.6,2364.8,2695,254.7,69.8,24.9
0.083728,254.4,12.7,2353.3,176.3,2672.9,190.6,252.2,2298.9,2673,253.5,69.7,25.4
0.085728,253.1,12.5,2281.5,227.4,2633.3,181.2,250.8,2233.5,2656,252.3,69.5,24.9
0.087728,251.1,12.1,2183.3,252.2,2613.3,182.9,249.7,2174.4,2643.5,251.2,69.1,23.6
0.089728,249.0,12.1,2107.9,230.3,2615.3,227.7,248.7,2127.2,2635,250.2,68.7,21.7
0.091728,246.7,13.2,2067.0,207.2,2630.6,351.4,248.1,2096.7,2630.2,249.2,68.1,19.5
0.093728,244.6,16.4,2047.1,210.4,2659.7,613.8,247.9,2086.2,2628.6,248.2,67.5,17.3
