time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025404,298.1,22.8,2409.5,124.5,2872.2,290.7,301.8,2415.6,2908.8,150.9,66.9,6.2
0.027404,298.3,20.3,2410.7,117.0,2901.9,274.5,301.3,2415.4,2914.1,150.7,67.6,5.1
0.029404,297.7,19.7,2412.1,107.0,2922.2,260.5,300.6,2415.1,2922.8,150.5,68.1,5.3
0.031404,297.4,18.9,2414.2,92.8,2940.3,260.0,299.7,2414.8,2934.7,150.2,68.5,6.2
0.033404,297.6,17.6,2416.0,79.8,2958.3,281.2,298.5,2414.6,2949.4,149.9,68.8,7.4
0.035404,297.9,15.9,2417.3,70.2,2979.5,331.4,297.3,2414.6,2966.7,149.5,68.8,8.6
0.037404,298.1,14.4,2418.5,66.3,3002.2,399.2,296.1,2414.9,2986.1,149.2,68.8,9.8
0.039404,297.9,13.3,2418.9,67.1,3023.3,457.9,294.8,2415.5,3007.3,148.8,68.8,10.8
0.041404,297.2,12.9,2418.4,70.0,3041.6,496.6,293.7,2416.6,3029.7,148.3,68.6,11.8
0.043404,296.3,12.6,2418.2,72.6,3054.7,517.7,292.7,2418.2,3053,147.9,68.5,12.8
0.045404,295.3,12.0,2419.8,76.8,3068.1,543.9,291.8,2420.4,3076.5,147.4,68.5,13.8
0.047404,294.3,11.4,2423.7,84.1,3086.8,578.2,291.2,2423.3,3100,146.9,68.4,14.7
0.049404,293.2,11.1,2429.6,90.9,3112.9,607.1,290.7,2426.7,3122.9,146.3,68.4,15.7
0.051404,292.1,10.8,2436.6,94.3,3149.6,638.1,290.3,2430.6,3144.9,145.7,68.3,16.6
0.053404,291.0,10.7,2442.4,94.8,3185.9,670.3,290.1,2435,3165.7,145.1,68.2,17.5
0.055404,289.7,11.0,2446.2,93.4,3206.4,684.6,289.9,2439.7,3184.9,144.4,68.2,18.3
0.057404,288.4,11.4,2447.8,91.1,3207.7,670.4,289.6,2444.5,3202.5,143.8,68.2,18.8
0.059404,287.2,11.5,2447.8,91.5,3205.2,642.4,289.3,2449.5,3218.1,143.1,68.2,19.1
0.061404,285.9,11.6,2446.6,95.5,3209.8,605.1,288.7,2454.3,3231.8,142.3,68.2,19.2
0.063404,284.5,11.5,2446.7,98.9,3223.7,571.1,287.8,2458.9,3243.5,141.6,68.2,19.2
0.065404,283.2,11.0,2450.5,99.8,3242.4,550.1,286.6,2463,3253.2,140.8,68.2,19
0.067404,281.7,10.4,2458.0,99.8,3257.2,544.3,285,2466.7,3260.9,140,68.2,18.6
0.069404,279.9,10.1,2465.9,97.8,3265.9,548.2,283,2469.8,3266.7,139.2,68.2,17.9
0.071404,278.1,10.1,2472.9,93.9,3275.6,563.8,280.5,2472.2,3270.8,138.4,68.2,16.8
0.073404,276.1,9.9,2478.0,92.6,3285.9,589.5,277.6,2474,3273.1,137.5,68.1,15.6
0.075404,273.4,10.0,2481.0,96.0,3287.2,610.6,274.4,2475.1,3274,136.7,68.1,14.6
0.077404,270.6,10.3,2481.8,98.9,3277.1,608.3,270.9,2475.7,3273.4,135.9,68,13.9
0.079404,268.2,10.9,2481.3,96.9,3267.1,593.9,267.2,2475.9,3271.4,135,67.9,13.8
0.081404,265.7,11.9,2479.4,92.9,3258.2,579.0,263.4,2475.7,3268.2,134.2,67.8,13.9
0.083404,262.8,13.0,2476.6,89.1,3252.1,565.8,259.8,2475.4,3263.8,133.3,67.7,14.2
0.085404,260.0,14.0,2474.8,84.6,3253.2,557.7,256.5,2475,3258.2,132.5,67.6,14.5
0.087404,258.1,14.7,2474.8,82.5,3257.5,556.8,253.5,2474.8,3251.5,131.7,67.4,14.7
0.089404,256.2,15.6,2474.9,84.8,3252.1,555.2,251.1,2474.8,3243.6,130.9,67.3,14.9
0.091404,253.5,17.0,2474.6,87.3,3237.4,545.0,249.4,2475.2,3234.4,130.1,67.2,15
0.093404,251.7,18.0,2474.9,85.0,3228.5,529.5,248.5,2476,3224,129.3,67.1,15.2
0.095404,251.2,19.0,2476.3,80.7,3222.5,506.0,248.5,2477.3,3212.2,128.6,67.1,15.3
0.097404,251.0,20.9,2478.2,77.7,3207.7,469.7,249.4,2479.1,3199,127.9,67,15.2
0.099404,250.6,23.5,2480.2,73.9,3187.2,433.6,251.3,2481.3,3184.3,127.2,66.9,15
0.101404,251.0,25.3,2483.1,67.4,3170.9,415.6,254.1,2483.7,3167.9,126.6,66.9,14.7
0.103404,252.0,26.2,2487.4,63.8,3160.2,432.5,257.7,2486.3,3150,126,66.8,14.3
