time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025252,234.4,47.3,2517.0,183.5,3647.0,215.7,232.7,2517.6,3620.8,208.8,64.8,21.3
0.027252,234.5,51.5,2511.0,171.3,3639.1,201.2,232.4,2517.1,3624.7,208.1,64.8,21.3
0.029252,234.1,55.4,2502.6,165.1,3630.9,185.4,232,2516.3,3631.1,207.2,64.8,20.9
0.031252,233.4,57.2,2494.7,166.6,3627.2,174.5,231.5,2515.3,3639.6,206.3,64.8,20.4
0.033252,232.3,56.4,2490.6,176.1,3631.9,172.6,230.9,2514.1,3650.1,205.3,64.8,20
0.035252,231.1,54.2,2492.6,191.9,3647.0,178.4,230.3,2512.8,3662,204.3,64.7,19.9
0.037252,230.2,53.5,2499.5,206.3,3668.3,184.3,229.8,2511.4,3675,203.2,64.7,20
0.039252,229.8,55.5,2507.7,215.8,3691.2,184.0,229.4,2510.1,3688.5,202,64.7,20.2
0.041252,230.0,59.8,2514.6,217.5,3710.5,178.2,229.2,2508.9,3702.1,200.8,64.7,20.4
0.043252,230.3,65.3,2520.8,208.0,3724.6,171.6,229.3,2507.9,3715.1,199.5,64.7,20.5
0.045252,231.0,71.7,2526.4,185.8,3735.9,168.8,229.7,2507.2,3727.2,198.2,64.7,20.4
0.047252,231.9,77.9,2529.7,163.3,3744.9,173.6,230.6,2506.8,3737.7,196.7,64.7,20.2
0.049252,233.1,83.6,2530.6,150.1,3751.5,183.2,231.8,2506.7,3746.4,195.3,64.7,19.9
0.051252,234.5,88.1,2529.8,149.9,3751.9,188.7,233.6,2507,3752.9,193.7,64.7,19.6
0.053252,235.7,91.1,2528.8,157.1,3745.1,186.5,235.9,2507.6,3756.8,192.2,64.6,19.2
0.055252,236.5,92.9,2528.8,165.4,3734.4,180.1,238.8,2508.6,3758.1,190.5,64.6,18.9
0.057252,236.9,93.3,2529.1,171.4,3727.2,175.1,242.1,2509.8,3756.5,188.9,64.6,18.7
0.059252,237.2,92.5,2527.9,176.8,3727.4,174.8,246,2511.2,3752.1,187.2,64.6,18.4
0.061252,238.4,92.0,2524.7,177.9,3733.7,181.0,250.3,2512.8,3745,185.4,64.6,18.2
