time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025925,309.1,16.4,2334.9,185.0,2577.7,200.2,309.7,2349.1,2559.7,153.2,73.1,20.2
0.027925,309.8,15.8,2323.6,207.9,2559.7,207.3,309.6,2349.1,2572.4,152.9,73.5,21.3
0.029925,309.9,14.8,2328.2,227.8,2551.1,252.8,309.5,2349.2,2592.8,152.7,73.8,21.9
0.031925,309.6,13.6,2356.0,214.8,2568.7,392.0,309.4,2349.5,2619.9,152.4,74.1,22.1
0.033925,309.1,12.6,2369.9,178.2,2658.0,585.8,309.1,2350.1,2652.1,152,74.3,22.3
0.035925,308.6,12.4,2370.6,168.1,2753.7,648.1,308.7,2351.2,2687.8,151.7,74.5,22.4
0.037925,308.2,12.5,2370.1,170.4,2783.3,625.1,308.3,2353,2725.2,151.3,74.6,22.7
0.039925,307.7,12.9,2371.6,176.3,2786.4,592.1,307.7,2355.6,2762.4,150.9,74.7,23.2
0.041925,307.0,13.5,2373.2,181.0,2798.5,552.0,307,2359.1,2797.6,150.4,74.8,24
0.043925,306.2,13.7,2372.0,183.7,2819.9,501.6,306.1,2363.5,2829.2,150,74.9,24.7
0.045925,305.3,13.7,2369.0,186.9,2839.4,455.7,305.2,2368.7,2855.9,149.5,74.9,25
0.047925,304.1,13.8,2367.6,188.8,2852.9,423.3,304.1,2374.8,2876.7,149,74.9,24.8
0.049925,302.9,14.2,2371.1,185.6,2861.3,409.2,302.9,2381.6,2890.8,148.4,74.8,23.7
0.051925,301.6,14.9,2378.4,179.4,2867.4,411.9,301.6,2388.8,2898.2,147.9,74.8,21.9
0.053925,300.1,16.0,2386.3,170.7,2874.1,422.9,300.3,2396.4,2898.9,147.3,74.7,19.8
0.055925,298.7,17.2,2393.5,158.2,2882.8,431.2,298.9,2404,2893.5,146.7,74.5,17.9
0.057925,297.5,18.2,2400.9,143.0,2892.4,438.1,297.6,2411.5,2882.7,146.1,74.4,16.6
0.059925,296.2,19.5,2408.5,129.0,2897.9,447.6,296.3,2418.7,2867.5,145.4,74.2,16.1
0.061925,294.9,20.8,2417.1,117.9,2895.1,460.3,295,2425.5,2849.2,144.8,74.1,16.1
0.063925,293.9,21.7,2428.2,112.1,2877.6,480.5,293.8,2431.7,2828.9,144.2,73.9,16.4
0.065925,292.9,22.3,2441.1,114.9,2839.5,508.8,292.7,2437.4,2807.8,143.5,73.7,16.7
0.067925,291.8,23.1,2454.6,122.8,2786.2,532.1,291.6,2442.5,2787,142.8,73.5,16.8
0.069925,290.8,23.8,2465.6,126.4,2740.4,532.3,290.6,2446.9,2767.5,142.2,73.3,16.7
0.071925,289.9,24.4,2471.5,126.1,2712.3,501.5,289.7,2450.9,2750,141.5,73,16.6
0.073925,288.6,25.6,2471.7,129.0,2696.6,436.6,288.8,2454.4,2734.9,140.9,72.8,16.5
0.075925,287.4,27.8,2467.6,131.3,2692.4,369.3,288,2457.5,2722.6,140.2,72.5,16.3
0.077925,286.9,30.1,2462.3,128.3,2696.9,313.9,287.3,2460.2,2713,139.6,72.2,16.1
0.079925,286.8,33.1,2456.2,124.5,2707.2,264.9,286.6,2462.5,2706,139,72,15.8
0.081925,286.3,37.5,2450.3,123.8,2717.7,224.6,286,2464.3,2701.1,138.3,71.7,15.3
0.083925,285.6,41.5,2448.1,123.5,2722.6,201.1,285.4,2465.4,2697.9,137.7,71.4,14.8
0.085925,285.2,42.8,2451.1,122.0,2719.8,195.7,284.9,2465.9,2695.9,137.2,71.2,14.6
0.087925,284.6,43.4,2455.9,124.4,2710.5,201.4,284.6,2465.4,2694.4,136.6,71,14.8
0.089925,283.8,44.8,2459.6,129.7,2699.6,208.1,284.3,2463.8,2692.8,136,70.8,15.7
0.091925,283.8,45.9,2460.5,129.0,2692.8,206.6,284.2,2461,2690.7,135.5,70.7,17
0.093925,284.4,46.5,2457.8,123.4,2686.9,198.2,284.2,2456.8,2687.7,135,70.5,18.6
0.095925,284.6,48.7,2451.5,122.3,2677.8,188.6,284.4,2451.1,2683.4,134.5,70.4,20
0.097925,284.7,51.8,2443.6,123.1,2668.8,177.4,284.7,2444.1,2677.9,134.1,70.3,20.8
0.099925,285.3,53.3,2437.5,118.5,2663.6,165.7,285.2,2435.7,2671.1,133.7,70.2,21
0.101925,286.3,54.1,2432.4,113.1,2658.3,158.3,285.8,2426.2,2663.1,133.2,70.1,20.8
0.103925,286.7,56.6,2424.7,116.0,2647.9,159.8,286.5,2415.9,2654.3,132.9,70,20.3
0.105925,286.8,58.2,2416.2,124.3,2636.5,165.4,287.3,2405.3,2644.9,132.5,69.9,19.7
0.107925,287.5,56.8,2408.8,126.8,2629.7,163.0,288.1,2394.6,2635.5,132.2,69.8,19.1
0.109925,288.6,55.8,2399.6,123.5,2625.4,151.9,288.9,2384.5,2626.6,131.9,69.7,18.6
0.111925,289.7,58.3,2385.2,122.8,2619.5,142.5,289.6,2375.4,2618.5,131.6,69.6,18
0.113925,291.3,61.7,2367.1,124.3,2614.2,141.0,290.3,2367.7,2611.7,131.3,69.5,17.3
0.115925,292.5,62.1,2354.8,123.3,2613.4,142.4,290.7,2361.9,2606.5,131,69.3,16.6
0.117925,291.8,63.2,2346.4,129.2,2612.3,143.7,291,2358.3,2603.3,130.8,69,15.8
0.119925,288.3,69.1,2331.6,166.8,2603.1,151.8,291.1,2357.1,2602.2,130.6,68.7,14.9
