time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025467,391.5,384.2,2097.3,174.4,2820.0,381.8,433,2158.6,2812.6,217.3,75.1,12.7
0.027467,412.9,259.6,2110.6,172.5,2829.3,332.3,433,2159.2,2814.8,217.5,76.7,21
0.029467,423.6,178.0,2126.9,171.3,2842.9,311.8,432.9,2160.1,2818.5,217.7,78.3,20.6
0.031467,429.9,121.4,2142.6,167.6,2855.7,304.8,432.9,2161.5,2823.6,217.9,79.7,16.2
0.033467,433.9,83.7,2155.2,161.4,2864.3,302.1,432.8,2163.1,2830,218,81.2,12.5
0.035467,436.7,56.9,2165.3,151.7,2867.2,296.8,432.7,2165.1,2837.6,218.2,82.5,13
0.037467,438.5,39.3,2172.1,138.7,2864.9,289.5,432.7,2167.4,2846.4,218.5,83.7,14.2
0.039467,439.9,26.9,2176.9,122.5,2858.5,284.9,432.7,2169.9,2856.1,218.7,84.7,15.3
0.041467,441.1,19.0,2181.0,106.7,2849.8,293.9,432.7,2172.7,2866.8,218.9,85.6,16.2
0.043467,441.8,15.1,2185.8,97.0,2844.0,331.7,432.8,2175.7,2878.1,219.1,86.3,17.1
0.045467,442.2,13.8,2192.6,93.3,2847.2,408.0,433,2178.9,2890.1,219.4,86.9,18
0.047467,442.3,14.1,2200.3,93.0,2862.8,501.6,433.3,2182.2,2902.4,219.6,87.3,18.7
0.049467,442.3,15.2,2208.9,95.3,2894.7,589.9,433.7,2185.7,2914.9,219.9,87.5,19.3
0.051467,442.3,16.4,2216.6,100.9,2930.3,641.3,434.2,2189.1,2927.5,220.2,87.7,19.9
0.053467,442.2,17.1,2223.0,110.2,2954.9,663.6,434.8,2192.6,2939.9,220.5,87.7,20.5
0.055467,442.1,17.2,2229.0,123.8,2965.0,672.1,435.6,2196.1,2952.1,220.8,87.6,21.3
0.057467,442.1,16.7,2234.6,140.6,2963.2,658.8,436.6,2199.5,2963.8,221.1,87.5,22.4
0.059467,442.2,16.0,2238.1,156.1,2957.8,601.8,437.7,2202.8,2974.8,221.4,87.3,23.5
0.061467,442.7,15.3,2238.0,165.6,2957.1,509.3,439,2206,2985,221.8,87,24.5
0.063467,443.5,15.0,2234.4,165.4,2964.0,423.1,440.5,2209,2994.3,222.2,86.8,25.2
0.065467,444.6,15.1,2228.7,158.3,2976.2,365.3,442.1,2211.8,3002.6,222.6,86.5,25.5
0.067467,446.1,15.6,2221.9,147.7,2990.0,328.0,443.9,2214.4,3009.7,223,86.3,25.3
0.069467,447.7,16.2,2215.2,135.6,3000.9,297.4,445.9,2216.6,3015.5,223.4,86,24.8
0.071467,449.6,17.0,2208.6,121.9,3008.1,265.5,448,2218.6,3019.9,223.9,85.8,24.2
0.073467,451.6,17.8,2203.3,110.5,3011.9,242.4,450.3,2220.3,3022.9,224.4,85.6,23.7
0.075467,453.6,18.6,2199.5,102.8,3014.7,233.7,452.7,2221.6,3024.5,224.9,85.5,23.3
0.077467,455.5,19.3,2196.9,98.4,3016.3,240.2,455.1,2222.6,3024.6,225.4,85.4,22.9
0.079467,457.3,19.5,2195.6,96.5,3017.6,259.0,457.7,2223.3,3023.1,226,85.3,22.5
0.081467,459.0,19.4,2196.2,96.5,3020.9,286.0,460.4,2223.6,3020.2,226.6,85.3,22.1
0.083467,460.6,19.1,2199.3,98.5,3026.9,309.3,463.1,2223.5,3015.9,227.2,85.3,21.8
0.085467,462.0,19.1,2205.3,102.4,3034.1,326.4,465.8,2223,3010.2,227.9,85.3,21.6
0.087467,463.2,19.4,2213.5,107.2,3040.4,350.1,468.5,2222.2,3003.1,228.5,85.3,21.6
0.089467,464.3,20.0,2222.0,112.0,3045.0,395.6,471.2,2221.1,2994.9,229.2,85.3,21.7
0.091467,465.5,20.7,2227.9,117.0,3044.2,469.4,473.9,2219.6,2985.5,230,85.2,21.8
0.093467,467.0,21.8,2228.9,123.1,3029.7,564.1,476.6,2217.8,2975.1,230.7,85.2,21.7
0.095467,468.7,23.1,2224.0,129.6,2993.1,639.8,479.2,2215.6,2963.8,231.5,85,21.4
0.097467,470.8,24.3,2213.9,134.0,2944.2,644.7,481.7,2213.2,2951.7,232.3,84.9,20.9
0.099467,473.2,25.2,2201.8,132.6,2908.0,600.2,484.2,2210.5,2939.1,233.1,84.6,20.3
0.101467,476.3,26.4,2190.2,126.1,2886.4,558.1,486.5,2207.6,2926,233.9,84.3,19.7
0.103467,480.1,27.9,2181.5,119.4,2876.2,539.4,488.8,2204.4,2912.6,234.8,84,19
0.105467,484.8,30.2,2175.6,115.2,2876.8,525.3,491,2201,2899.1,235.6,83.6,18.5
0.107467,490.4,33.5,2173.1,114.2,2888.4,498.4,493.1,2197.4,2885.6,236.5,83.3,17.8
0.109467,496.8,37.8,2174.7,115.6,2900.8,466.0,495.1,2193.7,2872.3,237.4,82.9,17.2
0.111467,503.0,41.9,2178.2,118.3,2902.3,443.4,497.1,2189.8,2859.3,238.3,82.6,16.7
0.113467,507.8,43.9,2180.0,121.2,2890.4,436.9,499,2185.8,2846.7,239.2,82.5,16.4
0.115467,511.0,42.9,2178.9,122.9,2869.3,448.6,500.9,2181.8,2834.8,240.2,82.4,16.6
0.117467,512.7,39.7,2176.9,119.7,2847.8,487.9,502.7,2177.6,2823.5,241.1,82.5,17.4
0.119467,513.4,36.1,2177.4,109.0,2833.4,564.7,504.5,2173.3,2813.1,242,82.6,18.5
0.121467,514.2,33.6,2180.7,93.9,2822.6,688.8,506.3,2169,2803.7,242.9,82.8,19.5
0.123467,515.5,32.8,2184.7,80.1,2806.3,854.3,508.2,2164.7,2795.2,243.9,83,20.3
0.125467,517.3,33.3,2188.4,69.9,2781.0,1042.1,510.1,2160.3,2787.8,244.8,83.3,20.6
0.127467,519.3,34.4,2191.8,62.8,2755.4,1233.5,512.1,2155.8,2781.6,245.8,83.5,20.3
0.129467,521.3,36.0,2194.6,59.0,2735.4,1411.8,514.1,2151.4,2776.5,246.7,83.7,19.7
0.131467,523.0,37.5,2196.1,59.8,2712.7,1540.9,516.3,2146.8,2772.7,247.7,83.9,19.1
0.133467,524.3,38.7,2194.8,67.4,2678.1,1572.3,518.6,2142.3,2770,248.6,84.1,18.7
0.135467,525.4,38.8,2188.1,85.7,2642.5,1460.7,521,2137.7,2768.6,249.6,84.2,18.7
0.137467,526.3,37.5,2172.1,118.2,2624.0,1248.6,523.6,2133,2768.3,250.5,84.3,19
0.139467,527.4,35.4,2142.6,157.2,2637.5,1027.4,526.3,2128.2,2769.1,251.5,84.5,19.5
0.141467,529.0,33.2,2106.0,179.0,2687.8,862.2,529.2,2123.4,2771,252.4,84.6,20
0.143467,530.7,31.7,2082.2,175.8,2755.1,765.1,532.2,2118.4,2774,253.4,84.7,20.5
0.145467,532.6,30.7,2071.5,164.1,2824.5,687.0,535.4,2113.4,2777.8,254.4,84.7,20.7
0.147467,534.4,30.1,2066.1,153.6,2884.4,607.2,538.7,2108.2,2782.6,255.3,84.7,20.8
0.149467,536.6,29.7,2061.9,145.3,2926.1,537.2,542.1,2102.8,2788,256.3,84.7,20.8
0.151467,539.4,29.7,2060.0,135.4,2946.3,494.6,545.7,2097.2,2794.1,257.3,84.7,20.8
0.153467,543.1,30.4,2062.2,123.0,2945.4,486.1,549.3,2091.4,2800.8,258.3,84.6,20.8
0.155467,547.5,31.9,2066.9,110.9,2924.7,502.3,552.9,2085.5,2807.8,259.3,84.6,20.8
0.157467,552.0,33.7,2070.6,102.5,2886.5,516.0,556.6,2079.2,2815.2,260.3,84.4,21
0.159467,556.1,35.4,2072.3,97.6,2844.8,499.7,560.3,2072.8,2822.8,261.3,84.3,21.1
0.161467,559.5,37.1,2073.1,95.0,2820.0,457.0,563.9,2066,2830.4,262.3,84.2,21.2
0.163467,562.3,39.0,2074.2,95.1,2818.1,411.5,567.4,2059,2838,263.3,84,21.2
0.165467,564.7,41.3,2075.5,99.4,2830.5,374.2,570.8,2051.6,2845.5,264.3,83.8,20.8
0.167467,567.0,43.5,2075.6,110.3,2844.0,341.7,574.1,2044,2852.7,265.3,83.6,20.3
0.169467,569.6,45.7,2071.8,129.9,2847.9,307.8,577.2,2036.1,2859.6,266.3,83.3,19.5
0.171467,573.0,48.1,2059.4,157.2,2841.2,273.6,580,2027.9,2866.1,267.4,83,18.7
0.173467,577.5,50.8,2031.3,186.8,2829.9,241.1,582.6,2019.4,2872,268.4,82.7,17.9
0.175467,583.2,53.4,1987.6,199.3,2821.0,214.7,584.8,2010.5,2877.4,269.4,82.3,17.3
0.177467,589.6,55.6,1947.7,180.4,2816.6,199.8,586.8,2001.5,2882.2,270.4,81.8,16.6
0.179467,596.2,58.4,1926.1,145.3,2814.5,197.3,588.4,1992.1,2886.2,271.3,81.4,15.9
0.181467,601.8,62.7,1921.2,113.9,2815.1,204.9,589.6,1982.6,2889.6,272.3,81,15.2
0.183467,604.2,67.3,1924.1,91.8,2826.7,216.2,590.5,1972.8,2892.3,273.2,80.8,14.8
0.185467,601.6,69.0,1928.7,77.3,2859.6,221.5,590.9,1962.8,2894.2,274.1,80.7,14.5
0.187467,594.6,64.5,1932.0,69.1,2905.9,213.4,591,1952.7,2895.3,275,80.8,14.4
0.189467,586.9,55.5,1933.4,67.7,2944.0,200.6,590.7,1942.5,2895.8,275.8,81.1,14.5
0.191467,581.8,47.1,1934.7,73.8,2965.0,198.6,590,1932.3,2895.5,276.6,81.4,14.7
0.193467,579.7,41.7,1937.7,86.8,2972.4,215.2,588.9,1922,2894.6,277.4,81.8,14.9
0.195467,579.9,38.7,1942.6,103.3,2970.3,248.6,587.5,1911.7,2893,278.1,82.2,15.1
0.197467,581.5,37.5,1947.5,118.9,2958.2,286.8,585.7,1901.6,2890.9,278.8,82.5,15.5
0.199467,584.1,37.3,1948.9,131.8,2934.0,311.3,583.7,1891.5,2888.3,279.4,82.7,16
0.201467,586.5,37.5,1944.4,143.6,2899.8,314.7,581.5,1881.7,2885.2,280,82.8,16.4
0.203467,587.8,36.9,1932.5,156.9,2860.0,301.0,579,1872.1,2881.7,280.5,82.9,16.7
0.205467,587.0,34.7,1914.2,168.1,2825.8,273.9,576.4,1862.8,2878,281,82.9,17
0.207467,584.1,30.4,1891.3,170.2,2802.4,238.0,573.6,1853.8,2874.1,281.4,82.8,17.1
0.209467,580.7,25.1,1868.4,158.3,2791.7,203.4,570.8,1845.3,2870,281.8,82.7,17.3
0.211467,577.7,20.0,1848.5,135.1,2793.5,176.8,568,1837.2,2865.9,282.1,82.5,17.3
0.213467,575.3,16.0,1834.7,108.2,2808.2,163.9,565.2,1829.6,2861.8,282.3,82.1,17.1
0.215467,572.9,13.4,1826.8,84.6,2834.8,164.2,562.5,1822.6,2857.8,282.5,81.5,16.6
0.217467,569.7,12.3,1821.4,67.9,2867.9,170.4,559.9,1816.1,2854,282.6,80.7,15.8
0.219467,564.6,13.0,1814.8,60.1,2893.1,175.1,557.5,1810.4,2850.5,282.7,79.7,14.8
