time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,396.3,53.3,2148.5,102.1,2851.3,348.0,412.1,2179.6,2821.2,190.4,72.9,4.8
0.027417,400.3,47.4,2161.1,95.5,2855.2,315.5,412.1,2182.4,2826.5,190.6,73.6,4.4
0.029417,401.9,47.5,2172.2,96.1,2861.4,296.8,412.1,2187,2835.1,190.9,74.1,5.1
0.031417,402.9,51.0,2187.2,99.2,2869.1,293.5,412,2193.3,2846.9,191.3,74.5,6.3
0.033417,404.1,55.6,2205.0,100.8,2876.3,305.6,411.9,2201.1,2861.6,191.6,74.8,7.7
0.035417,405.6,59.8,2221.2,102.3,2882.6,329.2,411.9,2210.4,2879,192.1,74.9,9.2
0.037417,407.7,64.0,2235.8,108.4,2890.6,365.5,411.8,2220.9,2898.6,192.5,75.1,10.6
0.039417,410.3,68.3,2249.9,120.9,2901.8,412.3,411.7,2232.5,2920,193,75.1,12.5
0.041417,413.3,72.9,2266.1,136.0,2919.9,462.9,411.6,2244.8,2942.9,193.5,75.2,14.4
0.043417,416.0,76.0,2279.0,142.8,2945.5,488.2,411.4,2257.8,2966.6,194.1,75.2,16.3
0.045417,418.5,76.3,2285.0,138.5,2972.6,479.3,411.3,2271.1,2990.8,194.8,75.3,17.6
0.047417,420.8,75.1,2290.5,129.7,3000.9,455.3,411.2,2284.6,3014.9,195.4,75.3,18.1
0.049417,423.0,73.8,2300.0,121.5,3025.6,429.8,411,2297.9,3038.4,196.2,75.3,17.8
0.051417,424.9,73.0,2312.6,113.5,3043.3,404.3,410.9,2310.8,3061,196.9,75.3,17
0.053417,426.1,72.1,2322.1,106.5,3053.8,386.3,410.8,2323.3,3082.1,197.8,75.3,16.1
0.055417,426.2,70.6,2325.1,103.2,3065.0,381.9,410.7,2334.9,3101.5,198.6,75.3,15.3
0.057417,425.1,68.8,2324.4,105.9,3087.4,390.7,410.7,2345.7,3118.7,199.6,75.2,15.1
0.059417,423.6,69.1,2326.7,111.7,3123.3,383.1,410.7,2355.4,3133.5,200.5,75.2,15.2
0.061417,421.8,74.3,2337.0,113.5,3157.9,318.1,410.7,2364,3145.7,201.6,75.2,15.5
0.063417,419.5,83.2,2352.3,109.7,3169.6,239.9,410.8,2371.3,3155.1,202.6,75.3,15.8
0.065417,415.6,90.8,2367.3,108.3,3170.2,201.9,411.1,2377.4,3161.6,203.8,75.3,15.9
0.067417,410.5,95.8,2382.4,110.4,3169.1,199.8,411.4,2382.1,3165.4,205,75.4,15.6
0.069417,407.2,101.3,2395.7,109.5,3163.7,219.6,411.8,2385.6,3166.3,206.2,75.6,15
0.071417,407.7,109.5,2406.6,106.7,3149.3,260.9,412.4,2387.9,3164.5,207.5,75.8,14.2
0.073417,411.1,116.3,2414.6,112.3,3128.0,337.8,413.2,2389.1,3160.2,208.8,76.1,13.4
0.075417,413.6,115.2,2422.6,133.4,3116.7,457.9,414.1,2389.2,3153.7,210.2,76.6,12.8
0.077417,412.9,103.2,2432.1,174.0,3138.5,602.0,415.3,2388.4,3145.2,211.7,77.2,12.7
0.079417,409.2,83.2,2435.4,241.3,3179.7,688.7,416.7,2386.9,3135.1,213.2,78,13
0.081417,405.2,60.6,2421.6,353.9,3197.5,710.6,418.3,2384.7,3123.7,214.8,78.8,13.5
0.083417,404.0,43.8,2386.9,462.7,3193.8,698.7,420.2,2382.1,3111.4,216.4,79.6,14
0.085417,405.9,34.3,2366.2,491.8,3210.0,716.4,422.3,2379.3,3098.5,218.1,80.3,14.4
0.087417,409.6,29.2,2377.9,465.7,3266.7,820.3,424.8,2376.4,3085.5,219.8,81,14.6
0.089417,413.6,26.5,2401.2,422.7,3383.7,1013.2,427.5,2373.5,3072.8,221.6,81.5,14.6
0.091417,418.2,24.7,2416.1,373.0,3650.0,1231.5,430.6,2370.9,3060.6,223.5,81.8,14.4
0.093417,423.4,23.6,2415.1,323.5,2590.3,6485.1,434,2368.7,3049.3,225.4,81.9,14.2
0.095417,429.2,22.9,2072.5,4466.7,2409.6,284.6,437.7,2366.9,3039.2,227.3,82,13.9
0.097417,436.4,21.8,2083.0,4065.4,2412.3,266.0,441.7,2365.8,3030.5,229.3,81.9,13.5
0.099417,444.3,20.1,2419.1,269.3,2650.2,4347.7,446,2365.3,3023.5,231.4,81.7,12.8
0.101417,453.1,17.6,2415.1,276.7,3327.8,1968.2,450.6,2365.6,3018.3,233.4,81.4,12.1
0.103417,461.8,15.1,2400.2,259.1,3151.0,1120.7,455.5,2366.6,3015,235.5,81.2,11.4
0.105417,469.9,13.3,2393.4,218.9,3096.7,776.0,460.6,2368.5,3013.6,237.7,81,10.7
0.107417,477.9,12.6,2398.0,182.3,3082.0,608.2,466,2371.1,3014.1,239.9,80.9,10.1
0.109417,484.9,13.4,2406.1,165.8,3091.8,541.2,471.5,2374.4,3016.5,242.1,80.9,9.5
0.111417,490.8,15.7,2411.7,167.4,3111.7,518.5,477.2,2378.4,3020.6,244.3,81,9
0.113417,495.1,19.2,2411.7,186.4,3123.7,528.6,483,2383.1,3026.3,246.5,81.1,8.6
0.115417,498.7,22.2,2408.4,217.3,3119.7,561.4,488.9,2388.2,3033.3,248.7,81.3,8.3
0.117417,502.5,23.5,2406.6,250.8,3100.8,579.2,494.8,2393.7,3041.6,251,81.6,8.3
0.119417,506.4,22.3,2410.3,272.3,3079.7,548.4,500.6,2399.5,3050.7,253.2,81.7,8.4
0.121417,510.3,19.2,2422.8,279.9,3066.6,498.3,506.3,2405.5,3060.5,255.4,81.8,8.8
0.123417,514.1,15.8,2441.7,280.5,3062.2,476.9,511.9,2411.5,3070.7,257.6,81.8,9.1
0.125417,518.7,13.1,2458.3,280.8,3061.3,490.0,517.2,2417.4,3080.9,259.8,81.6,9.4
0.127417,524.3,11.7,2468.0,280.7,3061.7,519.1,522.3,2423.2,3091,261.9,81.3,9.6
0.129417,529.6,12.2,2470.2,281.4,3065.2,530.6,526.9,2428.8,3100.7,264,80.9,9.7
0.131417,533.7,15.0,2462.8,285.2,3070.9,481.7,531.1,2433.9,3109.7,266.1,80.4,9.7
0.133417,536.7,19.2,2442.9,280.0,3075.4,374.4,534.9,2438.7,3117.9,268.1,79.8,9.7
0.135417,539.8,23.3,2419.6,252.9,3081.1,277.5,538.1,2442.9,3125.1,270.1,79.1,9.6
0.137417,543.8,27.2,2399.9,214.2,3090.5,219.8,540.6,2446.6,3131.1,272,78.5,9.6
