time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025932,1315.4,432.0,2644.2,611.3,2850.7,1171.8,853.2,2488.6,3154.1,189.2,54.5,-186.9
0.027932,1312.1,435.3,2655.0,654.2,2881.1,1152.1,849.2,2489.2,3154.8,189.4,55.1,-147.5
0.029932,1311.2,489.8,2678.0,779.8,2910.8,1147.1,842.6,2490.2,3156,189.6,56.3,-98.2
0.031932,1302.2,675.8,2648.4,1355.8,2927.4,886.5,833.4,2491.7,3157.7,189.8,57.9,-48.8
0.033932,1264.8,1379.1,2177.2,1995.8,3022.2,712.7,821.8,2493.5,3159.8,190,59.7,-8.8
0.035932,2081.4,1281.0,3100.1,632.9,4449.7,676.0,807.8,2495.7,3162.3,190.3,61.4,13.6
0.037932,252.4,563.8,2290.2,810.8,3180.1,479.4,791.6,2498.3,3165.2,190.6,62.9,22.3
0.039932,295.9,385.8,2371.4,461.0,3213.1,293.6,773.3,2501.2,3168.4,190.9,64.2,22.4
0.041932,302.7,260.2,2404.3,289.9,3219.3,189.4,753.2,2504.4,3171.9,191.3,65.2,18.4
0.043932,304.6,185.4,2416.4,212.9,3220.2,145.6,731.3,2507.8,3175.7,191.6,66.1,14.5
0.045932,311.8,144.1,2420.4,172.6,3219.6,132.5,708,2511.5,3179.7,192,66.9,14.1
0.047932,322.5,123.5,2422.9,148.9,3215.9,143.6,683.4,2515.4,3183.8,192.4,67.5,13.3
0.049932,331.9,110.5,2428.1,131.2,3204.6,185.5,657.7,2519.4,3188,192.9,68.1,11.8
0.051932,337.8,103.1,2436.6,118.7,3181.8,253.2,631.2,2523.6,3192.2,193.3,68.7,10.4
0.053932,341.6,102.3,2447.0,108.3,3161.6,291.6,604.2,2527.9,3196.4,193.8,69.1,9.5
0.055932,344.6,106.8,2460.8,97.1,3162.6,282.2,576.8,2532.2,3200.4,194.3,69.6,9.6
0.057932,346.6,113.8,2478.1,87.7,3178.9,258.0,549.4,2536.6,3204.3,194.8,69.9,10.7
0.059932,348.5,123.1,2499.1,77.9,3198.5,232.5,522.1,2540.9,3208,195.3,70.3,12.3
0.061932,352.6,135.0,2519.1,66.4,3212.6,208.9,495.3,2545.1,3211.4,195.9,70.6,14.1
0.063932,359.6,146.0,2534.2,56.2,3219.9,192.1,469.1,2549.2,3214.4,196.4,70.8,15.8
0.065932,366.9,152.3,2545.3,49.8,3223.5,186.0,443.7,2553.2,3217.1,197,71.1,17.1
0.067932,370.1,153.4,2553.3,48.7,3223.0,195.9,419.4,2557.1,3219.3,197.5,71.4,18.5
0.069932,368.7,151.9,2560.5,51.8,3217.4,224.1,396.3,2560.7,3220.9,198.1,71.6,19.8
0.071932,364.3,148.8,2567.4,57.6,3208.5,263.4,374.7,2564,3222.1,198.7,71.9,21
0.073932,359.0,145.0,2573.6,63.8,3200.5,297.2,354.6,2567.1,3222.6,199.2,72.3,21.9
0.075932,354.6,141.4,2579.0,67.8,3193.4,316.1,336.3,2569.9,3222.5,199.8,72.6,22.4
0.077932,352.2,139.5,2581.3,68.0,3185.2,320.6,319.8,2572.4,3221.7,200.3,73,22.4
0.079932,351.3,139.2,2581.3,67.0,3174.1,325.7,305.2,2574.6,3220.2,200.9,73.4,22.2
0.081932,351.0,140.1,2582.4,69.0,3163.5,348.8,292.6,2576.4,3218,201.4,73.9,21.8
0.083932,350.7,141.9,2587.5,75.4,3155.4,398.8,282.1,2577.8,3215.1,201.9,74.3,21.4
0.085932,350.7,145.2,2597.7,84.7,3141.4,483.3,273.6,2578.9,3211.5,202.4,74.7,21.1
0.087932,351.6,149.3,2608.8,91.4,3109.3,574.2,267.2,2579.6,3207.1,202.9,75.1,20.7
0.089932,351.4,151.4,2616.9,92.4,3085.0,621.6,262.9,2580,3202,203.3,75.6,20.3
0.091932,350.1,148.7,2620.7,91.6,3097.3,599.0,260.6,2579.9,3196.1,203.8,76,19.9
0.093932,351.6,141.8,2622.0,96.5,3108.6,537.1,260.2,2579.5,3189.5,204.2,76.4,19.6
0.095932,356.0,132.0,2622.3,110.0,3108.9,476.0,261.7,2578.8,3182.3,204.7,76.8,19.5
0.097932,361.0,121.7,2621.1,130.1,3109.1,435.5,265,2577.7,3174.4,205.1,77.3,19.5
0.099932,365.5,111.1,2616.6,154.6,3118.0,408.4,269.9,2576.2,3165.9,205.5,77.7,19.6
0.101932,369.6,101.4,2607.1,176.0,3138.4,383.8,276.3,2574.5,3156.8,205.8,78.1,19.8
0.103932,373.6,93.4,2594.3,189.8,3164.9,352.2,284.1,2572.5,3147.2,206.2,78.5,20.1
0.105932,378.2,86.7,2578.4,198.2,3192.1,310.2,293.1,2570.2,3137,206.5,78.8,20.6
0.107932,382.9,81.4,2559.7,204.8,3214.1,271.4,303.2,2567.7,3126.5,206.9,79.1,21.4
0.109932,387.2,76.8,2535.2,214.1,3234.2,241.2,314.1,2565,3115.5,207.2,79.4,22.4
0.111932,390.1,73.6,2511.7,223.5,3252.1,224.1,325.7,2562.1,3104.3,207.4,79.6,23.4
0.113932,391.2,71.9,2503.2,228.8,3267.6,218.2,337.8,2559.1,3092.7,207.7,79.8,24.1
0.115932,390.9,70.8,2513.7,231.4,3282.5,214.2,350.3,2556,3081,208,80,24.4
0.117932,390.3,69.4,2533.3,232.8,3294.4,206.0,362.9,2552.8,3069.1,208.2,80.1,24.4
0.119932,390.3,67.4,2551.1,234.0,3132.0,2449.8,375.4,2549.5,3057.2,208.4,80.3,24.1
0.121932,390.8,65.2,2558.2,233.2,3023.8,2466.5,387.8,2546.2,3045.3,208.6,80.4,23.7
0.123932,391.8,63.2,2555.9,230.3,3025.4,2496.1,399.8,2543,3033.4,208.8,80.6,23.4
0.125932,393.3,60.9,2552.3,221.5,3036.3,2446.9,411.3,2539.7,3021.7,209,80.7,23.3
0.127932,395.0,58.6,2551.9,204.0,3013.4,2378.4,422.2,2536.6,3010.1,209.1,80.9,23.4
0.129932,397.2,55.9,2552.5,181.9,2979.3,2330.8,432.3,2533.6,2998.8,209.3,81,23.4
0.131932,399.9,53.2,2550.5,165.2,2981.1,2269.2,441.5,2530.7,2987.8,209.4,81.1,23.6
0.133932,403.0,50.6,2545.1,159.8,3036.2,2126.2,449.8,2527.9,2977.1,209.5,81.2,23.7
0.135932,406.1,48.0,2537.6,166.0,3116.0,1806.2,457,2525.3,2966.9,209.5,81.3,23.8
0.137932,408.4,45.7,2531.9,179.9,3138.0,859.6,463.1,2523,2957.1,209.6,81.3,23.9
0.139932,410.3,43.8,2529.9,195.0,2903.2,800.1,468.1,2520.8,2947.8,209.6,81.3,24.1
0.141932,411.9,42.5,2529.5,203.3,2823.4,649.7,471.8,2518.9,2939.1,209.6,81.3,24.2
0.143932,413.3,41.7,2526.9,201.9,2792.7,538.3,474.4,2517.2,2930.9,209.6,81.3,24.4
0.145932,414.4,41.7,2523.0,191.5,2785.1,473.1,475.8,2515.7,2923.3,209.6,81.2,24.6
0.147932,414.8,42.5,2520.3,178.2,2789.8,451.5,476.1,2514.6,2916.4,209.5,81.1,25
0.149932,414.6,44.0,2517.7,166.5,2799.6,450.1,475.2,2513.6,2910.1,209.5,80.9,25.4
0.151932,414.3,45.9,2513.4,157.4,2815.3,450.9,473.3,2513,2904.5,209.4,80.8,25.7
0.153932,414.1,47.6,2507.4,150.9,2838.9,443.8,470.5,2512.6,2899.5,209.3,80.6,25.8
0.155932,414.0,49.4,2499.9,148.6,2865.3,427.5,466.7,2512.4,2895.2,209.2,80.4,25.7
0.157932,413.9,51.2,2491.6,153.6,2880.9,407.9,462.1,2512.5,2891.6,209,80.2,25.2
0.159932,413.7,53.6,2481.2,169.5,2883.4,386.5,456.8,2512.8,2888.6,208.9,80,24.6
0.161932,413.3,56.6,2468.8,200.4,2875.2,362.0,450.9,2513.3,2886.3,208.7,79.8,23.9
0.163932,412.7,60.5,2456.6,248.9,2860.6,331.5,444.6,2514.1,2884.6,208.5,79.6,23.4
0.165932,412.1,65.3,2445.5,315.9,2841.3,292.2,437.9,2515,2883.6,208.3,79.4,23.2
0.167932,412.1,70.4,2442.1,367.8,2824.5,260.1,431,2516.1,2883.1,208.1,79.2,23.4
