time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025517,485.3,60.6,2464.3,265.8,3073.7,214.2,492.8,2496.2,3157.6,252.9,76,11.8
0.027517,485.1,57.7,2497.0,263.1,3083.2,226.6,492.8,2496.1,3157,252.9,76.3,12.4
0.029517,484.4,53.2,2511.9,261.1,3099.7,238.2,492.7,2495.9,3156.1,252.9,76.6,14.1
0.031517,484.5,49.2,2513.3,262.3,3118.6,247.4,492.5,2495.7,3154.9,252.9,76.8,16.3
0.033517,485.8,46.8,2502.0,256.8,3135.7,251.0,492.4,2495.5,3153.3,252.9,77.1,18.7
0.035517,488.4,44.9,2480.9,232.4,3149.3,254.9,492.2,2495.2,3151.5,252.9,77.4,20.7
0.037517,491.4,42.5,2466.8,191.8,3155.8,281.4,492,2494.8,3149.4,252.9,77.7,22.2
0.039517,493.0,40.1,2472.0,155.7,3152.7,351.8,491.8,2494.5,3147.1,252.9,78,22.8
0.041517,493.4,37.9,2485.3,133.8,3143.2,435.8,491.6,2494.1,3144.7,253,78.2,22.7
0.043517,493.4,35.8,2494.0,123.9,3141.1,478.3,491.5,2493.7,3142.3,253.1,78.4,22.4
0.045517,493.7,33.5,2496.6,123.6,3147.5,498.4,491.3,2493.3,3139.8,253.1,78.5,22.1
0.047517,494.2,31.1,2494.8,130.1,3148.3,534.6,491.2,2492.9,3137.3,253.2,78.6,22.2
0.049517,494.8,28.8,2493.5,133.8,3133.1,604.5,491.2,2492.5,3134.9,253.3,78.7,22.8
0.051517,495.5,27.0,2496.4,126.3,3107.6,689.1,491.2,2492.2,3132.7,253.5,78.8,23.6
0.053517,495.9,25.9,2500.8,111.7,3103.1,732.0,491.2,2491.9,3130.6,253.6,78.9,24.5
0.055517,496.0,25.4,2503.8,96.3,3142.3,687.0,491.4,2491.6,3128.9,253.8,79,25.4
0.057517,496.1,25.4,2505.1,86.0,3183.3,564.2,491.6,2491.4,3127.4,254,79,26.1
0.059517,496.4,25.3,2505.2,82.3,3193.1,450.0,491.9,2491.3,3126.4,254.3,79.1,26.7
0.061517,497.0,25.1,2504.5,84.7,3187.3,374.8,492.4,2491.2,3125.7,254.5,79.1,27.3
0.063517,497.7,24.7,2502.4,92.8,3181.6,329.0,492.9,2491.3,3125.5,254.8,79.1,27.8
0.065517,498.2,24.1,2497.9,108.4,3182.5,299.8,493.5,2491.4,3125.7,255.1,79.1,28.1
0.067517,498.5,23.3,2491.4,132.3,3190.7,289.4,494.3,2491.6,3126.4,255.5,79,28.1
0.069517,498.7,22.5,2484.2,161.5,3202.2,301.2,495.1,2491.9,3127.7,255.8,78.9,27.8
0.071517,499.1,21.9,2478.5,184.3,3212.5,333.2,496,2492.4,3129.4,256.2,78.8,27.2
0.073517,499.7,22.1,2476.9,185.7,3217.1,368.4,497.1,2492.9,3131.7,256.6,78.8,26.4
0.075517,500.6,23.1,2480.3,163.9,3209.9,381.9,498.2,2493.5,3134.4,257.1,78.7,25.7
0.077517,501.7,24.9,2486.6,132.1,3190.7,358.7,499.4,2494.2,3137.7,257.6,78.6,25.1
0.079517,503.0,26.9,2493.5,104.4,3168.1,321.8,500.6,2494.9,3141.3,258.1,78.6,24.8
0.081517,504.3,28.8,2500.0,87.0,3146.8,296.0,501.9,2495.8,3145.4,258.6,78.5,24.5
0.083517,505.4,30.5,2506.2,80.7,3128.7,289.3,503.3,2496.7,3149.9,259.2,78.4,24.4
0.085517,506.2,32.1,2513.2,83.7,3114.6,302.5,504.6,2497.7,3154.7,259.8,78.4,24.2
0.087517,506.7,33.8,2521.1,94.2,3106.9,336.6,506,2498.7,3159.8,260.4,78.3,24.1
0.089517,507.0,35.7,2529.3,108.2,3104.5,391.6,507.3,2499.8,3165,261.1,78.3,24.1
0.091517,507.2,38.1,2536.1,118.9,3106.7,462.4,508.6,2500.9,3170.4,261.8,78.4,24.2
0.093517,507.4,40.6,2539.1,122.4,3113.9,522.5,509.9,2501.9,3175.9,262.5,78.4,24.2
0.095517,508.0,43.0,2537.2,122.6,3124.0,530.1,511,2503,3181.5,263.3,78.5,24.3
0.097517,508.9,44.8,2531.3,125.6,3128.7,466.6,512.1,2504.1,3186.9,264,78.6,24.3
0.099517,509.8,46.0,2522.2,132.8,3126.9,383.2,513.1,2505,3192.2,264.9,78.8,24.3
0.101517,510.5,47.1,2508.8,141.5,3123.8,320.6,514,2506,3197.4,265.7,78.9,24.3
0.103517,510.8,48.4,2490.5,145.5,3124.9,284.8,514.7,2506.8,3202.3,266.6,79,24.3
