time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025297,510.6,104.7,1901.6,64.6,3060.1,484.2,497.6,1942.7,3016.7,182.5,64.7,14.3
0.027297,512.3,94.6,1907.2,61.9,3041.7,472.8,497.7,1943.1,3016.9,182.5,64,13.6
0.029297,511.3,88.4,1914.9,63.4,3026.3,403.5,497.8,1943.8,3017.1,182.6,63.3,12.7
0.031297,506.2,83.4,1926.1,71.1,3020.2,337.8,497.9,1944.8,3017.4,182.7,62.7,11.8
0.033297,498.9,77.5,1939.0,84.3,3019.2,309.3,498.1,1946.1,3017.8,182.8,62.2,11.2
0.035297,491.5,73.9,1950.5,99.1,3021.1,314.5,498.3,1947.6,3018.3,182.9,62,10.9
0.037297,483.7,76.8,1959.3,112.4,3025.4,339.8,498.6,1949.4,3018.7,183.1,62.2,11
0.039297,476.8,86.7,1964.6,119.4,3031.2,361.4,499,1951.5,3019.1,183.2,62.6,11.2
0.041297,473.3,101.6,1968.5,119.9,3038.7,368.0,499.4,1953.9,3019.5,183.4,63.2,11.6
0.043297,477.3,115.1,1971.2,114.5,3041.8,354.8,500,1956.6,3019.8,183.6,63.8,12.1
0.045297,487.3,117.6,1971.9,104.4,3031.9,324.8,500.6,1959.6,3020,183.7,64.5,12.9
0.047297,497.6,108.0,1971.1,89.7,3010.5,290.4,501.3,1962.9,3020.1,184,65.1,14.1
0.049297,503.7,98.1,1971.9,75.7,2992.3,278.1,502.2,1966.5,3019.9,184.2,65.6,15.4
0.051297,506.7,94.4,1976.1,64.7,2983.2,294.9,503.1,1970.5,3019.5,184.4,66.1,16.8
0.053297,507.8,97.3,1982.8,58.4,2981.2,323.8,504.2,1974.7,3018.9,184.6,66.5,18
0.055297,508.1,104.4,1989.3,55.9,2978.5,328.2,505.5,1979.2,3017.9,184.9,66.8,19
0.057297,507.9,113.6,1995.0,56.0,2969.9,284.9,506.9,1984,3016.6,185.1,67.1,19.9
0.059297,507.2,123.5,1999.9,58.3,2962.0,224.4,508.4,1989.1,3014.9,185.4,67.4,20.7
0.061297,506.2,133.6,2005.4,62.5,2959.5,175.7,510.2,1994.5,3012.8,185.7,67.6,21.3
0.063297,506.8,139.3,2011.2,65.7,2960.3,144.8,512,2000.3,3010.2,185.9,67.7,21.6
0.065297,510.2,140.5,2017.6,66.3,2963.6,125.9,514.1,2006.3,3007.2,186.2,67.9,21.5
0.067297,516.2,139.7,2025.0,64.7,2970.9,113.8,516.3,2012.6,3003.7,186.4,68,20.9
0.069297,523.0,138.1,2031.6,61.7,2982.7,107.0,518.7,2019.1,2999.6,186.7,68.2,20.1
0.071297,529.6,135.8,2037.2,58.5,2999.9,101.3,521.2,2025.9,2995.1,186.9,68.3,19.1
0.073297,534.9,133.0,2043.0,56.1,3016.2,96.8,524,2033,2990,187.2,68.4,18.4
0.075297,539.9,128.0,2049.3,55.4,3025.1,101.7,526.8,2040.3,2984.4,187.4,68.6,17.9
0.077297,545.3,120.0,2056.7,57.1,3023.7,115.0,529.8,2047.8,2978.2,187.6,68.7,17.6
0.079297,549.3,111.4,2064.8,59.5,3013.2,123.3,533,2055.6,2971.5,187.8,68.8,17.5
0.081297,551.7,101.5,2073.8,61.6,3001.2,117.3,536.3,2063.5,2964.4,188,69,17.5
0.083297,553.0,90.1,2081.6,63.6,2994.9,104.2,539.6,2071.6,2956.8,188.3,69.1,17.5
0.085297,555.0,78.2,2085.3,66.1,2992.2,98.0,543.1,2079.8,2948.7,188.5,69.3,17.6
0.087297,558.1,66.4,2084.9,69.2,2987.9,105.2,546.6,2088.1,2940.2,188.7,69.4,17.9
0.089297,561.4,57.2,2083.6,71.1,2978.5,126.0,550.2,2096.5,2931.4,188.8,69.6,18.2
0.091297,564.5,50.1,2085.4,71.4,2962.7,156.7,553.8,2105,2922.2,189,69.7,18.6
0.093297,567.3,44.3,2090.1,70.3,2946.5,176.5,557.4,2113.5,2912.8,189.2,69.8,19
0.095297,569.4,38.9,2094.6,67.8,2939.0,165.9,561,2122.1,2903.1,189.4,69.9,19.4
0.097297,570.2,33.9,2098.1,65.6,2939.9,139.1,564.5,2130.6,2893.3,189.6,69.9,19.7
