time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025844,444.4,50.2,2282.3,106.8,3090.3,141.9,451.6,2272.7,3083.5,245.9,80.4,25.4
0.027844,453.0,46.1,2281.0,103.0,3087.8,137.5,454.1,2273.8,3087.7,246.2,81.5,26.5
0.029844,460.2,42.6,2278.4,100.3,3090.6,135.3,458,2275.7,3094.4,246.6,82.4,20.9
0.031844,466.5,40.0,2275.5,97.7,3099.8,133.2,463.1,2278.3,3102.8,247,83.1,13.9
0.033844,472.4,38.0,2273.6,95.6,3112.3,129.0,469,2281.4,3112.4,247.4,83.6,10.8
0.035844,477.6,36.7,2274.1,95.0,3123.3,122.2,475.2,2285,3122.2,247.8,84,11.8
0.037844,482.6,36.0,2278.2,96.5,3131.6,114.2,481.5,2288.7,3131.5,248.3,84.3,13.5
0.039844,487.4,35.8,2285.9,100.1,3137.4,107.7,487.4,2292.5,3139.4,248.8,84.6,15.4
0.041844,491.9,35.7,2295.8,104.0,3141.8,104.5,492.7,2296.1,3145.1,249.3,84.8,17.1
0.043844,496.2,35.3,2305.0,106.1,3145.2,104.4,497.3,2299.4,3148.1,249.8,85,18.1
0.045844,499.8,34.7,2310.6,105.7,3147.5,106.5,501.2,2302,3148,250.4,85.2,18.4
0.047844,502.8,33.8,2312.4,103.0,3147.7,110.5,504.4,2304,3144.5,251,85.4,18.2
0.049844,505.4,32.6,2311.2,98.9,3144.0,116.1,507,2305.1,3137.8,251.6,85.7,17.8
0.051844,507.9,31.2,2308.8,94.3,3134.5,122.5,509.1,2305.5,3127.9,252.2,85.9,17.2
0.053844,510.7,30.0,2305.7,89.7,3118.2,128.8,511.1,2305.2,3115.3,252.9,86.2,16.7
0.055844,513.5,29.5,2302.4,85.2,3098.2,133.5,513,2304.4,3100.6,253.6,86.4,16.4
0.057844,516.5,29.9,2299.3,80.4,3078.0,137.0,515,2303.2,3084.2,254.3,86.7,15.9
0.059844,519.3,31.6,2297.4,76.3,3061.4,140.2,517.2,2302,3066.9,255,86.9,15.5
0.061844,521.4,34.4,2296.4,73.1,3046.7,143.4,519.5,2301,3049.2,255.7,87.1,15.1
0.063844,523.0,37.8,2296.3,70.9,3031.0,145.8,521.9,2300.3,3031.7,256.5,87.3,14.8
0.065844,524.3,41.2,2297.1,69.6,3014.8,147.3,524.3,2300.2,3014.7,257.3,87.4,14.5
0.067844,525.7,44.7,2299.1,68.8,2998.8,149.4,526.6,2300.7,2998.6,258.1,87.5,14.3
0.069844,527.4,47.9,2301.8,68.8,2984.9,154.6,528.7,2301.6,2983.5,258.8,87.5,14.2
0.071844,529.3,51.0,2304.9,70.1,2972.7,165.2,530.6,2302.8,2969.4,259.7,87.6,14.1
0.073844,531.3,54.2,2308.0,73.0,2961.2,180.9,532.2,2304,2956.4,260.5,87.5,14
0.075844,533.1,57.4,2310.2,77.4,2949.4,196.8,533.4,2304.8,2944.2,261.3,87.5,14.1
0.077844,534.5,60.1,2311.0,83.3,2935.1,207.3,534.4,2304.9,2932.7,262.1,87.5,14.2
0.079844,535.4,60.5,2309.5,90.1,2919.1,207.7,535.2,2303.9,2921.7,262.9,87.4,14.4
0.081844,536.1,58.1,2305.0,97.6,2903.9,201.0,536,2301.6,2911.1,263.7,87.4,14.5
0.083844,536.8,53.7,2297.2,105.0,2892.1,192.8,536.7,2297.8,2900.8,264.5,87.3,14.3
0.085844,537.6,48.8,2286.8,111.2,2884.6,187.7,537.5,2292.6,2890.7,265.3,87.3,13.7
0.087844,538.8,44.3,2275.4,116.2,2880.4,189.2,538.5,2286.2,2881.1,266.1,87.2,12.9
0.089844,540.2,41.2,2267.7,122.6,2878.1,201.3,539.6,2279,2872,266.8,87,11.9
0.091844,541.8,39.8,2265.5,134.3,2874.0,223.3,540.7,2271.4,2863.6,267.6,86.7,11.1
0.093844,543.1,39.7,2266.6,151.6,2864.6,244.6,541.9,2264.1,2856.2,268.3,86.3,10.5
0.095844,543.9,40.0,2266.5,168.2,2851.9,253.1,543,2257.6,2850.1,269,85.7,10.5
0.097844,544.0,40.2,2261.7,176.9,2840.6,251.7,543.8,2252.5,2845.6,269.6,84.9,10.8
0.099844,543.3,40.4,2252.7,173.5,2836.1,253.4,544.4,2249.2,2842.7,270.2,83.9,11.2
0.101844,542.3,42.3,2242.3,163.0,2840.4,269.3,544.6,2248.1,2841.8,270.8,82.5,11.4
