time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025891,421.4,119.0,2643.5,204.2,3236.4,147.5,445.4,2545.8,3188,254.7,69.1,-37.1
0.027891,440.1,88.3,2626.1,217.1,3213.9,154.0,448.2,2545.8,3191.4,254.4,70.8,3.7
0.029891,452.2,72.2,2576.0,232.3,3192.7,153.8,452.5,2545.6,3196.5,254.2,72.1,17.4
0.031891,464.0,58.9,2522.0,210.0,3181.4,155.8,458.2,2545.1,3202.2,253.9,73.1,19.9
0.033891,475.6,45.6,2486.5,164.7,3176.8,178.6,464.8,2544.2,3207.6,253.7,73.8,16
0.035891,484.4,35.6,2474.8,128.9,3176.9,227.1,472,2542.5,3211.4,253.4,74.4,10.8
0.037891,490.8,28.4,2475.8,107.5,3182.2,287.0,479.3,2539.8,3212.4,253.2,74.8,9.1
0.039891,494.8,23.5,2481.8,100.0,3191.2,308.2,486.3,2535.8,3209.4,253,75.2,11
0.041891,497.0,20.3,2488.4,102.4,3197.8,283.9,492.5,2530.2,3201.6,252.8,75.5,13.3
0.043891,498.5,17.9,2494.1,113.6,3198.6,251.2,497.8,2522.9,3188.6,252.6,75.9,15.7
0.045891,499.4,16.2,2496.7,134.9,3194.0,237.2,501.9,2513.6,3170.2,252.4,76.3,18
0.047891,499.8,15.0,2496.2,175.4,3184.3,247.2,504.8,2502.3,3146.8,252.2,76.7,19.8
0.049891,499.9,14.6,2495.7,247.1,3166.9,287.4,506.4,2488.9,3119.2,252.1,77.1,21.1
0.051891,499.7,14.9,2503.5,352.8,3135.2,359.3,506.8,2473.6,3088.4,252,77.4,22.2
0.053891,499.5,15.5,2526.7,490.5,3076.2,458.1,506.3,2456.6,3055.9,251.9,77.7,22.9
0.055891,499.6,15.6,2546.1,647.8,2992.8,508.4,505.1,2438.2,3023.3,251.8,78,23.6
0.057891,500.1,14.9,2507.7,811.3,2932.0,443.7,503.5,2419,2992,251.8,78.2,24.1
0.059891,500.9,13.6,2430.0,855.1,2916.8,383.3,501.7,2399.4,2963.7,251.8,78.4,24.4
0.061891,501.7,12.2,2373.5,821.3,2906.9,373.5,500.2,2380.2,2939.6,251.8,78.6,24.5
0.063891,502.5,11.0,2334.0,754.9,2896.8,396.0,498.9,2361.9,2920.8,251.8,78.7,24.4
0.065891,503.0,10.0,2300.5,667.6,2902.2,406.1,498.3,2345.3,2907.9,251.8,78.9,24.5
0.067891,503.3,9.3,2270.5,570.2,2921.0,365.1,498.2,2330.9,2901.1,251.9,79,24.8
0.069891,503.6,8.8,2255.4,489.3,2933.0,302.5,498.7,2319.3,2900.2,252,79.1,25.6
0.071891,503.8,8.6,2253.1,427.9,2936.6,254.9,499.9,2310.8,2904.8,252.1,79.2,26.7
0.073891,504.0,8.3,2262.7,375.4,2938.3,223.9,501.4,2305.6,2913.9,252.2,79.2,27.9
0.075891,504.4,8.0,2284.1,331.5,2940.5,207.1,503.3,2303.7,2926.6,252.3,79.3,28.8
0.077891,504.9,7.6,2313.6,290.0,2945.5,193.7,505.2,2305,2941.4,252.4,79.3,29.3
0.079891,505.4,7.1,2339.8,256.1,2955.8,175.7,507.1,2309,2957.4,252.6,79.3,29.2
0.081891,505.9,6.9,2355.0,236.4,2970.3,152.9,508.8,2315.1,2973.2,252.8,79.2,28.7
0.083891,506.6,6.8,2358.9,230.5,2984.6,128.2,510.2,2322.6,2987.9,252.9,79.1,27.9
0.085891,507.3,6.9,2357.4,234.4,2993.8,110.7,511.1,2330.5,3000.7,253.1,79,27.1
0.087891,508.0,7.2,2361.7,240.9,2999.6,102.5,511.6,2338.1,3011.1,253.3,78.8,26.6
0.089891,508.7,7.8,2374.3,247.2,3004.2,103.4,511.7,2344.5,3018.8,253.4,78.6,26.3
0.091891,509.4,8.3,2381.0,257.8,3007.1,111.7,511.5,2348.7,3024,253.6,78.3,26.2
0.093891,510.2,8.8,2372.4,276.5,3007.6,126.1,511,2350.2,3026.7,253.8,78,26.2
0.095891,510.9,9.4,2355.3,292.7,3009.8,139.8,510.4,2348.4,3027.4,254,77.6,26.2
0.097891,511.6,10.3,2334.0,296.8,3017.6,147.0,509.8,2343.3,3026.6,254.2,77.2,26
0.099891,512.0,11.4,2310.4,285.7,3029.2,138.2,509.3,2334.7,3024.8,254.3,76.7,25.8
0.101891,512.3,12.7,2285.4,269.3,3038.6,118.0,508.9,2323.1,3022.4,254.5,76.2,25.6
0.103891,512.5,14.2,2258.6,253.2,3044.2,99.4,508.8,2308.9,3020,254.6,75.7,25.4
0.105891,512.6,15.9,2236.9,240.4,3045.7,92.3,509,2292.9,3017.7,254.8,75.1,25
0.107891,512.6,18.3,2225.0,232.3,3043.1,97.8,509.3,2276.1,3015.9,254.9,74.5,24.5
0.109891,512.3,21.7,2226.7,234.5,3036.5,114.5,509.8,2259.4,3014.5,255.1,73.8,23.7
0.111891,511.7,26.3,2238.5,248.1,3028.0,137.4,510.4,2244,3013.7,255.2,73.1,22.8
0.113891,510.6,31.7,2254.2,270.7,3017.6,165.1,511,2230.9,3013.2,255.3,72.4,21.7
0.115891,509.3,36.8,2263.9,296.4,3004.8,194.9,511.5,2220.8,3012.9,255.4,71.5,20.5
0.117891,507.8,41.1,2262.1,327.7,2987.1,232.1,511.9,2214.5,3012.8,255.5,70.6,19.1
0.119891,506.4,44.2,2248.8,367.2,2967.3,276.6,512,2212.3,3012.8,255.6,69.5,17.4
