time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025537,445.7,21.2,2267.4,187.2,2853.1,181.0,459.9,2260,2853,223.5,74.8,11.4
0.027537,447.8,15.7,2280.3,218.5,2876.8,194.7,457.5,2267.5,2863.9,223.4,74.9,10.9
0.029537,449.1,10.6,2294.0,281.6,2891.1,221.6,454,2279.1,2880.7,223.4,75.3,10.7
0.031537,450.1,7.2,2299.4,372.0,2898.1,255.6,449.8,2293.4,2901.9,223.4,75.7,10.9
0.033537,450.6,5.8,2288.0,450.1,2909.9,278.3,445.6,2309.2,2925.4,223.3,76.2,11.4
0.035537,450.7,5.7,2277.6,471.5,2936.4,280.3,442,2324.7,2949,223.2,76.8,12.5
0.037537,450.6,6.3,2299.0,463.4,2964.6,274.2,439.6,2338.6,2970.7,223.2,77.3,14.1
0.039537,450.4,7.1,2351.3,441.1,2985.2,272.8,438.8,2349.8,2988.9,223.1,77.8,15.9
0.041537,450.2,8.1,2395.2,398.9,3000.4,272.7,439.6,2357.7,3002.4,223,78.2,17.7
0.043537,450.0,8.8,2404.7,357.1,3012.0,265.4,442,2362.2,3010.7,222.8,78.5,19
0.045537,449.7,9.3,2387.8,322.3,3020.7,246.2,445.6,2363.7,3014.2,222.7,78.8,19.8
0.047537,449.1,9.6,2365.2,295.0,3024.3,223.0,449.8,2362.9,3013.6,222.5,79,20.4
0.049537,448.2,9.9,2352.2,279.3,3021.9,206.4,453.9,2361,3010.3,222.4,79.2,20.8
0.051537,447.2,10.3,2350.0,273.6,3016.7,197.8,457.2,2359.2,3005.8,222.2,79.3,21.1
0.053537,446.2,10.6,2351.4,271.1,3011.3,192.4,459,2358.5,3001.6,221.9,79.4,21.5
0.055537,445.3,10.9,2350.6,266.7,3005.3,186.7,458.9,2359.6,2999.1,221.7,79.4,21.9
0.057537,444.5,11.1,2347.9,258.9,2998.0,180.6,456.7,2362.8,2998.9,221.5,79.4,22.3
0.059537,443.7,11.3,2349.3,248.9,2990.6,176.4,452.5,2367.7,3001.4,221.2,79.4,22.7
0.061537,442.8,11.6,2359.1,239.5,2985.3,176.5,446.8,2373.3,3006.2,220.9,79.3,23.1
0.063537,442.2,11.8,2375.1,232.1,2984.5,180.5,440.1,2378.1,3012.1,220.6,79.3,23.4
0.065537,441.8,11.9,2390.3,227.1,2990.6,185.1,433.4,2380.4,3017.7,220.3,79.2,23.7
0.067537,441.3,12.1,2397.8,226.9,3003.6,186.9,427.5,2378.2,3021.2,220,79,24
0.069537,440.6,12.4,2393.8,235.8,3018.5,187.5,423.5,2369.6,3020.7,219.6,78.9,24.2
0.071537,439.4,12.9,2374.8,258.6,3031.0,193.8,421.9,2353.4,3014.7,219.2,78.7,24.4
0.073537,438.0,13.5,2340.6,291.1,3036.3,210.8,423.1,2328.6,3002.2,218.9,78.5,24.6
0.075537,436.7,14.1,2295.7,319.7,3030.0,241.6,427.1,2295.3,2982.7,218.4,78.3,24.9
0.077537,435.6,14.5,2245.5,334.6,3005.8,289.3,433.5,2254.5,2956.9,218,78,25.4
0.079537,434.9,14.9,2192.9,334.2,2959.9,344.1,441.4,2207.9,2926,217.6,77.7,25.8
0.081537,434.4,15.2,2134.6,305.9,2892.3,369.8,449.6,2158.2,2892.1,217.1,77.4,25.7
0.083537,434.2,15.6,2082.5,244.5,2825.2,334.9,456.6,2108.3,2857.8,216.7,76.9,25
0.085537,434.5,15.9,2045.5,175.7,2777.2,275.8,461.1,2061.7,2826.2,216.2,76.4,23.2
0.087537,436.0,16.3,2021.2,124.8,2747.8,235.1,461.5,2021.4,2800.1,215.7,75.8,20.5
0.089537,438.6,16.9,2004.3,96.4,2733.6,227.5,456.8,1990.4,2782.1,215.2,75.1,17.5
0.091537,440.9,18.2,1992.3,85.6,2734.3,255.7,446.4,1970.4,2773.8,214.7,74.4,14.7
0.093537,440.7,20.8,1984.2,89.4,2749.6,323.0,430,1962.7,2776.4,214.1,73.7,12.7
0.095537,434.9,26.1,1981.1,109.1,2780.9,432.1,408.2,1966.9,2789.5,213.6,73.1,11.4
0.097537,420.6,36.8,1986.3,147.8,2842.9,559.0,381.9,1981.8,2812,213.1,72.7,10.4
0.099537,396.0,55.7,2000.4,201.3,2945.6,596.8,352.9,2005.2,2841.6,212.6,72.4,9.9
0.101537,355.3,83.9,2023.3,269.6,3014.1,447.9,323,2033.8,2875.3,212,72.2,9.9
0.103537,299.0,100.5,2050.6,344.0,2994.8,338.4,294.5,2064.2,2909.6,211.5,72.1,10.6
0.105537,246.9,73.2,2079.9,413.3,2958.2,295.6,269.5,2092.6,2940.9,211,72,12.3
0.107537,224.6,43.2,2107.2,465.2,2926.4,284.5,250.1,2115.6,2966.1,210.5,71.9,14.9
0.109537,217.7,31.2,2132.5,505.6,2898.8,298.2,237.7,2130.7,2982.3,210,71.8,18
0.111537,217.2,29.8,2153.7,523.8,2882.2,331.3,233.5,2135.9,2987.9,209.6,71.6,20.9
