time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025828,379.4,65.7,2111.8,135.2,2824.4,209.2,376.9,2116,2809,258.2,77.4,10
0.027828,385.2,65.5,2126.6,134.0,2814.8,212.5,381.1,2120.8,2813.4,260,78,9.8
0.029828,390.8,68.8,2135.7,134.5,2812.2,206.2,387.5,2128.3,2820.5,261.8,78.4,9.5
0.031828,395.5,74.8,2140.2,132.1,2821.1,193.3,395.5,2137.9,2830.3,263.6,78.8,9.1
0.033828,399.3,82.3,2142.7,125.5,2838.6,176.7,404,2148.9,2842.1,265.3,79,8.7
0.035828,403.5,90.2,2146.9,118.5,2857.1,163.3,412.1,2160.7,2855.6,267,79,8.2
0.037828,410.1,98.0,2157.3,116.3,2871.5,162.6,418.8,2172.6,2870,268.6,79,7.5
0.039828,419.8,105.9,2177.2,121.6,2882.0,180.7,423.4,2184.1,2884.3,270,78.9,6.6
0.041828,429.9,114.3,2205.1,133.0,2892.8,215.5,425.5,2195.1,2897.7,271.3,78.8,5.7
0.043828,434.6,123.5,2232.0,145.8,2906.5,250.4,424.6,2205.5,2909.2,272.4,78.9,5.1
0.045828,430.1,131.6,2245.7,156.8,2919.7,263.9,421,2215.5,2917.9,273.3,79,4.8
0.047828,418.6,135.0,2243.0,163.7,2929.9,252.3,415,2225.3,2923.4,273.9,79.1,4.9
0.049828,404.9,131.5,2230.5,164.5,2936.2,230.5,407,2235.2,2925.6,274.2,79.3,5.4
0.051828,392.7,122.4,2218.7,162.7,2935.3,213.9,397.9,2245.4,2924.8,274.1,79.3,6
0.053828,383.4,111.1,2216.0,166.3,2924.9,210.0,388.3,2256,2921.7,273.7,79.3,6.8
0.055828,376.4,101.2,2227.7,182.6,2908.7,221.3,379,2266.9,2917.4,273,79.2,7.4
0.057828,370.3,93.7,2255.8,212.6,2896.9,248.2,370.6,2278.1,2913.3,271.9,79.1,8.1
0.059828,364.2,86.0,2297.0,250.4,2898.3,282.8,363.5,2289.1,2910.8,270.4,79.1,8.7
0.061828,358.7,75.7,2340.4,294.0,2909.7,307.8,358,2299.8,2911.2,268.5,79.2,9.4
0.063828,354.7,66.0,2372.3,350.7,2919.7,314.9,354.3,2309.8,2915.2,266.3,79.3,10.1
0.065828,352.6,60.6,2374.9,411.1,2927.4,304.2,352.3,2319,2923.2,263.8,79.6,10.8
0.067828,352.3,59.1,2345.2,438.3,2943.3,278.5,351.8,2327.4,2935.2,260.9,79.8,11.5
0.069828,353.3,57.9,2308.6,424.9,2963.7,245.8,352.5,2335.4,2950.1,257.7,80.1,12.3
0.071828,355.2,54.9,2283.6,400.2,2974.9,218.2,354.1,2343.3,2966.7,254.3,80.3,13
0.073828,357.4,49.8,2280.5,383.9,2976.8,211.1,356.4,2351.5,2983.5,250.7,80.4,13.6
0.075828,359.7,44.0,2311.0,377.2,2979.8,233.9,359,2360.6,2998.7,247,80.6,14.1
0.077828,361.9,38.5,2372.8,361.9,2997.4,282.7,361.8,2371,3010.9,243.1,80.7,14.4
0.079828,364.3,33.9,2430.6,327.1,3028.3,318.4,364.6,2382.9,3018.9,239.1,80.7,14.4
0.081828,366.4,31.1,2454.7,307.7,3038.8,307.9,367.3,2396.1,3022.3,235.1,80.8,14.4
0.083828,368.2,29.9,2452.9,317.6,3025.5,267.0,369.7,2410.3,3021.2,231.1,80.8,14.4
0.085828,369.8,29.5,2440.9,344.5,3009.5,221.9,371.9,2424.8,3016.4,227.2,80.8,14.4
0.087828,371.9,29.4,2428.3,377.3,2999.0,188.5,373.7,2438.7,3009.2,223.4,80.8,14.5
0.089828,374.6,29.4,2421.9,402.4,2994.4,171.2,375.1,2451,3001.2,219.7,80.7,14.7
0.091828,377.1,28.6,2430.3,405.5,2993.2,171.3,376.2,2460.6,2994.1,216.2,80.5,14.8
0.093828,378.5,26.4,2454.6,388.0,2993.2,189.8,376.8,2466.7,2989.1,212.9,80.3,15
0.095828,379.0,23.6,2485.7,367.9,2995.9,228.9,377.1,2468.8,2987.4,209.8,80.1,15.2
