time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025354,393.9,96.1,1839.4,123.1,2652.6,422.7,398.1,1860.7,2630.8,190.3,73.3,12.5
0.027354,394.7,96.4,1853.8,129.4,2636.2,384.5,400.5,1861.8,2633.8,190.9,73.8,12.6
0.029354,399.4,92.6,1868.3,128.8,2633.5,366.8,404.1,1863.9,2638.4,191.6,74.2,12.8
0.031354,407.5,84.7,1877.9,126.4,2634.5,355.4,408.8,1867.2,2644.2,192.4,74.7,13
0.033354,417.4,75.6,1881.9,125.8,2637.4,340.2,414,1872,2650.8,193.1,75.1,13.2
0.035354,425.9,69.0,1883.6,129.1,2648.4,324.8,419.3,1878.5,2657.5,193.9,75.5,13.3
0.037354,432.1,64.4,1887.3,136.3,2664.9,312.2,424.1,1886.9,2663.9,194.7,75.9,13.4
0.039354,435.1,62.2,1896.5,145.4,2676.9,310.6,428.2,1897.3,2669.6,195.6,76.1,13.5
0.041354,435.6,63.4,1912.4,155.9,2681.1,324.6,431.1,1909.5,2674.4,196.5,76.4,13.6
0.043354,434.1,67.9,1931.9,166.2,2679.9,346.8,432.6,1923.2,2678.3,197.4,76.6,13.8
0.045354,431.2,73.7,1947.1,171.5,2678.6,352.9,432.7,1937.7,2681.5,198.3,76.8,14
0.047354,427.4,78.2,1955.8,169.1,2680.2,329.9,431.3,1952.5,2684.4,199.2,76.9,14.4
0.049354,423.7,79.1,1961.5,161.1,2684.1,295.6,428.6,1966.8,2687.3,200.1,77.2,14.9
0.051354,420.0,76.5,1969.8,151.5,2688.7,271.1,425.1,1979.9,2690.7,201.1,77.4,15.4
0.053354,416.0,71.8,1981.4,141.6,2694.3,263.5,420.9,1991,2695.1,202,77.6,15.8
0.055354,412.4,67.1,1991.0,132.3,2701.7,269.1,416.6,1999.5,2700.6,202.9,77.9,15.9
0.057354,409.5,62.7,1996.5,123.9,2712.5,277.7,412.4,2005.3,2707.5,203.8,78.2,15.8
0.059354,408.2,58.8,2000.1,119.7,2723.9,278.8,408.9,2008.1,2715.6,204.7,78.5,15.6
0.061354,408.4,55.0,2004.9,121.5,2732.9,271.9,406.2,2008.2,2724.4,205.6,78.8,15.3
0.063354,409.4,51.4,2010.7,129.7,2737.5,263.9,404.5,2006.1,2733.4,206.5,79,15.2
0.065354,410.0,48.6,2013.9,141.9,2739.5,262.9,404,2002.3,2741.7,207.3,79.3,15.3
0.067354,409.7,47.1,2013.0,157.4,2743.5,271.2,404.6,1997.8,2748.4,208.2,79.5,15.6
0.069354,409.4,47.1,2007.7,173.8,2750.0,283.6,406.1,1993.2,2752.7,208.9,79.8,16
0.071354,410.0,47.3,1998.2,188.4,2752.1,289.4,408.4,1989.4,2753.9,209.7,79.9,16.4
0.073354,411.6,46.6,1986.3,193.6,2743.9,279.7,411.2,1987,2751.3,210.5,80.1,16.9
0.075354,413.1,45.1,1979.1,184.6,2731.0,258.7,414.3,1986.3,2744.7,211.2,80.3,17.4
0.077354,414.4,43.1,1979.6,167.3,2720.2,235.0,417.3,1987.5,2734.3,211.8,80.5,18
0.079354,416.0,41.0,1985.4,152.3,2714.3,217.7,420.1,1990.3,2720.6,212.5,80.6,18.7
0.081354,418.6,38.8,1991.9,142.3,2709.6,208.7,422.5,1994.2,2704.3,213.1,80.9,19.4
0.083354,421.6,36.6,1996.0,136.9,2702.2,208.6,424.4,1998.5,2686.6,213.6,81.1,20
0.085354,423.9,34.8,1997.6,135.1,2690.1,218.6,425.7,2002.1,2668.8,214.2,81.3,20.5
0.087354,425.6,34.1,1998.3,136.2,2671.7,242.4,426.6,2004.2,2652.2,214.7,81.6,20.9
0.089354,426.8,34.7,1998.4,139.6,2650.4,279.0,427,2003.8,2638.2,215.1,81.8,21.3
0.091354,427.7,36.2,1996.5,143.7,2629.3,323.4,427.1,2000.2,2627.8,215.5,82,21.6
0.093354,428.6,37.5,1991.4,146.7,2610.9,364.8,427.1,1993,2621.8,215.9,82.2,21.9
0.095354,429.3,37.8,1983.9,147.4,2600.9,388.6,427,1982,2620.5,216.3,82.5,22.1
0.097354,430.0,36.8,1974.3,144.6,2604.0,387.4,427,1967.6,2623.7,216.6,82.6,22.5
0.099354,430.2,35.1,1961.8,138.7,2617.9,360.9,427.1,1950.4,2631.1,216.9,82.8,22.7
0.101354,430.1,33.7,1944.9,131.1,2636.6,326.8,427.3,1931.4,2641.5,217.2,82.8,22.9
0.103354,429.6,33.1,1923.7,122.3,2657.6,299.0,427.6,1912,2653.9,217.4,82.9,22.8
0.105354,429.0,32.7,1902.1,113.4,2675.3,281.7,428.1,1893.5,2666.7,217.6,82.8,22.5
0.107354,428.2,31.9,1880.0,104.0,2688.0,270.0,428.5,1877.3,2678.5,217.8,82.6,21.8
0.109354,427.6,30.7,1860.4,95.2,2694.4,262.3,428.9,1864.7,2688,218,82.3,21
0.111354,426.6,29.5,1844.8,86.9,2696.2,259.4,429.1,1856.8,2694.2,218.2,81.8,20
0.113354,424.5,29.3,1834.9,79.8,2694.2,265.7,429.2,1854,2696.3,218.3,81.3,18.9
